PlotID,Block,PlotName,SiteName,CropTrt,SiteNum,RowNum,SamplingDate,Year,Month,Day,Leaf_Stem_FreshWeight_g,Leaf_Stem_DryWeight_g,Root_FreshWeight_g,Root_DryWeight_g
1,1,VF_SHSS-1,VF,SS,1,1,7/18/2019,2019,7,18,306,86,203,114
4,1,VF_SHVB-1,VF,SH,1,1,7/18/2019,2019,7,18,293,86,298,143
5,1,VF_SSVB-1,VF,VB,1,1,7/18/2019,2019,7,18,293,85,171,54
14,1,VF_SSVB-3,VF,VB,1,3,7/18/2019,2019,7,18,310.8,97,163,48
16,1,VF_SHSS-3,VF,SS,1,3,7/18/2019,2019,7,18,334,99,286,154
18,1,VF_SH-3,VF,SH,1,3,7/18/2019,2019,7,18,305,89,306.5,141
30,1,VF_VB-5,VF,VB,1,5,7/18/2019,2019,7,19,359,111,323,83
32,1,VF_SH-6,VF,SH,1,6,7/18/2019,2019,7,19,304,93,320,139
34,1,VF_SS-6,VF,SS,1,6,7/18/2019,2019,7,19,308,81,302,151
38,4,FO_SHSS-1,FO,SH,2,1,7/18/2019,2019,7,10,310,80,313,148
40,4,FO_SSVB-1,FO,SS,2,1,7/18/2019,2019,7,10,316,83,322,196
40,4,FO_SSVB-1,FO,VB,2,1,7/18/2019,2019,7,10,295,84,63,20
58,4,FO_SS-4,FO,SS,2,4,7/18/2019,2019,7,10,306,85,314,204
60,4,FO_SHVB-4,FO,SH,2,4,7/18/2019,2019,7,10,307,105,306,144
60,4,FO_SHVB-4,FO,VB,2,4,7/18/2019,2019,7,10,316,106,136,40
65,4,FO_SSVB-5,FO,SS,2,5,7/18/2019,2019,7,10,320,81,320,190
67,4,FO_SSVB-6,FO,VB,2,6,7/18/2019,2019,7,11,323,80,147,40
69,4,FO_SH-6,FO,SH,2,6,7/18/2019,2019,7,11,303,83,289,115
74,14,HH_SSVB-1,HH,VB,3,1,7/18/2019,2019,7,17,264,74,151,41
76,14,HH_SHSS-1,HH,SH,3,1,7/18/2019,2019,7,17,300,86,207,104
78,14,HH_SS-1,HH,SS,3,1,7/18/2019,2019,7,17,405,132,325,209
87,14,HH_SSVB-3,HH,SS,3,3,7/18/2019,2019,7,17,313,104,318,191
88,14,HH_VB-3,HH,VB,3,3,7/18/2019,2019,7,17,328,89,42,11
90,14,HH_SH-3,HH,SH,3,3,7/18/2019,2019,7,17,0,0,0,0
102,14,HH_SHVB-5,HH,VB,3,5,7/18/2019,2019,7,17,307,86,52,14
104,14,HH_SS-6,HH,SS,3,6,7/18/2019,2019,7,18,344,70,340,185
105,14,HH_SH-6,HH,SH,3,6,7/18/2019,2019,7,18,0,0,0,0
110,15,OC_SS-1,OC,SS,4,1,7/18/2019,2019,7,19,312,102,290,125
112,15,OC_SSVB-1,OC,VB,4,1,7/18/2019,2019,7,19,339,89,145,37
114,15,OC_SHVB-1,OC,SH,4,1,7/18/2019,2019,7,19,315,90,317,123
121,15,OC_SSVB-3,OC,VB,4,3,7/18/2019,2019,7,22,288,65,82,27
124,15,OC_SHVB-3,OC,SH,4,3,7/18/2019,2019,7,22,326,106,252,107
125,15,OC_SHSS-3,OC,SS,4,3,7/18/2019,2019,7,22,311,146,202,87
133,15,OC_VB-5,OC,VB,4,5,7/18/2019,2019,7,23,287,53,69,16
134,15,OC_SHSS-5,OC,SS,4,5,7/18/2019,2019,7,23,359,97,326,147
136,15,OC_SH-5,OC,SH,4,5,7/18/2019,2019,7,23,319,77,308,138
