PlotID,PlotName,Location,CropTrt,CropName,SiteNum,RowNumber,ColNum,Position,SamplingWeek,SamplingDate,Year,Month,50%Emerg_Day
1,VF_SHSS-1,VF,SHSS,SH,1,1,1,111,1,11/13/2019,2019,11,13
1,VF_SHSS-1,VF,SHSS,SS,1,1,1,111,1,11/13/2019,2019,11,13
2,VF_VB-1,VF,VB,VB,1,1,2,112,1,11/13/2019,2019,11,18
3,VF_SH-1,VF,SH,SH,1,1,3,113,1,11/13/2019,2019,11,13
4,VF_SHVB-1,VF,SHVB,SH,1,1,4,114,1,11/13/2019,2019,11,13
4,VF_SHVB-1,VF,SHVB,VB,1,1,4,114,1,11/13/2019,2019,11,18
5,VF_SSVB-1,VF,SSVB,SS,1,1,5,115,1,11/13/2019,2019,11,13
5,VF_SSVB-1,VF,SSVB,VB,1,1,5,115,1,11/13/2019,2019,11,18
6,VF_SS-1,VF,SS,SS,1,1,6,116,1,11/13/2019,2019,11,13
7,VF_SS-2,VF,SS,SS,1,2,1,121,1,11/13/2019,2019,11,13
8,VF_SHVB-2,VF,SHVB,SH,1,2,2,122,1,11/13/2019,2019,11,13
8,VF_SHVB-2,VF,SHVB,VB,1,2,2,122,1,11/13/2019,2019,11,15
9,VF_SSVB-2,VF,SSVB,SS,1,2,3,123,1,11/13/2019,2019,11,13
9,VF_SSVB-2,VF,SSVB,VB,1,2,3,123,1,11/13/2019,2019,11,18
10,VF_SH-2,VF,SH,SH,1,2,4,124,1,11/13/2019,2019,11,13
11,VF_VB-2,VF,VB,VB,1,2,5,125,1,11/13/2019,2019,11,15
12,VF_SHSS-2,VF,SHSS,SH,1,2,6,126,1,11/13/2019,2019,11,13
12,VF_SHSS-2,VF,SHSS,SS,1,2,6,126,1,11/13/2019,2019,11,13
13,VF_VB-3,VF,VB,VB,1,3,1,131,1,11/13/2019,2019,11,15
14,VF_SSVB-3,VF,SSVB,SS,1,3,2,132,1,11/13/2019,2019,11,13
14,VF_SSVB-3,VF,SSVB,VB,1,3,2,132,1,11/13/2019,2019,11,18
15,VF_SHVB-3,VF,SHVB,SH,1,3,3,133,1,11/13/2019,2019,11,13
