PlotID,PlotName,Location,Block,CropTrt,CropName,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,50percent_Emerg_Day
1,VF_SHSS-1,VF,1,SHSS,SH,1,1,1,111,Winter,1,11/13/2019,2019,11,13
1,VF_SHSS-1,VF,1,SHSS,SS,1,1,1,111,Winter,1,11/13/2019,2019,11,13
2,VF_VB-1,VF,1,VB,VB,1,1,2,112,Winter,1,11/13/2019,2019,11,18
3,VF_SH-1,VF,1,SH,SH,1,1,3,113,Winter,1,11/13/2019,2019,11,13
4,VF_SHVB-1,VF,1,SHVB,SH,1,1,4,114,Winter,1,11/13/2019,2019,11,13
4,VF_SHVB-1,VF,1,SHVB,VB,1,1,4,114,Winter,1,11/13/2019,2019,11,18
5,VF_SSVB-1,VF,1,SSVB,SS,1,1,5,115,Winter,1,11/13/2019,2019,11,13
5,VF_SSVB-1,VF,1,SSVB,VB,1,1,5,115,Winter,1,11/13/2019,2019,11,18
6,VF_SS-1,VF,1,SS,SS,1,1,6,116,Winter,1,11/13/2019,2019,11,13
7,VF_SS-2,VF,1,SS,SS,1,2,1,121,Winter,1,11/13/2019,2019,11,13
8,VF_SHVB-2,VF,1,SHVB,SH,1,2,2,122,Winter,1,11/13/2019,2019,11,13
8,VF_SHVB-2,VF,1,SHVB,VB,1,2,2,122,Winter,1,11/13/2019,2019,11,15
9,VF_SSVB-2,VF,1,SSVB,SS,1,2,3,123,Winter,1,11/13/2019,2019,11,13
9,VF_SSVB-2,VF,1,SSVB,VB,1,2,3,123,Winter,1,11/13/2019,2019,11,18
10,VF_SH-2,VF,1,SH,SH,1,2,4,124,Winter,1,11/13/2019,2019,11,13
11,VF_VB-2,VF,1,VB,VB,1,2,5,125,Winter,1,11/13/2019,2019,11,15
12,VF_SHSS-2,VF,1,SHSS,SH,1,2,6,126,Winter,1,11/13/2019,2019,11,13
12,VF_SHSS-2,VF,1,SHSS,SS,1,2,6,126,Winter,1,11/13/2019,2019,11,13
13,VF_VB-3,VF,1,VB,VB,1,3,1,131,Winter,1,11/13/2019,2019,11,15
14,VF_SSVB-3,VF,1,SSVB,SS,1,3,2,132,Winter,1,11/13/2019,2019,11,13
14,VF_SSVB-3,VF,1,SSVB,VB,1,3,2,132,Winter,1,11/13/2019,2019,11,18
15,VF_SHVB-3,VF,1,SHVB,SH,1,3,3,133,Winter,1,11/13/2019,2019,11,13
15,VF_SHVB-3,VF,1,SHVB,VB,1,3,3,133,Winter,1,11/13/2019,2019,11,15
16,VF_SHSS-3,VF,1,SHSS,SH,1,3,4,134,Winter,1,11/13/2019,2019,11,13
16,VF_SHSS-3,VF,1,SHSS,SS,1,3,4,134,Winter,1,11/13/2019,2019,11,13
17,VF_SS-3,VF,1,SS,SS,1,3,5,135,Winter,1,11/13/2019,2019,11,13
18,VF_SH-3,VF,1,SH,SH,1,3,6,136,Winter,1,11/13/2019,2019,11,13
19,VF_SH-4,VF,1,SH,SH,1,4,1,141,Winter,1,11/13/2019,2019,11,13
20,VF_SS-4,VF,1,SS,SS,1,4,2,142,Winter,1,11/13/2019,2019,11,13
21,VF_SHSS-4,VF,1,SHSS,SH,1,4,3,143,Winter,1,11/13/2019,2019,11,13
21,VF_SHSS-4,VF,1,SHSS,SS,1,4,3,143,Winter,1,11/13/2019,2019,11,13
22,VF_VB-4,VF,1,VB,VB,1,4,4,144,Winter,1,11/13/2019,2019,11,15
23,VF_SHVB-4,VF,1,SHVB,SH,1,4,5,144,Winter,1,11/13/2019,2019,11,13
23,VF_SHVB-4,VF,1,SHVB,VB,1,4,5,145,Winter,1,11/13/2019,2019,11,15
24,VF_SSVB-4,VF,1,SSVB,SS,1,4,6,146,Winter,1,11/13/2019,2019,11,13
24,VF_SSVB-4,VF,1,SSVB,VB,1,4,6,146,Winter,1,11/13/2019,2019,11,
25,VF_SHVB-5,VF,1,SHVB,SH,1,5,1,151,Winter,1,11/13/2019,2019,11,13
25,VF_SHVB-5,VF,1,SHVB,VB,1,5,1,151,Winter,1,11/13/2019,2019,11,18
26,VF_SHSS-5,VF,1,SHSS,SH,1,5,2,152,Winter,1,11/13/2019,2019,11,13
26,VF_SHSS-5,VF,1,SHSS,SS,1,5,2,152,Winter,1,11/13/2019,2019,11,13
27,VF_SS-5,VF,1,SS,SS,1,5,3,153,Winter,1,11/13/2019,2019,11,13
28,VF_SSVB-5,VF,1,SSVB,SS,1,5,4,154,Winter,1,11/13/2019,2019,11,13
28,VF_SSVB-5,VF,1,SSVB,VB,1,5,4,154,Winter,1,11/13/2019,2019,11,18
29,VF_SH-5,VF,1,SH,SH,1,5,5,155,Winter,1,11/13/2019,2019,11,13
30,VF_VB-5,VF,1,VB,VB,1,5,6,156,Winter,1,11/13/2019,2019,11,15
31,VF_SSVB-6,VF,1,SSVB,SS,1,6,1,161,Winter,1,11/13/2019,2019,11,13
31,VF_SSVB-6,VF,1,SSVB,VB,1,6,1,161,Winter,1,11/13/2019,2019,11,18
32,VF_SH-6,VF,1,SH,SH,1,6,2,162,Winter,1,11/13/2019,2019,11,13
33,VF_VB-6,VF,1,VB,VB,1,6,3,163,Winter,1,11/13/2019,2019,11,18
34,VF_SS-6,VF,1,SS,SS,1,6,4,164,Winter,1,11/13/2019,2019,11,13
