PlotID,Block,SiteName,PlotName,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,Year,Month,50percent_Emerg_Day
1,1,VF,VF_SHSS-1,SH,SHSS,1,1,1,111,Summer,2,2019,5,17
1,1,VF,VF_SHSS-1,SS,SHSS,1,1,1,111,Summer,2,2019,5,NA
2,1,VF,VF_VB-1,VB,VB,1,1,2,112,Summer,2,2019,5,20
3,1,VF,VF_SH-1,SH,SH,1,1,3,113,Summer,2,2019,5,17
4,1,VF,VF_SHVB-1,SH,SHVB,1,1,4,114,Summer,2,2019,5,17
4,1,VF,VF_SHVB-1,VB,SHVB,1,1,4,114,Summer,2,2019,5,24
5,1,VF,VF_SSVB-1,SS,SSVB,1,1,5,115,Summer,2,2019,5,20
5,1,VF,VF_SSVB-1,VB,SSVB,1,1,5,115,Summer,2,2019,5,24
6,1,VF,VF_SS-1,SS,SS,1,1,6,116,Summer,2,2019,5,17
7,1,VF,VF_SS-2,SS,SS,1,2,1,121,Summer,2,2019,5,17
8,1,VF,VF_SHVB-2,SH,SHVB,1,2,2,122,Summer,2,2019,5,17
8,1,VF,VF_SHVB-2,VB,SHVB,1,2,2,122,Summer,2,2019,5,24
9,1,VF,VF_SSVB-2,SS,SSVB,1,2,3,123,Summer,2,2019,5,20
9,1,VF,VF_SSVB-2,VB,SSVB,1,2,3,123,Summer,2,2019,5,24
10,1,VF,VF_SH-2,SH,SH,1,2,4,124,Summer,2,2019,5,17
11,1,VF,VF_VB-2,VB,VB,1,2,5,125,Summer,2,2019,5,20
12,1,VF,VF_SHSS-2,SH,SHSS,1,2,6,126,Summer,2,2019,5,17
12,1,VF,VF_SHSS-2,SS,SHSS,1,2,6,126,Summer,2,2019,5,17
13,1,VF,VF_VB-3,VB,VB,1,3,1,131,Summer,2,2019,5,21
14,1,VF,VF_SSVB-3,SS,SSVB,1,3,2,132,Summer,2,2019,5,17
14,1,VF,VF_SSVB-3,VB,SSVB,1,3,2,132,Summer,2,2019,5,21
15,1,VF,VF_SHVB-3,SH,SHVB,1,3,3,133,Summer,2,2019,5,17
15,1,VF,VF_SHVB-3,VB,SHVB,1,3,3,133,Summer,2,2019,5,21
