PlotID,PlotName,CropName,CropTrt,Location,Block,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,Day,LeavesStems_tha,LeavesStems_tha,LeavesStems_tha,Roots_tha,Roots_tha,Roots_tha
1,VF_SHSS-1,SH,SHSS,VF,1,1,1,1,111,Winter,8,1/6/2020,2020,1,6,185,253,173,114,119,107
1,VF_SHSS-1,SS,SHSS,VF,1,1,1,1,111,Winter,8,1/6/2020,2020,1,6,104,107,123,98,100,99
2,VF_VB-1,VB,VB,VF,1,1,1,2,112,Winter,8,1/6/2020,2020,1,6,161,164,200,11,10,11
3,VF_SH-1,SH,SH,VF,1,1,1,3,113,Winter,8,1/6/2020,2020,1,6,265,391,311,34,41,32
4,VF_SHVB-1,SH,SHVB,VF,1,1,1,4,114,Winter,8,1/6/2020,2020,1,6,178,245,262,15,24,20
4,VF_SHVB-1,VB,SHVB,VF,1,1,1,4,114,Winter,8,1/6/2020,2020,1,6,21,107,62,1,6,3
5,VF_SSVB-1,SS,SSVB,VF,1,1,1,5,115,Winter,8,1/6/2020,2020,1,6,17,36,287,8,10,24
5,VF_SSVB-1,VB,SSVB,VF,1,1,1,5,115,Winter,8,1/6/2020,2020,1,6,74,29,92,4,1,3
6,VF_SS-1,SS,SS,VF,1,1,1,6,116,Winter,8,1/6/2020,2020,1,6,53,38,27,7,14,10
7,VF_SS-2,SS,SS,VF,1,1,2,1,121,Winter,8,1/6/2020,2020,1,6,60,50,40,17,17,11
8,VF_SHVB-2,SH,SHVB,VF,1,1,2,2,122,Winter,8,1/6/2020,2020,1,6,212,184,195,18,15,23
8,VF_SHVB-2,VB,SHVB,VF,1,1,2,2,122,Winter,8,1/6/2020,2020,1,6,76,130,65,3,5,2
9,VF_SSVB-2,SS,SSVB,VF,1,1,2,3,123,Winter,8,1/6/2020,2020,1,6,60,30,56,11,4,8
9,VF_SSVB-2,VB,SSVB,VF,1,1,2,3,123,Winter,8,1/6/2020,2020,1,6,138,122,153,4,5,5
10,VF_SH-2,SH,SH,VF,1,1,2,4,124,Winter,8,1/6/2020,2020,1,6,274,362,195,19,27,25
11,VF_VB-2,VB,VB,VF,1,1,2,5,125,Winter,8,1/6/2020,2020,1,6,211,204,158,11,12,7
12,VF_SHSS-2,SH,SHSS,VF,1,1,2,6,126,Winter,8,1/6/2020,2020,1,6,389,224,242,41,21,22
12,VF_SHSS-2,SS,SHSS,VF,1,1,2,6,126,Winter,8,1/6/2020,2020,1,6,17,13,14,4,1,7
13,VF_VB-3,VB,VB,VF,1,1,3,1,131,Winter,8,1/6/2020,2020,1,6,145,237,273,6,10,13
14,VF_SSVB-3,SS,SSVB,VF,1,1,3,2,132,Winter,8,1/6/2020,2020,1,6,98,51,43,25,12,15
14,VF_SSVB-3,VB,SSVB,VF,1,1,3,2,132,Winter,8,1/6/2020,2020,1,6,85,33,39,2,2,1
15,VF_SHVB-3,SH,SHVB,VF,1,1,3,3,133,Winter,8,1/6/2020,2020,1,6,223,295,144,23,34,16
15,VF_SHVB-3,VB,SHVB,VF,1,1,3,3,133,Winter,8,1/6/2020,2020,1,6,101,123,65,4,4,2
16,VF_SHSS-3,SH,SHSS,VF,1,1,3,4,134,Winter,8,1/6/2020,2020,1,6,249,642,178,27,54,19
16,VF_SHSS-3,SS,SHSS,VF,1,1,3,4,134,Winter,8,1/6/2020,2020,1,6,39,41,24,9,8,10
17,VF_SS-3,SS,SS,VF,1,1,3,5,135,Winter,8,1/6/2020,2020,1,6,68,61,58,16,21,21
18,VF_SH-3,SH,SH,VF,1,1,3,6,136,Winter,8,1/6/2020,2020,1,6,253,252,289,26,22,24
19,VF_SH-4,SH,SH,VF,1,1,4,1,141,Winter,8,1/6/2020,2020,1,6,302,564,530,33,56,52
20,VF_SS-4,SS,SS,VF,1,1,4,2,142,Winter,8,1/6/2020,2020,1,6,46,70,26,21,18,12
21,VF_SHSS-4,SH,SHSS,VF,1,1,4,3,143,Winter,8,1/6/2020,2020,1,6,341,156,238,32,23,24
21,VF_SHSS-4,SS,SHSS,VF,1,1,4,3,143,Winter,8,1/6/2020,2020,1,6,12,41,18,3,10,4
22,VF_VB-4,VB,VB,VF,1,1,4,4,144,Winter,8,1/6/2020,2020,1,6,246,269,276,6,10,12
23,VF_SHVB-4,SH,SHVB,VF,1,1,4,5,144,Winter,8,1/6/2020,2020,1,6,301,339,425,37,30,34
23,VF_SHVB-4,VB,SHVB,VF,1,1,4,5,145,Winter,8,1/6/2020,2020,1,6,77,42,0,2,1,0
24,VF_SSVB-4,SS,SSVB,VF,1,1,4,6,146,Winter,8,1/6/2020,2020,1,6,36,15,55,6,6,7
24,VF_SSVB-4,VB,SSVB,VF,1,1,4,6,146,Winter,8,1/6/2020,2020,1,6,114,36,65,4,1,2
25,VF_SHVB-5,SH,SHVB,VF,1,1,5,1,151,Winter,8,1/6/2020,2020,1,6,305,407,233,27,52,34
25,VF_SHVB-5,VB,SHVB,VF,1,1,5,1,151,Winter,8,1/6/2020,2020,1,6,98,74,34,5,5,3
26,VF_SHSS-5,SH,SHSS,VF,1,1,5,2,152,Winter,8,1/6/2020,2020,1,6,421,166,304,40,20,30
26,VF_SHSS-5,SS,SHSS,VF,1,1,5,2,152,Winter,8,1/6/2020,2020,1,6,36,18,19,12,12,8
27,VF_SS-5,SS,SS,VF,1,1,5,3,153,Winter,8,1/6/2020,2020,1,6,48,31,41,20,18,19
28,VF_SSVB-5,SS,SSVB,VF,1,1,5,4,154,Winter,8,1/6/2020,2020,1,6,31,9,25,14,9,17
28,VF_SSVB-5,VB,SSVB,VF,1,1,5,4,154,Winter,8,1/6/2020,2020,1,6,92,49,122,7,9,11
29,VF_SH-5,SH,SH,VF,1,1,5,5,155,Winter,8,1/6/2020,2020,1,6,356,307,504,30,28,53
30,VF_VB-5,VB,VB,VF,1,1,5,6,156,Winter,8,1/6/2020,2020,1,6,233,162,172,12,10,11
31,VF_SSVB-6,SS,SSVB,VF,1,1,6,1,161,Winter,8,1/6/2020,2020,1,6,36,35,28,11,11,11
31,VF_SSVB-6,VB,SSVB,VF,1,1,6,1,161,Winter,8,1/6/2020,2020,1,6,71,181,87,4,10,6
32,VF_SH-6,SH,SH,VF,1,1,6,2,162,Winter,8,1/6/2020,2020,1,6,365,249,345,38,33,40
33,VF_VB-6,VB,VB,VF,1,1,6,3,163,Winter,8,1/6/2020,2020,1,6,298,191,192,9,6,8
34,VF_SS-6,SS,SS,VF,1,1,6,4,164,Winter,8,1/6/2020,2020,1,6,19,34,30,3,12,8
35,VF_SHSS-6,SH,SHSS,VF,1,1,6,5,165,Winter,8,1/6/2020,2020,1,6,227,254,346,23,20,31
35,VF_SHSS-6,SS,SHSS,VF,1,1,6,5,165,Winter,8,1/6/2020,2020,1,6,25,22,24,4,8,3
36,VF_SHVB-6,SH,SHVB,VF,1,1,6,6,166,Winter,8,1/6/2020,2020,1,6,362,347,279,31,33,31
36,VF_SHVB-6,VB,SHVB,VF,1,1,6,6,166,Winter,8,1/6/2020,2020,1,6,0,62,40,0,1,2
37,FO_SS-1,SS,SS,FO,4,2,1,1,211,Winter,8,1/6/2020,2020,1,7,144,59,103,27,14,27
38,FO_SHSS-1,SH,SHSS,FO,4,2,1,2,212,Winter,8,1/6/2020,2020,1,7,449,895,786,42,80,91
38,FO_SHSS-1,SS,SHSS,FO,4,2,1,2,212,Winter,8,1/6/2020,2020,1,7,9,6,8,1,1,1
39,FO_SHVB-1,SH,SSVB,FO,4,2,1,3,213,Winter,8,1/6/2020,2020,1,7,411,468,532,40,38,55
39,FO_SHVB-1,VB,SHVB,FO,4,2,1,3,213,Winter,8,1/6/2020,2020,1,7,0,70,150,0,3,5
40,FO_SSVB-1,SS,SSVB,FO,4,2,1,4,214,Winter,8,1/6/2020,2020,1,7,0,0,0,0,0,0
40,FO_SSVB-1,VB,SSVB,FO,4,2,1,4,214,Winter,8,1/6/2020,2020,1,7,172,168,76,5,5,4
41,FO_SH-1,SH,SH,FO,4,2,1,5,215,Winter,8,1/6/2020,2020,1,7,342,748,969,33,67,90
42,FO_VB-1,VB,VB,FO,4,2,1,6,216,Winter,8,1/6/2020,2020,1,7,116,183,187,3,8,11
43,FO_VB-2,VB,VB,FO,4,2,2,1,221,Winter,8,1/6/2020,2020,1,7,165,172,128,6,8,6
44,FO_SSVB-2,SS,SSVB,FO,4,2,2,2,222,Winter,8,1/6/2020,2020,1,7,0,0,0,0,0,0
44,FO_SSVB-2,VB,SSVB,FO,4,2,2,2,222,Winter,8,1/6/2020,2020,1,7,87,162,86,5,9,4
45,FO_SS-2,SS,SS,FO,4,2,2,3,223,Winter,8,1/6/2020,2020,1,7,79,86,60,14,20,17
46,FO_SH-2,SH,SH,FO,4,2,2,4,224,Winter,8,1/6/2020,2020,1,7,336,690,402,34,69,40
47,FO_SHVB-2,SH,SHVB,FO,4,2,2,5,225,Winter,8,1/6/2020,2020,1,7,112,333,110,14,29,16
47,FO_SHVB-2,VB,SHVB,FO,4,2,2,5,225,Winter,8,1/6/2020,2020,1,7,30,66,27,1,3,2
48,FO_SHSS-2,SH,SHSS,FO,4,2,2,6,226,Winter,8,1/6/2020,2020,1,7,510,472,620,51,49,63
48,FO_SHSS-2,SS,SHSS,FO,4,2,2,6,226,Winter,8,1/6/2020,2020,1,7,127,24,71,28,6,11
49,FO_SH-3,SH,SH,FO,4,2,3,1,231,Winter,8,1/6/2020,2020,1,7,237,653,547,26,63,56
50,FO_SHVB-3,SH,SHVB,FO,4,2,3,2,232,Winter,8,1/6/2020,2020,1,7,364,318,260,39,37,27
50,FO_SHVB-3,VB,SHVB,FO,4,2,3,2,232,Winter,8,1/6/2020,2020,1,7,37,40,55,1,2,1
51,FO_VB-3,VB,VB,FO,4,2,3,3,233,Winter,8,1/6/2020,2020,1,7,266,306,213,7,8,6
52,FO_SHSS-3,SH,SHSS,FO,4,2,3,4,234,Winter,8,1/6/2020,2020,1,7,314,352,239,33,23,26
52,FO_SHSS-3,SS,SHSS,FO,4,2,3,4,234,Winter,8,1/6/2020,2020,1,7,70,56,73,14,14,14
53,FO_SS-3,SS,SS,FO,4,2,3,5,235,Winter,8,1/6/2020,2020,1,7,183,90,195,29,19,41
54,FO_SSVB-3,SS,SSVB,FO,4,2,3,6,236,Winter,8,1/6/2020,2020,1,7,0,0,0,0,0,0
54,FO_SSVB-3,VB,SSVB,FO,4,2,3,6,236,Winter,8,1/6/2020,2020,1,7,84,103,87,3,2,3
55,FO_SHSS-4,SH,SHSS,FO,4,2,4,1,241,Winter,8,1/6/2020,2020,1,7,298,157,201,23,17,15
55,FO_SHSS-4,SS,SHSS,FO,4,2,4,1,241,Winter,8,1/6/2020,2020,1,7,16,37,23,1,6,1
56,FO_SH-4,SH,SH,FO,4,2,4,2,242,Winter,8,1/6/2020,2020,1,7,346,416,390,39,43,35
57,FO_SSVB-4,SS,SSVB,FO,4,2,4,3,243,Winter,8,1/6/2020,2020,1,7,34,53,38,5,6,2
57,FO_SSVB-4,VB,SSVB,FO,4,2,4,3,243,Winter,8,1/6/2020,2020,1,7,104,24,37,2,1,1
58,FO_SS-4,SS,SS,FO,4,2,4,4,244,Winter,8,1/6/2020,2020,1,7,82,142,91,13,18,17
59,FO_VB-4,VB,VB,FO,4,2,4,5,245,Winter,8,1/6/2020,2020,1,7,245,119,131,6,3,5
60,FO_SHVB-4,SH,SHVB,FO,4,2,4,6,246,Winter,8,1/6/2020,2020,1,7,124,184,483,11,22,48
60,FO_SHVB-4,VB,SHVB,FO,4,2,4,6,246,Winter,8,1/6/2020,2020,1,7,56,27,0,1,1,0
61,FO_SHVB-5,SH,SHVB,FO,4,2,5,1,251,Winter,8,1/6/2020,2020,1,7,370,262,239,30,40,18
61,FO_SHVB-5,VB,SHVB,FO,4,2,5,1,251,Winter,8,1/6/2020,2020,1,7,86,78,56,3,3,1
62,FO_SS-5,SS,SS,FO,4,2,5,2,252,Winter,8,1/6/2020,2020,1,7,98,92,42,18,18,8
63,FO_SHSS-5,SH,SHSS,FO,4,2,5,3,253,Winter,8,1/6/2020,2020,1,7,294,257,162,25,23,14
63,FO_SHSS-5,SS,SHSS,FO,4,2,5,3,253,Winter,8,1/6/2020,2020,1,7,12,22,15,2,3,3
64,FO_VB-5,VB,VB,FO,4,2,5,4,254,Winter,8,1/6/2020,2020,1,7,233,115,197,4,5,5
65,FO_SSVB-5,SS,SSVB,FO,4,2,5,5,255,Winter,8,1/6/2020,2020,1,7,17,12,5,1,1,1
65,FO_SSVB-5,VB,SSVB,FO,4,2,5,5,255,Winter,8,1/6/2020,2020,1,7,123,150,141,4,5,4
66,FO_SH-5,SH,SH,FO,4,2,5,6,256,Winter,8,1/6/2020,2020,1,7,176,217,102,30,21,11
67,FO_SSVB-6,SS,SSVB,FO,4,2,6,1,261,Winter,8,1/6/2020,2020,1,7,17,7,44,5,1,8
67,FO_SSVB-6,VB,SSVB,FO,4,2,6,1,261,Winter,8,1/6/2020,2020,1,7,58,154,78,2,5,2
68,FO_VB-6,VB,VB,FO,4,2,6,2,262,Winter,8,1/6/2020,2020,1,7,211,144,242,11,6,11
69,FO_SH-6,SH,SH,FO,4,2,6,3,263,Winter,8,1/6/2020,2020,1,7,236,155,312,26,18,29
70,FO_SHVB-6,VB,SHVB,FO,4,2,6,4,264,Winter,8,1/6/2020,2020,1,7,75,40,41,2,1,3
70,FO_SHVB-6,SH,SHVB,FO,4,2,6,4,264,Winter,8,1/6/2020,2020,1,7,93,149,259,10,17,24
71,FO_SHSS-6,SS,SHSS,FO,4,2,6,5,265,Winter,8,1/6/2020,2020,1,7,17,9,10,5,3,2
71,FO_SHSS-6,SH,SHSS,FO,4,2,6,5,265,Winter,8,1/6/2020,2020,1,7,168,384,183,16,37,15
72,FO_SS-6,SS,SS,FO,4,2,6,6,266,Winter,8,1/7/2020,2020,1,7,51,45,46,15,8,11
73,HH_SH-1,SH,SH,HH,14,3,1,1,311,Winter,8,1/8/2020,2020,1,8,87,224,301,6,13,26
74,HH_SSVB-1,SS,SSVB,HH,14,3,1,2,312,Winter,8,1/8/2020,2020,1,8,86,50,65,16,9,16
74,HH_SSVB-1,VB,SSVB,HH,14,3,1,2,312,Winter,8,1/8/2020,2020,1,8,24,46,33,2,2,1
75,HH_SHVB-1,SH,SHVB,HH,14,3,1,3,313,Winter,8,1/8/2020,2020,1,8,138,51,185,6,3,15
75,HH_SHVB-1,VB,SHVB,HH,14,3,1,3,313,Winter,8,1/8/2020,2020,1,8,31,55,35,1,1,1
76,HH_SHSS-1,SH,SHSS,HH,14,3,1,4,314,Winter,8,1/8/2020,2020,1,8,180,174,142,12,12,14
76,HH_SHSS-1,SS,SHSS,HH,14,3,1,4,314,Winter,8,1/8/2020,2020,1,8,17,41,44,14,10,9
77,HH_VB-1,VB,VB,HH,14,3,1,5,315,Winter,8,1/8/2020,2020,1,8,205,175,113,10,7,3
