PlotID,Location,PlotName,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingWeek,SampleDate,Year,Month,Day,Leaves+Stems_FreshWeight_g,Leaves+Stems_FreshWeight_g,Leaves+Stems_FreshWeight_g,Roots_FreshWeight_g,Roots_FreshWeight_g,Roots_FreshWeight_g
1,VF,VF_SHSS-1,SH,SHSS,1,1,1,111,9,7/18/2019,2019,7,18,1511,965,1068,495.1,163,125.6
1,VF,VF_SHSS-1,SS,SHSS,1,1,1,111,9,7/18/2020,2019,7,18,15,76,189,5,3,258.2
2,VF,VF_VB-1,VB,VB,1,1,2,112,9,7/18/2021,2019,7,18,404,445,258,17,33.2,14
3,VF,VF_SH-1,SH,SH,1,1,3,113,9,7/18/2022,2019,7,18,1977,2197,1282,534.7,344,253.5
4,VF,VF_SHVB-1,SH,SHVB,1,1,4,114,9,7/18/2023,2019,7,18,1528,815,1028,361.8,362,246
4,VF,VF_SHVB-1,VB,SHVB,1,1,4,114,9,7/18/2024,2019,7,18,0,0,102,0,0,4
5,VF,VF_SSVB-1,SS,SSVB,1,1,5,115,9,7/18/2025,2019,7,18,350,331,444,87.3,79.8,54.5
5,VF,VF_SSVB-1,VB,SSVB,1,1,5,115,9,7/18/2026,2019,7,18,0,107,46,0,7.3,5.6
6,VF,VF_SS-1,SS,SS,1,1,6,116,9,7/18/2027,2019,7,18,440,204,305,129.8,54.7,83.2
7,VF,VF_SS-2,SS,SS,1,2,1,121,9,7/18/2028,2019,7,18,434,472,514,128,150.2,308.7
8,VF,VF_SHVB-2,SH,SHVB,1,2,2,122,9,7/18/2029,2019,7,18,987,1136,974,199,278,143.2
8,VF,VF_SHVB-2,VB,SHVB,1,2,2,122,9,7/18/2030,2019,7,18,31,0,115,2,0,4.7
9,VF,VF_SSVB-2,SS,SSVB,1,2,3,123,9,7/18/2031,2019,7,18,375,656,1114,121.1,158.2,1402
9,VF,VF_SSVB-2,VB,SSVB,1,2,3,123,9,7/18/2032,2019,7,18,187,120,129,4,12.5,1
10,VF,VF_SH-2,SH,SH,1,2,4,124,9,7/18/2033,2019,7,18,1918,2619,2439,320,507,372
11,VF,VF_VB-2,VB,VB,1,2,5,125,9,7/18/2034,2019,7,18,847,744,377,34,49,20
12,VF,VF_SHSS-2,SH,SHSS,1,2,6,126,9,7/18/2035,2019,7,18,961,1631,731,170,259,132
12,VF,VF_SHSS-2,SS,SHSS,1,2,6,126,9,7/18/2036,2019,7,18,691,668,583,85,122,83
13,VF,VF_VB-3,VB,VB,1,3,1,131,9,7/18/2037,2019,7,18,593,485,577,27,33,29
14,VF,VF_SSVB-3,SS,SSVB,1,3,2,132,9,7/18/2038,2019,7,18,536,865,1098,165,358,246
14,VF,VF_SSVB-3,VB,SSVB,1,3,2,132,9,7/18/2039,2019,7,18,48,0,114,1,0,3
15,VF,VF_SHVB-3,SH,SHVB,1,3,3,133,9,7/18/2040,2019,7,18,1776,1449,1904,359,252,334
15,VF,VF_SHVB-3,VB,SHVB,1,3,3,133,9,7/18/2041,2019,7,18,102,156,79,8,6,10
16,VF,VF_SHSS-3,SH,SHSS,1,3,4,134,9,7/18/2042,2019,7,18,985,679,704,163.2,107.5,84.6
16,VF,VF_SHSS-3,SS,SHSS,1,3,4,134,9,7/18/2043,2019,7,18,1124,500,677,183,111.3,90
17,VF,VF_SS-3,SS,SS,1,3,5,135,9,7/18/2044,2019,7,18,1143,1157,1218,241,223.3,309
18,VF,VF_SH-3,SH,SH,1,3,6,136,9,7/18/2045,2019,7,18,1803,2409,2348,253,442,201
19,VF,VF_SH-4,SH,SH,1,4,1,141,9,7/18/2046,2019,7,18,1942,1548,2541,299,415,550.6
20,VF,VF_SS-4,SS,SS,1,4,2,142,9,7/18/2047,2019,7,18,321,215,21.58,74.9,47.38,11.4
21,VF,VF_SHSS-4,SH,SHSS,1,4,3,143,9,7/18/2019,2019,7,18,1186,1070,594,190,164,82
21,VF,VF_SHSS-4,SS,SHSS,1,4,3,143,9,7/18/2020,2019,7,18,341,528,265,98,134,97
22,VF,VF_VB-4,VB,VB,1,4,4,144,9,7/18/2021,2019,7,18,600,584,620,35,22,29
23,VF,VF_SHVB-4,SH,SHVB,1,4,5,144,9,7/18/2022,2019,7,18,1008,1191,1953,325,436,518
23,VF,VF_SHVB-4,VB,SHVB,1,4,5,145,9,7/18/2023,2019,7,18,196,137,0,7,8,0
24,VF,VF_SSVB-4,SS,SSVB,1,4,6,146,9,7/18/2024,2019,7,18,570,1047,1161,105,266,325
24,VF,VF_SSVB-4,VB,SSVB,1,4,6,146,9,7/18/2025,2019,7,18,129,13,104,9,4,9
25,VF,VF_SHVB-5,SH,SHVB,1,5,1,151,9,7/19/2019,2019,7,19,1832,1942,1130,389,610,147
25,VF,VF_SHVB-5,VB,SHVB,1,5,1,151,9,7/19/2020,2019,7,19,303,123,204,11,8,8
