PlotID,SiteName,Block,PlotName,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,SamplingWeek,Height_cm,Height_cm,Height_cm,Chlorophyll_CCI,Chlorophyll_CCI,Chlorophyll_CCI
1,VF,1,VF_SHSS-1,SH,SHSS,1,1,1,111,Summer,6/3/2019,3,240,210,240,12.6,8.9,11.5
1,VF,1,VF_SHSS-1,SS,SHSS,1,1,1,111,Summer,6/3/2019,3,440,440,390,15.9,22,16.8
2,VF,1,VF_VB-1,VB,VB,1,1,2,112,Summer,6/3/2019,3,180,160,220,14.4,35.1,11.7
3,VF,1,VF_SH-1,SH,SH,1,1,3,113,Summer,6/3/2019,3,250,240,170,10.3,9.8,7.1
4,VF,1,VF_SHVB-1,SH,SHVB,1,1,4,114,Summer,6/3/2019,3,190,220,270,7.8,8.4,18.6
4,VF,1,VF_SHVB-1,VB,SHVB,1,1,4,114,Summer,6/3/2019,3,140,210,160,26.9,28.3,36.8
5,VF,1,VF_SSVB-1,SS,SSVB,1,1,5,115,Summer,6/3/2019,3,290,390,470,2.9,11.1,17.8
5,VF,1,VF_SSVB-1,VB,SSVB,1,1,5,115,Summer,6/3/2019,3,150,120,140,14.2,13.1,17.4
6,VF,1,VF_SS-1,SS,SS,1,1,6,116,Summer,6/3/2019,3,260,330,390,12.1,13.3,3.1
7,VF,1,VF_SS-2,SS,SS,1,2,1,121,Summer,6/3/2019,3,570,470,400,11.5,9,9.6
8,VF,1,VF_SHVB-2,SH,SHVB,1,2,2,122,Summer,6/3/2019,3,220,240,210,17.1,8,12.4
8,VF,1,VF_SHVB-2,VB,SHVB,1,2,2,122,Summer,6/3/2019,3,140,110,130,32,14.2,22.4
9,VF,1,VF_SSVB-2,SS,SSVB,1,2,3,123,Summer,6/3/2019,3,470,450,490,8,8.7,11.8
9,VF,1,VF_SSVB-2,VB,SSVB,1,2,3,123,Summer,6/3/2019,3,130,150,190,23.9,18.3,36
10,VF,1,VF_SH-2,SH,SH,1,2,4,124,Summer,6/3/2019,3,220,170,250,10.3,7,9.8
11,VF,1,VF_VB-2,VB,VB,1,2,5,125,Summer,6/3/2019,3,150,200,170,13.8,37.2,29.2
12,VF,1,VF_SHSS-2,SH,SHSS,1,2,6,126,Summer,6/3/2019,3,250,240,280,2.6,16.2,12.1
12,VF,1,VF_SHSS-2,SS,SHSS,1,2,6,126,Summer,6/3/2019,3,530,510,360,10.3,7.7,8.2
13,VF,1,VF_VB-3,VB,VB,1,3,1,131,Summer,6/3/2019,3,160,110,165,20.9,12.4,25.5
14,VF,1,VF_SSVB-3,SS,SSVB,1,3,2,132,Summer,6/3/2019,3,500,420,400,12.5,10.8,13.5
14,VF,1,VF_SSVB-3,VB,SSVB,1,3,2,132,Summer,6/3/2019,3,200,120,150,11.3,27.2,39.7
15,VF,1,VF_SHVB-3,SH,SHVB,1,3,3,133,Summer,6/3/2019,3,240,220,190,8.3,1.2,13.4
15,VF,1,VF_SHVB-3,VB,SHVB,1,3,3,133,Summer,6/3/2019,3,110,190,180,29.6,8.6,25.2
16,VF,1,VF_SHSS-3,SH,SHSS,1,3,4,134,Summer,6/3/2019,3,210,220,230,6.4,8.9,9.9
16,VF,1,VF_SHSS-3,SS,SHSS,1,3,4,134,Summer,6/3/2019,3,400,390,380,1.9,14.8,11.2
17,VF,1,VF_SS-3,SS,SS,1,3,5,135,Summer,6/3/2019,3,420,510,510,7.6,10.4,11.1
18,VF,1,VF_SH-3,SH,SH,1,3,6,136,Summer,6/3/2019,3,270,230,270,10,9.9,12.9
19,VF,1,VF_SH-4,SH,SH,1,4,1,141,Summer,6/3/2019,3,290,290,250,2.8,8.7,8.5
20,VF,1,VF_SS-4,SS,SS,1,4,2,142,Summer,6/3/2019,3,490,500,490,11.9,6.4,14.3
21,VF,1,VF_SHSS-4,SH,SHSS,1,4,3,143,Summer,6/3/2019,3,210,250,230,4.1,14,13.1
21,VF,1,VF_SHSS-4,SS,SHSS,1,4,3,143,Summer,6/3/2019,3,260,400,460,14.6,14.9,18.2
22,VF,1,VF_VB-4,VB,VB,1,4,4,144,Summer,6/3/2019,3,130,150,130,26.5,10.6,38.9
23,VF,1,VF_SHVB-4,SH,SHVB,1,4,5,144,Summer,6/3/2019,3,190,230,210,10.4,13.8,8.4
23,VF,1,VF_SHVB-4,VB,SHVB,1,4,5,145,Summer,6/3/2019,3,130,120,180,8.6,28.2,13.8
24,VF,1,VF_SSVB-4,SS,SSVB,1,4,6,146,Summer,6/3/2019,3,590,430,490,15.9,18,14.6
24,VF,1,VF_SSVB-4,VB,SSVB,1,4,6,146,Summer,6/3/2019,3,180,130,120,29.7,18.7,11.8
25,VF,1,VF_SHVB-5,SH,SHVB,1,5,1,151,Summer,6/3/2019,3,250,240,200,9.6,16.3,9.2
25,VF,1,VF_SHVB-5,VB,SHVB,1,5,1,151,Summer,6/3/2019,3,130,190,190,8.7,20,31.3
26,VF,1,VF_SHSS-5,SH,SHSS,1,5,2,152,Summer,6/3/2019,3,220,230,240,9.1,6.4,1.7
26,VF,1,VF_SHSS-5,SS,SHSS,1,5,2,152,Summer,6/3/2019,3,390,370,440,20.1,20.5,18.1
27,VF,1,VF_SS-5,SS,SS,1,5,3,153,Summer,6/3/2019,3,570,460,410,8.4,10.5,8.6
28,VF,1,VF_SSVB-5,SS,SSVB,1,5,4,154,Summer,6/3/2019,3,490,430,460,12.9,17.4,9.4
28,VF,1,VF_SSVB-5,VB,SSVB,1,5,4,154,Summer,6/3/2019,3,230,170,260,19.7,9.6,26.1
29,VF,1,VF_SH-5,SH,SH,1,5,5,155,Summer,6/3/2019,3,210,220,260,10.3,13,8.1
30,VF,1,VF_VB-5,VB,VB,1,5,6,156,Summer,6/3/2019,3,170,160,160,43.4,13.4,17.5
31,VF,1,VF_SSVB-6,SS,SSVB,1,6,1,161,Summer,6/3/2019,3,480,460,470,10.7,9.4,9.6
31,VF,1,VF_SSVB-6,VB,SSVB,1,6,1,161,Summer,6/3/2019,3,170,120,170,15.1,9.6,14.3
32,VF,1,VF_SH-6,SH,SH,1,6,2,162,Summer,6/3/2019,3,270,260,260,8.9,19.5,8.4
33,VF,1,VF_VB-6,VB,VB,1,6,3,163,Summer,6/3/2019,3,150,160,140,32.2,29.8,22.1
34,VF,1,VF_SS-6,SS,SS,1,6,4,164,Summer,6/3/2019,3,490,450,500,13.3,13.8,4.3
35,VF,1,VF_SHSS-6,SH,SHSS,1,6,5,165,Summer,6/3/2019,3,160,190,210,10,8.7,10.8
35,VF,1,VF_SHSS-6,SS,SHSS,1,6,5,165,Summer,6/3/2019,3,470,310,370,19.5,16.8,15
