PlotID,Block,PlotName,Location,SiteNum,RowNum,ColNum,Position,CropName,CropTrt,Year,Month,Day,SamplingWeek,SamplingDate,Hght_w4_mm,Hght_w4_mm,Hght_w4_mm,Chloro_w4_CCI,Chloro_w4_CCI,Chloro_w4_CCI
1,1,VF_SHSS-1,VF,1,1,1,111,SH,SHSS,2019,12,3,4,12/3/2019,200,220,180,13.1,12.5,11.5
1,1,VF_SHSS-1,VF,1,1,1,111,SS,SHSS,2019,12,3,4,12/3/2019,120,110,150,3.7,2.7,1.5
2,1,VF_VB-1,VF,1,1,2,112,VB,VB,2019,12,3,4,12/3/2019,110,120,120,15.8,30.1,35.1
3,1,VF_SH-1,VF,1,1,3,113,SH,SH,2019,12,3,4,12/3/2019,220,110,80,15.4,11.8,11.7
4,1,VF_SHVB-1,VF,1,1,4,114,SH,SHVB,2019,12,3,4,12/3/2019,110,190,100,15.5,13.5,10.9
4,1,VF_SHVB-1,VF,1,1,4,114,VB,SHVB,2019,12,3,4,12/3/2019,120,130,80,17.6,9,17.1
5,1,VF_SSVB-1,VF,1,1,5,115,SS,SSVB,2019,12,3,4,12/3/2019,140,160,100,5.5,6.2,3.2
5,1,VF_SSVB-1,VF,1,1,5,115,VB,SSVB,2019,12,3,4,12/3/2019,130,160,100,22.5,14.4,39.9
6,1,VF_SS-1,VF,1,1,6,116,SS,SS,2019,12,3,4,12/3/2019,80,100,140,4.7,5.3,6.7
7,1,VF_SS-2,VF,1,2,1,121,SS,SS,2019,12,3,4,12/3/2019,90,40,100,5.7,5.4,6.1
8,1,VF_SHVB-2,VF,1,2,2,122,SH,SHVB,2019,12,3,4,12/3/2019,90,60,130,11.9,17.7,11.2
8,1,VF_SHVB-2,VF,1,2,2,122,VB,SHVB,2019,12,3,4,12/3/2019,80,60,130,16.5,15.2,36.2
9,1,VF_SSVB-2,VF,1,2,3,123,SS,SSVB,2019,12,3,4,12/3/2019,50,40,80,1.6,2.8,7.8
9,1,VF_SSVB-2,VF,1,2,3,123,VB,SSVB,2019,12,3,4,12/3/2019,100,150,80,8.1,14.8,9.9
10,1,VF_SH-2,VF,1,2,4,124,SH,SH,2019,12,3,4,12/3/2019,80,180,120,9.1,9.9,12.1
11,1,VF_VB-2,VF,1,2,5,125,VB,VB,2019,12,3,4,12/3/2019,100,110,90,29.8,28.2,14.7
12,1,VF_SHSS-2,VF,1,2,6,126,SH,SHSS,2019,12,3,4,12/3/2019,140,190,100,10.9,12.7,11.8
12,1,VF_SHSS-2,VF,1,2,6,126,SS,SHSS,2019,12,3,4,12/3/2019,120,60,50,6.4,3.2,6.5
13,1,VF_VB-3,VF,1,3,1,131,VB,VB,2019,12,3,4,12/3/2019,130,110,120,13.1,17.5,18.1
14,1,VF_SSVB-3,VF,1,3,2,132,SS,SSVB,2019,12,3,4,12/3/2019,50,60,80,7.2,6.2,3.5
14,1,VF_SSVB-3,VF,1,3,2,132,VB,SSVB,2019,12,3,4,12/3/2019,90,50,90,29.4,6.8,15.8
15,1,VF_SHVB-3,VF,1,3,3,133,SH,SHVB,2019,12,3,4,12/3/2019,100,120,170,10.6,10,10.1
15,1,VF_SHVB-3,VF,1,3,3,133,VB,SHVB,2019,12,3,4,12/3/2019,120,90,80,28.9,12,6.9
16,1,VF_SHSS-3,VF,1,3,4,134,SH,SHSS,2019,12,3,4,12/3/2019,170,180,170,12.8,14.4,11.4
16,1,VF_SHSS-3,VF,1,3,4,134,SS,SHSS,2019,12,3,4,12/3/2019,120,160,70,8.7,6.1,6.3
17,1,VF_SS-3,VF,1,3,5,135,SS,SS,2019,12,3,4,12/3/2019,160,100,130,3.4,5.5,5.8
18,1,VF_SH-3,VF,1,3,6,136,SH,SH,2019,12,3,4,12/3/2019,210,130,80,11.8,9.9,13.2
19,1,VF_SH-4,VF,1,4,1,141,SH,SH,2019,12,3,4,12/3/2019,130,210,110,11.9,11.3,12.9
20,1,VF_SS-4,VF,1,4,2,142,SS,SS,2019,12,3,4,12/3/2019,60,70,90,3.4,3.7,5.8
21,1,VF_SHSS-4,VF,1,4,3,143,SH,SHSS,2019,12,3,4,12/3/2019,100,110,170,14.7,12,9.7
21,1,VF_SHSS-4,VF,1,4,3,143,SS,SHSS,2019,12,3,4,12/3/2019,50,50,70,5,2.5,3.4
22,1,VF_VB-4,VF,1,4,4,144,VB,VB,2019,12,3,4,12/3/2019,130,100,120,11.3,28.9,8.4
23,1,VF_SHVB-4,VF,1,4,5,144,SH,SHVB,2019,12,3,4,12/3/2019,190,140,160,14.8,11.2,13.5
