PlotID,Block,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,Day,CropTrt,Height_cm,Height_cm,Height_cm,Chlorophyll_CCI,Chlorophyll_CCI,Chlorophyll_CCI
1,1,VF_SHSS-1,VF,SH,SHSS,1,1,1,111,Summer,5,6/17/2019,2019,6,17,SH,85,77,82,10.2,11.3,7.9
1,1,VF_SHSS-1,VF,SS,SHSS,1,1,1,111,Summer,5,6/17/2019,2019,6,17,SS,104,117,101,5.8,6.5,6.5
2,1,VF_VB-1,VF,VB,VB,1,1,2,112,Summer,5,6/17/2019,2019,6,17,VB,92,113,89,19.7,24.2,18.6
3,1,VF_SH-1,VF,SH,SH,1,1,3,113,Summer,5,6/17/2019,2019,6,17,SH,86,78,87,4.5,12.4,14.3
4,1,VF_SHVB-1,VF,SH,SHVB,1,1,4,114,Summer,5,6/17/2019,2019,6,17,SH,99,94,97,9.8,15.3,12
4,1,VF_SHVB-1,VF,VB,SHVB,1,1,4,114,Summer,5,6/17/2019,2019,6,17,VB,86,68,112,25.6,19.4,17.7
5,1,VF_SSVB-1,VF,SS,SSVB,1,1,5,115,Summer,5,6/17/2019,2019,6,17,SS,87,90,88,5.5,6.2,6.2
5,1,VF_SSVB-1,VF,VB,SSVB,1,1,5,115,Summer,5,6/17/2019,2019,6,17,VB,41,100,70,19.6,21.9,7.5
6,1,VF_SS-1,VF,SS,SS,1,1,6,116,Summer,5,6/17/2019,2019,6,17,SS,75,54,66,4.4,3.9,2.9
7,1,VF_SS-2,VF,SS,SS,1,2,1,121,Summer,5,6/17/2019,2019,6,17,SS,90,75,86,7.6,10.7,13
8,1,VF_SHVB-2,VF,SH,SHVB,1,2,2,122,Summer,5,6/17/2019,2019,6,17,SH,72,80,84,10.4,9.2,11.5
8,1,VF_SHVB-2,VF,VB,SHVB,1,2,2,122,Summer,5,6/17/2019,2019,6,17,VB,80,73,1.3,18.8,22.4,12.5
9,1,VF_SSVB-2,VF,SS,SSVB,1,2,3,123,Summer,5,6/17/2019,2019,6,17,SS,122,100,117,14.1,9.9,5.7
9,1,VF_SSVB-2,VF,VB,SSVB,1,2,3,123,Summer,5,6/17/2019,2019,6,17,VB,115,56,95,19.5,16.9,23.9
10,1,VF_SH-2,VF,SH,SH,1,2,4,124,Summer,5,6/17/2019,2019,6,17,SH,99,76,85,13.8,11.3,14.6
