PlotID,PlotName,CropName,CropTrt,Block,Location,SiteNum,RowNumber,ColNum,Position,Season,Year,Month,Day,SamplingWeek,SamplingDate,Height_cm,Height_cm,Height_cm,Chlorophyll_CCI,Chlorophyll_CCI,Chlorophyll_CCI
1,VF_SHSS-1,SH,SHSS,1,VF,1,1,1,111,Winter,2019,12,19,6,12/19/2019,21,62,40,13.6,13.9,19.8
1,VF_SHSS-1,SS,SHSS,1,VF,1,1,1,111,Winter,2019,12,19,6,12/19/2019,12,18,17,7.1,6.4,4.3
2,VF_VB-1,VB,VB,1,VF,1,1,2,112,Winter,2019,12,19,6,12/19/2019,60+,16,20,11.2,20.8,9.8
3,VF_SH-1,SH,SH,1,VF,1,1,3,113,Winter,2019,12,19,6,12/19/2019,39,27,48,11.3,14.2,14.9
4,VF_SHVB-1,SH,SHVB,1,VF,1,1,4,114,Winter,2019,12,19,6,12/19/2019,59,47,30,9.8,15.2,13.5
4,VF_SHVB-1,VB,SHVB,1,VF,1,1,4,114,Winter,2019,12,19,6,12/19/2019,40+,22+,37+,10.9,15.6,27.8
5,VF_SSVB-1,SS,SSVB,1,VF,1,1,5,115,Winter,2019,12,19,6,12/19/2019,24,14,22,6.8,5.7,7
5,VF_SSVB-1,VB,SSVB,1,VF,1,1,5,115,Winter,2019,12,19,6,12/19/2019,26,44+,20,18.5,14,19.7
6,VF_SS-1,SS,SS,1,VF,1,1,6,116,Winter,2019,12,19,6,12/19/2019,19,17,10,10.3,10.5,7
7,VF_SS-2,SS,SS,1,VF,1,2,1,121,Winter,2019,12,19,6,12/19/2019,13,17,20,8.4,7.3,8.8
8,VF_SHVB-2,SH,SHVB,1,VF,1,2,2,122,Winter,2019,12,19,6,12/19/2019,32,50,22,9.9,17.1,18.5
8,VF_SHVB-2,VB,SHVB,1,VF,1,2,2,122,Winter,2019,12,19,6,12/19/2019,16,47+,58+,7.2,12.3,8.9
9,VF_SSVB-2,SS,SSVB,1,VF,1,2,3,123,Winter,2019,12,19,6,12/19/2019,29,22,11,9.1,5.6,8.7
9,VF_SSVB-2,VB,SSVB,1,VF,1,2,3,123,Winter,2019,12,19,6,12/19/2019,30+,36+,22,10.9,8.8,14.6
10,VF_SH-2,SH,SH,1,VF,1,2,4,124,Winter,2019,12,19,6,12/19/2019,27,40,42,17.2,12.3,13.2
11,VF_VB-2,VB,VB,1,VF,1,2,5,125,Winter,2019,12,19,6,12/19/2019,28+,19,43+,21.1,12.6,23.6
12,VF_SHSS-2,SH,SHSS,1,VF,1,2,6,126,Winter,2019,12,19,6,12/19/2019,51,40,32,13.6,13.1,12.1
12,VF_SHSS-2,SS,SHSS,1,VF,1,2,6,126,Winter,2019,12,19,6,12/19/2019,13,10,22,7.2,9.8,12.8
13,VF_VB-3,VB,VB,1,VF,1,3,1,131,Winter,2019,12,19,6,12/19/2019,14,45+,17,7.7,29,10.3
14,VF_SSVB-3,SS,SSVB,1,VF,1,3,2,132,Winter,2019,12,19,6,12/19/2019,25,30,23,10.8,9.6,6.7
14,VF_SSVB-3,VB,SSVB,1,VF,1,3,2,132,Winter,2019,12,19,6,12/19/2019,20,29,36+,21.4,11.7,9.2
15,VF_SHVB-3,SH,SHVB,1,VF,1,3,3,133,Winter,2019,12,19,6,12/19/2019,58,47,26,11.1,9.2,12.7
15,VF_SHVB-3,VB,SHVB,1,VF,1,3,3,133,Winter,2019,12,19,6,12/19/2019,33+,40+,27,26,11.4,20.7
16,VF_SHSS-3,SH,SHSS,1,VF,1,3,4,134,Winter,2019,12,19,6,12/19/2019,52,38,32,10.3,15.8,8.5
16,VF_SHSS-3,SS,SHSS,1,VF,1,3,4,134,Winter,2019,12,19,6,12/19/2019,14,13,16,9.3,18,10.1
17,VF_SS-3,SS,SS,1,VF,1,3,5,135,Winter,2019,12,19,6,12/19/2019,24,13,29,8.2,9.2,6
18,VF_SH-3,SH,SH,1,VF,1,3,6,136,Winter,2019,12,19,6,12/19/2019,33,53,17,13.9,13.3,11.9
19,VF_SH-4,SH,SH,1,VF,1,4,1,141,Winter,2019,12,19,6,12/19/2019,40,31,54,11.6,11.8,11
20,VF_SS-4,SS,SS,1,VF,1,4,2,142,Winter,2019,12,19,6,12/19/2019,18,12,21,4.5,9.8,9
21,VF_SHSS-4,SH,SHSS,1,VF,1,4,3,143,Winter,2019,12,19,6,12/19/2019,49,30,33,12.8,16.9,13.7
21,VF_SHSS-4,SS,SHSS,1,VF,1,4,3,143,Winter,2019,12,19,6,12/19/2019,15,16,22,5.1,8.7,4.9
22,VF_VB-4,VB,VB,1,VF,1,4,4,144,Winter,2019,12,19,6,12/19/2019,39+,32+,11,8.9,10.7,29.9
23,VF_SHVB-4,SH,SHVB,1,VF,1,4,5,144,Winter,2019,12,19,6,12/19/2019,33,48,32,17.8,13.3,12.8
23,VF_SHVB-4,VB,SHVB,1,VF,1,4,5,145,Winter,2019,12,19,6,12/19/2019,40+,36,12,8.2,9.4,20.3
24,VF_SSVB-4,SS,SSVB,1,VF,1,4,6,146,Winter,2019,12,19,6,12/19/2019,32,30,16,7.8,8,7.1
24,VF_SSVB-4,VB,SSVB,1,VF,1,4,6,146,Winter,2019,12,19,6,12/19/2019,34+,36+,23+,7.7,12.3,11.5
25,VF_SHVB-5,SH,SHVB,1,VF,1,5,1,151,Winter,2019,12,19,6,12/19/2019,47,38,25,14.2,9.7,16.4
25,VF_SHVB-5,VB,SHVB,1,VF,1,5,1,151,Winter,2019,12,19,6,12/19/2019,15,22+,30+,10.5,27.1,11.4
26,VF_SHSS-5,SH,SHSS,1,VF,1,5,2,152,Winter,2019,12,19,6,12/19/2019,37,20,30,12.1,16.6,20.1
26,VF_SHSS-5,SS,SHSS,1,VF,1,5,2,152,Winter,2019,12,19,6,12/19/2019,13,18,20,6.4,8.5,11.1
27,VF_SS-5,SS,SS,1,VF,1,5,3,153,Winter,2019,12,19,6,12/19/2019,19,12,10,5.2,7.8,10
28,VF_SSVB-5,SS,SSVB,1,VF,1,5,4,154,Winter,2019,12,19,6,12/19/2019,18,18,16,9.2,5.6,4.1
28,VF_SSVB-5,VB,SSVB,1,VF,1,5,4,154,Winter,2019,12,19,6,12/19/2019,23,29+,12,25,12.3,15.2
29,VF_SH-5,SH,SH,1,VF,1,5,5,155,Winter,2019,12,19,6,12/19/2019,31,26,46,10.9,16,9.6
30,VF_VB-5,VB,VB,1,VF,1,5,6,156,Winter,2019,12,19,6,12/19/2019,12,18,36+,9.2,12.7,20.1
