PlotID,Block,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SampleWeek,SampleDate,Year,Month,Day,Hght_w6_cm,Hght_w6_cm,Hght_w6_cm,Chloro_w6_CCI,Chloro_w6_CCI,Chloro_w6_CCI,,,,,,,,,,,,,
1,1,VF_SHSS-1,VF,SH,SHSS,1,1,1,111,6,6/24/2019,2019,6,24,97,91,100,8,10.7,13.9,,,,,,,,,,,,,
1,1,VF_SHSS-1,VF,SS,SHSS,1,1,1,111,6,6/24/2019,2019,6,24,1.3,1.2,105,6.1,5.7,4.9,,,,,,,,,,,,,
2,1,VF_VB-1,VF,VB,VB,1,1,2,112,6,6/24/2019,2019,6,24,110+,110+,103+,20.3,13.2,18.5,,,,,,,,,,,,,
3,1,VF_SH-1,VF,SH,SH,1,1,3,113,6,6/24/2019,2019,6,24,113,117,115,12.6,14.3,14.6,,,,,,,,,,,,,
4,1,VF_SHVB-1,VF,SH,SHVB,1,1,4,114,6,6/24/2019,2019,6,24,133,112,141,11.9,11.5,15.7,,,,,,,,,,,,,
4,1,VF_SHVB-1,VF,VB,SHVB,1,1,4,114,6,6/24/2019,2019,6,24,161,214,136+,25.2,17,15.5,,,,,,,,,,,,,
5,1,VF_SSVB-1,VF,SS,SSVB,1,1,5,115,6,6/24/2019,2019,6,24,120,110,100,6.9,4.6,4.3,,,,,,,,,,,,,
5,1,VF_SSVB-1,VF,VB,SSVB,1,1,5,115,6,6/24/2019,2019,6,24,162,149,139,23.3,8.7,19.7,,,,,,,,,,,,,
6,1,VF_SS-1,VF,SS,SS,1,1,6,116,6,6/24/2019,2019,6,24,74,80,73,3.1,2.3,2.9,,,,,,,,,,,,,
7,1,VF_SS-2,VF,SS,SS,1,2,1,121,6,6/24/2019,2019,6,24,108,116,100,5,3.9,3.2,,,,,,,,,,,,,
8,1,VF_SHVB-2,VF,SH,SHVB,1,2,2,122,6,6/24/2019,2019,6,24,147,97,118,11,11.2,10.8,,,,,,,,,,,,,
8,1,VF_SHVB-2,VF,VB,SHVB,1,2,2,122,6,6/24/2019,2019,6,24,158+,132+,122+,20.3,13.2,18.1,,,,,,,,,,,,,
9,1,VF_SSVB-2,VF,SS,SSVB,1,2,3,123,6,6/24/2019,2019,6,24,143,137,131,7.6,7.1,10.5,,,,,,,,,,,,,
