PlotID,PlotName,CropName,CropTrt,Location,Block,SiteNum,RowNum,ColNum,Position,Month,Day,Year,Season,SamplingDate,SamplingWeek,Height_cm,Height_cm,Height_cm,Chlorophyll_CCI,Chlorophyll_CCI,Chlorophyll_CCI
1,VF_SHSS-1,SH,SHSS,VF,1,1,1,1,111,1,2,2020,Winter,1/2/2020,8,75,72,53,13.7,13.6,17.7
1,VF_SHSS-1,SS,SHSS,VF,1,1,1,1,111,1,2,2020,Winter,1/2/2020,8,33,29,38,6.5,5.1,8.4
2,VF_VB-1,VB,VB,VF,1,1,1,2,112,1,2,2020,Winter,1/2/2020,8,42+,73+,48+,23.2,30.9,30.8
3,VF_SH-1,SH,SH,VF,1,1,1,3,113,1,2,2020,Winter,1/2/2020,8,60,52,49,11.9,16.4,13.2
4,VF_SHVB-1,SH,SHVB,VF,1,1,1,4,114,1,2,2020,Winter,1/2/2020,8,63,62,51,28.8,29,22.6
4,VF_SHVB-1,VB,SHVB,VF,1,1,1,4,114,1,2,2020,Winter,1/2/2020,8,70+,50+,58,24.1,26.3,28.7
5,VF_SSVB-1,SS,SSVB,VF,1,1,1,5,115,1,2,2020,Winter,1/2/2020,8,48,40,32,3.7,8.6,7.3
5,VF_SSVB-1,VB,SSVB,VF,1,1,1,5,115,1,2,2020,Winter,1/2/2020,8,64+,78+,46+,18.1,9.3,34.2
6,VF_SS-1,SS,SS,VF,1,1,1,6,116,1,2,2020,Winter,1/2/2020,8,38,30,23,9.9,9,7.9
7,VF_SS-2,SS,SS,VF,1,1,2,1,121,1,2,2020,Winter,1/2/2020,8,41,32,29,6.4,5.9,9.6
8,VF_SHVB-2,SH,SHVB,VF,1,1,2,2,122,1,2,2020,Winter,1/2/2020,8,45,39,67,21.5,14.2,8.2
8,VF_SHVB-2,VB,SHVB,VF,1,1,2,2,122,1,2,2020,Winter,1/2/2020,8,65+,44+,47,16.9,25.7,19.3
9,VF_SSVB-2,SS,SSVB,VF,1,1,2,3,123,1,2,2020,Winter,1/2/2020,8,34,28,21,10.6,8.7,8.9
9,VF_SSVB-2,VB,SSVB,VF,1,1,2,3,123,1,2,2020,Winter,1/2/2020,8,71+,63+,59+,25.4,10.9,38.9
10,VF_SH-2,SH,SH,VF,1,1,2,4,124,1,2,2020,Winter,1/2/2020,8,64,56,75,12.3,24.7,19.5
11,VF_VB-2,VB,VB,VF,1,1,2,5,125,1,2,2020,Winter,1/2/2020,8,68+,52+,59,17.8,30.3,17.7
12,VF_SHSS-2,SH,SHSS,VF,1,1,2,6,126,1,2,2020,Winter,1/2/2020,8,44,72,52,15.4,13.7,19.6
12,VF_SHSS-2,SS,SHSS,VF,1,1,2,6,126,1,2,2020,Winter,1/2/2020,8,38,24,25,6.1,10.4,6.2
13,VF_VB-3,VB,VB,VF,1,1,3,1,131,1,2,2020,Winter,1/2/2020,8,60+,58+,49+,35.5,6.1,35.2
14,VF_SSVB-3,SS,SSVB,VF,1,1,3,2,132,1,2,2020,Winter,1/2/2020,8,47,29,40,7.6,5.6,9.3
14,VF_SSVB-3,VB,SSVB,VF,1,1,3,2,132,1,2,2020,Winter,1/2/2020,8,85+,43,35,11.8,37.4,32.7
15,VF_SHVB-3,SH,SHVB,VF,1,1,3,3,133,1,2,2020,Winter,1/2/2020,8,64,56,40,17.3,12.5,19.4
15,VF_SHVB-3,VB,SHVB,VF,1,1,3,3,133,1,2,2020,Winter,1/2/2020,8,62+,50,51,23.7,25.9,12.7
16,VF_SHSS-3,SH,SHSS,VF,1,1,3,4,134,1,2,2020,Winter,1/2/2020,8,78,59,63,25.8,23.2,16.4
16,VF_SHSS-3,SS,SHSS,VF,1,1,3,4,134,1,2,2020,Winter,1/2/2020,8,48,36,28,9.3,6.7,24.8
17,VF_SS-3,SS,SS,VF,1,1,3,5,135,1,2,2020,Winter,1/2/2020,8,49,21,37,6,7.3,5.5
18,VF_SH-3,SH,SH,VF,1,1,3,6,136,1,2,2020,Winter,1/2/2020,8,70,37,68,22.3,16.9,16.9
19,VF_SH-4,SH,SH,VF,1,1,4,1,141,1,2,2020,Winter,1/2/2020,8,68,53,45,12.4,25.3,21.3
20,VF_SS-4,SS,SS,VF,1,1,4,2,142,1,2,2020,Winter,1/2/2020,8,40,33,23,4.5,5.9,7.7
21,VF_SHSS-4,SH,SHSS,VF,1,1,4,3,143,1,2,2020,Winter,1/2/2020,8,67,58,53,16.8,23.8,20.4
21,VF_SHSS-4,SS,SHSS,VF,1,1,4,3,143,1,2,2020,Winter,1/2/2020,8,20,38,32,8.4,9.2,5.6
22,VF_VB-4,VB,VB,VF,1,1,4,4,144,1,2,2020,Winter,1/2/2020,8,73+,51+,69,33.6,10.2,37.6
23,VF_SHVB-4,SH,SHVB,VF,1,1,4,5,144,1,2,2020,Winter,1/2/2020,8,48,52,67,24.6,15.9,15.5
23,VF_SHVB-4,VB,SHVB,VF,1,1,4,5,145,1,2,2020,Winter,1/2/2020,8,53+,50+,39,23.3,21.6,26.4
24,VF_SSVB-4,SS,SSVB,VF,1,1,4,6,146,1,2,2020,Winter,1/2/2020,8,40,31,22,6.8,7,7.6
24,VF_SSVB-4,VB,SSVB,VF,1,1,4,6,146,1,2,2020,Winter,1/2/2020,8,80+,49+,38+,34.4,31.8,8.4
25,VF_SHVB-5,SH,SHVB,VF,1,1,5,1,151,1,2,2020,Winter,1/2/2020,8,63,49,40,14.1,15.8,24.7
25,VF_SHVB-5,VB,SHVB,VF,1,1,5,1,151,1,2,2020,Winter,1/2/2020,8,60+,60+,77+,31.9,23.6,29.1
26,VF_SHSS-5,SH,SHSS,VF,1,1,5,2,152,1,2,2020,Winter,1/2/2020,8,64,43,51,14,25.3,31.7
26,VF_SHSS-5,SS,SHSS,VF,1,1,5,2,152,1,2,2020,Winter,1/2/2020,8,21,35,33,8.4,7.4,8.4
27,VF_SS-5,SS,SS,VF,1,1,5,3,153,1,2,2020,Winter,1/2/2020,8,27,38,30,11.1,5.4,5.1
28,VF_SSVB-5,SS,SSVB,VF,1,1,5,4,154,1,2,2020,Winter,1/2/2020,8,33,24,29,10.2,4.8,6.2
28,VF_SSVB-5,VB,SSVB,VF,1,1,5,4,154,1,2,2020,Winter,1/2/2020,8,70+,64+,50,30.7,21.4,8.7
29,VF_SH-5,SH,SH,VF,1,1,5,5,155,1,2,2020,Winter,1/2/2020,8,50,69,55,17.9,20.1,20.4
30,VF_VB-5,VB,VB,VF,1,1,5,6,156,1,2,2020,Winter,1/2/2020,8,47+,56+,61+,32.1,9.8,16.3
31,VF_SSVB-6,SS,SSVB,VF,1,1,6,1,161,1,2,2020,Winter,1/2/2020,8,37,20,33,7.1,6.3,8.9
31,VF_SSVB-6,VB,SSVB,VF,1,1,6,1,161,1,2,2020,Winter,1/2/2020,8,74+,30,54+,32.7,29.7,16.3
32,VF_SH-6,SH,SH,VF,1,1,6,2,162,1,2,2020,Winter,1/2/2020,8,52,68,53,20.2,18.3,25.7
33,VF_VB-6,VB,VB,VF,1,1,6,3,163,1,2,2020,Winter,1/2/2020,8,75+,49+,65+,23.5,16,11
34,VF_SS-6,SS,SS,VF,1,1,6,4,164,1,2,2020,Winter,1/2/2020,8,35,24,22,8.5,7.7,7.3
35,VF_SHSS-6,SH,SHSS,VF,1,1,6,5,165,1,2,2020,Winter,1/2/2020,8,51,68,62,19.4,13.3,12.5
35,VF_SHSS-6,SS,SHSS,VF,1,1,6,5,165,1,2,2020,Winter,1/2/2020,8,20,33,50,6,5.8,7.3
36,VF_SHVB-6,SH,SHVB,VF,1,1,6,6,166,1,2,2020,Winter,1/2/2020,8,70,61,49,14,25.4,16.6
36,VF_SHVB-6,VB,SHVB,VF,1,1,6,6,166,1,2,2020,Winter,1/2/2020,8,75+,60+,56+,28.4,26.8,27.2
37,FO_SS-1,SS,SS,FO,4,2,1,1,211,1,2,2020,Winter,1/2/2020,8,61,33,52,10.7,8.7,11.3
38,FO_SHSS-1,SH,SHSS,FO,4,2,1,2,212,1,2,2020,Winter,1/2/2020,8,74,89,54,20.4,17.7,22.8
38,FO_SHSS-1,SS,SHSS,FO,4,2,1,2,212,1,2,2020,Winter,1/2/2020,8,32,21,35,6.9,9.9,7.9
39,FO_SHVB-1,SH,SSVB,FO,4,2,1,3,213,1,2,2020,Winter,1/2/2020,8,87,70,68,16.6,35.7,14.1
39,FO_SHVB-1,VB,SHVB,FO,4,2,1,3,213,1,2,2020,Winter,1/2/2020,8,70+,63+,60+,33.8,12.6,22.3
40,FO_SSVB-1,SS,SSVB,FO,4,2,1,4,214,1,2,2020,Winter,1/2/2020,8,0,0,0,0,0,0
40,FO_SSVB-1,VB,SSVB,FO,4,2,1,4,214,1,2,2020,Winter,1/2/2020,8,66+,58+,54+,32.5,10.8,13.7
41,FO_SH-1,SH,SH,FO,4,2,1,5,215,1,2,2020,Winter,1/2/2020,8,68,55,70,21.7,19.7,23
42,FO_VB-1,VB,VB,FO,4,2,1,6,216,1,2,2020,Winter,1/2/2020,8,42,65+,58+,27.9,19.9,36.5
43,FO_VB-2,VB,VB,FO,4,2,2,1,221,1,2,2020,Winter,1/2/2020,8,67+,67+,91+,30.8,33.4,11.9
44,FO_SSVB-2,SS,SSVB,FO,4,2,2,2,222,1,2,2020,Winter,1/2/2020,8,0,0,0,0,0,0
44,FO_SSVB-2,VB,SSVB,FO,4,2,2,2,222,1,2,2020,Winter,1/2/2020,8,75,86,53,24.5,30.7,8.1
45,FO_SS-2,SS,SS,FO,4,2,2,3,223,1,2,2020,Winter,1/2/2020,8,53,40,25,7.1,5.8,10
46,FO_SH-2,SH,SH,FO,4,2,2,4,224,1,2,2020,Winter,1/2/2020,8,73,90,51,27.1,19.1,17.6
47,FO_SHVB-2,SH,SHVB,FO,4,2,2,5,225,1,2,2020,Winter,1/2/2020,8,70,67,50,33.3,12.2,16.4
47,FO_SHVB-2,VB,SHVB,FO,4,2,2,5,225,1,2,2020,Winter,1/2/2020,8,62+,70+,63+,11.9,25.4,12.4
48,FO_SHSS-2,SH,SHSS,FO,4,2,2,6,226,1,2,2020,Winter,1/2/2020,8,89,80,64,16,22.7,11.8
48,FO_SHSS-2,SS,SHSS,FO,4,2,2,6,226,1,2,2020,Winter,1/2/2020,8,67,59,43,12.5,13.7,10.1
49,FO_SH-3,SH,SH,FO,4,2,3,1,231,1,2,2020,Winter,1/2/2020,8,63,55,71,18.9,24.7,22.6
50,FO_SHVB-3,SH,SHVB,FO,4,2,3,2,232,1,2,2020,Winter,1/2/2020,8,74,56,79,20,20.1,19.3
50,FO_SHVB-3,VB,SHVB,FO,4,2,3,2,232,1,2,2020,Winter,1/2/2020,8,68+,75+,52+,10.3,24.2,18.7
