PlotID,PlotName,Block,Location,CropNm,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,SamplingWeek,Month,Day,Year,StdCnt_Q1,StdCnt_Q2,StdCnt_Q3
1,VF_SHSS-1,1,VF,SH,SHSS,1,1,1,111,Winter,1/6/2020,8,1,6,2020,24,27,17
1,VF_SHSS-1,1,VF,SS,SHSS,1,1,1,111,Winter,1/6/2020,8,1,6,2020,18,17,31
2,VF_VB-1,1,VF,VB,VB,1,1,2,112,Winter,1/6/2020,8,1,6,2020,4,6,5
3,VF_SH-1,1,VF,SH,SH,1,1,3,113,Winter,1/6/2020,8,1,6,2020,49,79,54
4,VF_SHVB-1,1,VF,SH,SHVB,1,1,4,114,Winter,1/6/2020,8,1,6,2020,15,29,21
4,VF_SHVB-1,1,VF,VB,SHVB,1,1,4,114,Winter,1/6/2020,8,1,6,2020,1,3,2
5,VF_SSVB-1,1,VF,SS,SSVB,1,1,5,115,Winter,1/6/2020,8,1,6,2020,13,15,37
5,VF_SSVB-1,1,VF,VB,SSVB,1,1,5,115,Winter,1/6/2020,8,1,6,2020,3,2,3
6,VF_SS-1,1,VF,SS,SS,1,1,6,116,Winter,1/6/2020,8,1,6,2020,14,32,20
7,VF_SS-2,1,VF,SS,SS,1,2,1,121,Winter,1/6/2020,8,1,6,2020,44,34,22
8,VF_SHVB-2,1,VF,SH,SHVB,1,2,2,122,Winter,1/6/2020,8,1,6,2020,30,22,20
8,VF_SHVB-2,1,VF,VB,SHVB,1,2,2,122,Winter,1/6/2020,8,1,6,2020,3,4,2
9,VF_SSVB-2,1,VF,SS,SSVB,1,2,3,123,Winter,1/6/2020,8,1,6,2020,17,18,17
9,VF_SSVB-2,1,VF,VB,SSVB,1,2,3,123,Winter,1/6/2020,8,1,6,2020,3,2,3
10,VF_SH-2,1,VF,SH,SH,1,2,4,124,Winter,1/6/2020,8,1,6,2020,35,48,22
11,VF_VB-2,1,VF,VB,VB,1,2,5,125,Winter,1/6/2020,8,1,6,2020,6,8,5
