PlotID,Block,SiteName,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,SamplingWeek,Year,Month,Day ,StandCount_Q1,StandCount_Q2,StandCount_Q3,StandCount_Avg
1,1,VF,VF_SHSS-1,VF,SH,SHSS,1,1,1,111,7/18/2019,9,2019,7,18,40,30,21,30
1,1,VF,VF_SHSS-1,VF,SS,SHSS,1,1,1,111,7/18/2019,9,2019,7,18,3,4,7,5
2,1,VF,VF_VB-1,VF,VB,VB,1,1,2,112,7/18/2019,9,2019,7,18,4,6,3,4
3,1,VF,VF_SH-1,VF,SH,SH,1,1,3,113,7/18/2019,9,2019,7,18,48,88,31,56
4,1,VF,VF_SHVB-1,VF,SH,SHVB,1,1,4,114,7/18/2019,9,2019,7,18,28,9,12,16
4,1,VF,VF_SHVB-1,VF,VB,SHVB,1,1,4,114,7/18/2019,9,2019,7,18,0,0,1,0
5,1,VF,VF_SSVB-1,VF,SS,SSVB,1,1,5,115,7/18/2019,9,2019,7,18,26,13,24,21
5,1,VF,VF_SSVB-1,VF,VB,SSVB,1,1,5,115,7/18/2019,9,2019,7,18,0,1,1,1
6,1,VF,VF_SS-1,VF,SS,SS,1,1,6,116,7/18/2019,9,2019,7,18,86,81,65,77
7,1,VF,VF_SS-2,VF,SS,SS,1,2,1,121,7/18/2019,9,2019,7,18,21,50,47,39
8,1,VF,VF_SHVB-2,VF,SH,SHVB,1,2,2,122,7/18/2019,9,2019,7,18,15,19,16,17
8,1,VF,VF_SHVB-2,VF,VB,SHVB,1,2,2,122,7/18/2019,9,2019,7,18,1,0,2,1
9,1,VF,VF_SSVB-2,VF,SS,SSVB,1,2,3,123,7/18/2019,9,2019,7,18,8,20,24,17
9,1,VF,VF_SSVB-2,VF,VB,SSVB,1,2,3,123,7/18/2019,9,2019,7,18,1,3,1,2
10,1,VF,VF_SH-2,VF,SH,SH,1,2,4,124,7/18/2019,9,2019,7,18,37,51,151,80
11,1,VF,VF_VB-2,VF,VB,VB,1,2,5,125,7/18/2019,9,2019,7,18,5,5,3,4
12,1,VF,VF_SHSS-2,VF,SH,SHSS,1,2,6,126,7/18/2019,9,2019,7,18,32,34,12,26
12,1,VF,VF_SHSS-2,VF,SS,SHSS,1,2,6,126,7/18/2019,9,2019,7,18,47,72,38,52
13,1,VF,VF_VB-3,VF,VB,VB,1,3,1,131,7/18/2019,9,2019,7,18,3,3,4,3
14,1,VF,VF_SSVB-3,VF,SS,SSVB,1,3,2,132,7/18/2019,9,2019,7,18,29,44,28,34
14,1,VF,VF_SSVB-3,VF,VB,SSVB,1,3,2,132,7/18/2019,9,2019,7,18,1,0,2,1
15,1,VF,VF_SHVB-3,VF,SH,SHVB,1,3,3,133,7/18/2019,9,2019,7,18,40,23,42,35
15,1,VF,VF_SHVB-3,VF,VB,SHVB,1,3,3,133,7/18/2019,9,2019,7,18,2,2,1,2
16,1,VF,VF_SHSS-3,VF,SH,SHSS,1,3,4,134,7/18/2019,9,2019,7,18,34,24,23,27
16,1,VF,VF_SHSS-3,VF,SS,SHSS,1,3,4,134,7/18/2019,9,2019,7,18,45,37,52,45
17,1,VF,VF_SS-3,VF,SS,SS,1,3,5,135,7/18/2019,9,2019,7,18,122,67,124,104
18,1,VF,VF_SH-3,VF,SH,SH,1,3,6,136,7/18/2019,9,2019,7,18,47,73,65,62
19,1,VF,VF_SH-4,VF,SH,SH,1,4,1,141,7/18/2019,9,2019,7,18,32,48,71,50
20,1,VF,VF_SS-4,VF,SS,SS,1,4,2,142,7/18/2019,9,2019,7,18,20,32,5,19
21,1,VF,VF_SHSS-4,VF,SH,SHSS,1,4,3,143,7/18/2019,9,2019,7,18,28,24,12,21
21,1,VF,VF_SHSS-4,VF,SS,SHSS,1,4,3,143,7/18/2019,9,2019,7,18,31,39,24,31
22,1,VF,VF_VB-4,VF,VB,VB,1,4,4,144,7/18/2019,9,2019,7,18,4,4,4,4
23,1,VF,VF_SHVB-4,VF,SH,SHVB,1,4,5,144,7/18/2019,9,2019,7,18,14,17,28,20
23,1,VF,VF_SHVB-4,VF,VB,SHVB,1,4,5,145,7/18/2019,9,2019,7,18,2,1,0,1
24,1,VF,VF_SSVB-4,VF,SS,SSVB,1,4,6,146,7/18/2019,9,2019,7,18,24,40,57,40
24,1,VF,VF_SSVB-4,VF,VB,SSVB,1,4,6,146,7/18/2019,9,2019,7,18,2,1,2,2
25,1,VF,VF_SHVB-5,VF,SH,SHVB,1,5,1,151,7/18/2019,9,2019,7,19,24,39,21,28
25,1,VF,VF_SHVB-5,VF,VB,SHVB,1,5,1,151,7/18/2019,9,2019,7,19,2,2,3,2
26,1,VF,VF_SHSS-5,VF,SH,SHSS,1,5,2,152,7/18/2019,9,2019,7,19,35,21,52,36
26,1,VF,VF_SHSS-5,VF,SS,SHSS,1,5,2,152,7/18/2019,9,2019,7,19,23,7,27,19
27,1,VF,VF_SS-5,VF,SS,SS,1,5,3,153,7/18/2019,9,2019,7,19,44,43,47,45
28,1,VF,VF_SSVB-5,VF,SS,SSVB,1,5,4,154,7/18/2019,9,2019,7,19,14,15,41,23
28,1,VF,VF_SSVB-5,VF,VB,SSVB,1,5,4,154,7/18/2019,9,2019,7,19,2,3,1,2
29,1,VF,VF_SH-5,VF,SH,SH,1,5,5,155,7/18/2019,9,2019,7,19,48,71,53,57
30,1,VF,VF_VB-5,VF,VB,VB,1,5,6,156,7/18/2019,9,2019,7,19,7,4,2,4
31,1,VF,VF_SSVB-6,VF,SS,SSVB,1,6,1,161,7/18/2019,9,2019,7,19,5,5,12,7
31,1,VF,VF_SSVB-6,VF,VB,SSVB,1,6,1,161,7/18/2019,9,2019,7,19,2,5,1,3
32,1,VF,VF_SH-6,VF,SH,SH,1,6,2,162,7/18/2019,9,2019,7,19,69,90,51,70
33,1,VF,VF_VB-6,VF,VB,VB,1,6,3,163,7/18/2019,9,2019,7,19,4,3,3,3
34,1,VF,VF_SS-6,VF,SS,SS,1,6,4,164,7/18/2019,9,2019,7,19,20,5,55,27
35,1,VF,VF_SHSS-6,VF,SH,SHSS,1,6,5,165,7/18/2019,9,2019,7,19,27,25,50,34
35,1,VF,VF_SHSS-6,VF,SS,SHSS,1,6,5,165,7/18/2019,9,2019,7,19,8,9,0,6
36,1,VF,VF_SHVB-6,VF,SH,SHVB,1,6,6,166,7/18/2019,9,2019,7,19,43,34,16,31
36,1,VF,VF_SHVB-6,VF,VB,SHVB,1,6,6,166,7/18/2019,9,2019,7,19,1,1,2,1
37,4,FO,FO_SS-1,FO,SS,SS,2,1,1,211,7/18/2019,8,2019,7,10,70,90,78,79
38,4,FO,FO_SHSS-1,FO,SH,SHSS,2,1,2,212,7/18/2019,8,2019,7,10,17,27,15,20
38,4,FO,FO_SHSS-1,FO,SS,SHSS,2,1,2,212,7/18/2019,8,2019,7,10,10,6,10,9
39,4,FO,FO_SHVB-1,FO,SH,SHVB,2,1,3,213,7/18/2019,8,2019,7,10,21,19,15,18
39,4,FO,FO_SHVB-1,FO,VB,SHVB,2,1,3,213,7/18/2019,8,2019,7,10,1,2,1,1
40,4,FO,FO_SSVB-1,FO,SS,SSVB,2,1,4,214,7/18/2019,8,2019,7,10,23,24,42,30
40,4,FO,FO_SSVB-1,FO,VB,SSVB,2,1,4,214,7/18/2019,8,2019,7,10,1,3,1,2
41,4,FO,FO_SH-1,FO,SH,SH,2,1,5,215,7/18/2019,8,2019,7,10,35,16,56,36
42,4,FO,FO_VB-1,FO,VB,VB,2,1,6,216,7/18/2019,8,2019,7,10,3,1,2,2
43,4,FO,FO_VB-2,FO,VB,VB,2,2,1,221,7/18/2019,8,2019,7,10,5,6,4,5
44,4,FO,FO_SSVB-2,FO,SS,SSVB,2,2,2,222,7/18/2019,8,2019,7,10,82,45,38,55
44,4,FO,FO_SSVB-2,FO,VB,SSVB,2,2,2,222,7/18/2019,8,2019,7,10,1,1,2,1
45,4,FO,FO_SS-2,FO,SS,SS,2,2,3,223,7/18/2019,8,2019,7,10,51,69,136,85
46,4,FO,FO_SH-2,FO,SH,SH,2,2,4,224,7/18/2019,8,2019,7,10,33,17,38,29
47,4,FO,FO_SHVB-2,FO,SH,SHVB,2,2,5,225,7/18/2019,8,2019,7,10,15,29,10,18
47,4,FO,FO_SHVB-2,FO,VB,SHVB,2,2,5,225,7/18/2019,8,2019,7,10,1,0,2,1
48,4,FO,FO_SHSS-2,FO,SH,SHSS,2,2,6,226,7/18/2019,8,2019,7,10,17,26,20,21
48,4,FO,FO_SHSS-2,FO,SS,SHSS,2,2,6,226,7/18/2019,8,2019,7,10,39,51,48,46
49,4,FO,FO_SH-3,FO,SH,SH,2,3,1,231,7/18/2019,8,2019,7,10,33,76,49,53
