PlotID,PlotName,SamplingDate,Month,Day,Year,Location,CropTrt,Block,SiteNum,RowNumber,ColNum,Position,CanWgt_g,Fresh_Wgt_g,Dry_Wgt_g,Gravel-DryWgt_g,Water-mL,Gravel+Water-Vol_mL or cm3,Gravel_Vol_mL_cm3,Soil-DryWgt_g,Soil-wtr-cnt-g/g,Soil-Vol_cm3,SoilBD_g/cm3,Soil Porosity_%
1,VF_SHSS-1,4/10/2019,4,10,2019,VF,SHSS,1,1,1,1,111,31.3,309.4,278.51,165.33,200,280,80,144.05,277.1,129.31,1.91,27.86%
2,VF_VB-1,4/10/2019,4,10,2019,VF,VB,1,1,1,2,112,31.14,317.44,289.88,193.25,200,280,80,127.76,285.3,129.31,2.00,24.49%
3,VF_SH-1,4/10/2019,4,10,2019,VF,SH,1,1,1,3,113,31.45,314.08,283.92,179.72,200,275,75,134.83,281.63,134.31,1.88,29.07%
4,VF_SHVB-1,4/10/2019,4,10,2019,VF,SHVB,1,1,1,4,114,30.59,276.56,248.05,138.88,200,250,50,139.04,244.97,159.31,1.37,48.49%
5,VF_SSVB-1,4/10/2019,4,10,2019,VF,SSVB,1,1,1,5,115,31.62,248.57,223.72,130.41,200,250,50,124.78,215.95,159.31,1.21,54.50%
6,VF_SS-1,4/10/2019,4,10,2019,VF,SS,1,1,1,6,116,31.27,320.29,290.24,184.93,200,275,75,135.66,288.02,134.31,1.93,27.24%
7,VF_SS-2,4/10/2019,4,10,2019,VF,SS,1,1,2,1,121,30.95,263.32,240.09,173.64,200,270,70,97.35,231.37,139.31,1.50,43.35%
8,VF_SHVB-2,4/10/2019,4,10,2019,VF,SHVB,1,1,2,2,122,31.09,273.31,249.59,165.49,200,260,60,115.19,241.22,149.31,1.46,44.78%
9,VF_SSVB-2,4/10/2019,4,10,2019,VF,SSVB,1,1,2,3,123,31.59,241.97,219.67,133.06,200,240,40,118.01,209.38,169.31,1.11,58.08%
10,VF_SH-2,4/10/2019,4,10,2019,VF,SH,1,1,2,4,124,31.18,278.96,251.73,137.26,200,250,50,147.39,246.78,159.31,1.38,47.76%
11,VF_VB-2,4/10/2019,4,10,2019,VF,VB,1,1,2,5,125,31.07,303.06,273.72,154.41,200,260,60,149,270.99,149.31,1.63,38.67%
12,VF_SHSS-2,4/10/2019,4,10,2019,VF,SHSS,1,1,2,6,126,31.11,252.79,228.83,135.33,200,250,50,123.98,220.68,159.31,1.24,53.17%
13,VF_VB-3,4/10/2019,4,10,2019,VF,VB,1,1,3,1,131,31.25,286.81,257.96,143.28,200,255,55,145.77,254.56,154.31,1.47,44.56%
14,VF_SSVB-3,4/10/2019,4,10,2019,VF,SSVB,1,1,3,2,132,31.15,322.95,291.54,171.46,200,270,70,150.94,290.8,139.31,1.87,29.47%
15,VF_SHVB-3,4/10/2019,4,10,2019,VF,SHVB,1,1,3,3,133,30.77,314.25,286.35,177.42,200,280,80,137.82,282.48,129.31,1.98,25.42%
16,VF_SHSS-3,4/10/2019,4,10,2019,VF,SHSS,1,1,3,4,134,31.09,316.19,283.5,159.97,200,260,60,153.94,284.1,149.31,1.69,36.21%
17,VF_SS-3,4/10/2019,4,10,2019,VF,SS,1,1,3,5,135,30.95,287.03,257.91,140.64,200,250,50,149.61,255.08,159.31,1.42,46.24%
18,VF_SH-3,4/10/2019,4,10,2019,VF,SH,1,1,3,6,136,31.13,300.34,273.24,172.53,200,265,65,131.96,268.21,144.31,1.68,36.69%
19,VF_SH-4,4/10/2019,4,10,2019,VF,SH,1,1,4,1,141,31.1,275.97,252.05,168.86,200,270,70,114.24,243.87,139.31,1.59,40.15%
20,VF_SS-4,4/10/2019,4,10,2019,VF,SS,1,1,4,2,142,31.91,259.81,233.88,138.94,200,250,50,126.8,226.9,159.31,1.27,52.16%
21,VF_SHSS-4,4/10/2019,4,10,2019,VF,SHSS,1,1,4,3,143,30.81,262.2,234.78,128.36,200,240,40,137.48,230.39,169.31,1.20,54.54%
22,VF_VB-4,4/10/2019,4,10,2019,VF,VB,1,1,4,4,144,31.04,288.45,260.56,150.77,200,255,55,140.87,256.41,154.31,1.49,43.87%
23,VF_SHVB-4,4/10/2019,4,10,2019,VF,SHVB,1,1,4,5,145,31.29,267.84,243.73,157.86,200,260,60,116.94,235.55,149.31,1.42,46.31%
24,VF_SSVB-4,4/10/2019,4,10,2019,VF,SSVB,1,1,4,6,146,32.01,311.32,283.96,184.04,200,280,80,131.69,278.31,129.31,1.95,26.47%
25,VF_SHVB-5,4/10/2019,4,10,2019,VF,SHVB,1,1,5,1,151,30.83,350.04,316.41,207.24,200,280,80,137.76,318.21,129.31,2.21,16.66%
26,VF_SHSS-5,4/10/2019,4,10,2019,VF,SHSS,1,1,5,2,152,30.63,277.14,251.31,162.01,200,260,60,120.14,245.51,149.31,1.48,44.23%
27,VF_SS-5,4/10/2019,4,10,2019,VF,SS,1,1,5,3,153,31.48,319.39,289.34,165.68,200,260,60,154.54,286.91,149.31,1.73,34.83%
28,VF_SSVB-5,4/10/2019,4,10,2019,VF,SSVB,1,1,5,4,154,30.79,268.96,244.5,151.61,200,255,55,123.39,237.17,154.31,1.38,47.74%
29,VF_SH-5,4/10/2019,4,10,2019,VF,SH,1,1,5,5,155,30.67,272.55,247.7,147.48,200,260,60,130.75,240.88,149.31,1.45,45.15%
30,VF_VB-5,4/10/2019,4,10,2019,VF,VB,1,1,5,6,156,31.11,276.68,250.36,141.82,200,255,55,138.99,244.57,154.31,1.42,46.38%
31,VF_SSVB-6,4/10/2019,4,10,2019,VF,SSVB,1,1,6,1,161,31.18,298.63,273.45,174.99,200,280,80,128.93,266.45,129.31,1.87,29.30%
32,VF_SH-6,4/10/2019,4,10,2019,VF,SH,1,1,6,2,162,30.92,277.08,251.96,153.6,200,260,60,129.31,245.16,149.31,1.48,44.14%
33,VF_SS-6,4/10/2019,4,10,2019,VF,SS,1,1,6,3,163,31.16,291.05,259.52,145.04,200,250,50,145.03,258.89,159.31,1.43,45.91%
34,VF_SS-6,4/10/2019,4,10,2019,VF,SS,1,1,6,4,164,31.35,254.6,232.84,153.02,200,260,60,111.33,222.25,149.31,1.35,49.08%
35,VF_SHSS-6,4/10/2019,4,10,2019,VF,SHSS,1,1,6,5,165,31.08,296.45,268.93,157.58,200,260,60,141.7,264.37,149.31,1.59,39.89%
36,VF_SHVB-6,4/10/2019,4,10,2019,VF,SHVB,1,1,6,6,166,30.68,316.93,287.59,169.26,200,270,70,149.23,285.25,139.31,1.84,30.41%
73,HH_SH-1,4/11/2019,4,11,2019,HH,SH,14,3,1,1,311,31.21,270.82,240.94,176.08,200,280,80,96.44,238.61,129.31,1.62,38.80%
74,HH_SSVB-1,4/11/2019,4,11,2019,HH,SSVB,14,3,1,2,312,31.16,247.49,215.59,136.87,200,255,55,110.06,215.33,154.31,1.20,54.90%
75,HH_SHVB-1,4/11/2019,4,11,2019,HH,SHVB,14,3,1,3,313,30.95,250.94,219.18,147.98,200,260,60,101.88,218.99,149.31,1.26,52.43%
76,HH_SHSS-1,4/11/2019,4,11,2019,HH,SHSS,14,3,1,4,314,30.61,249.27,213.83,122.69,200,240,40,121.95,217.66,169.31,1.08,59.16%
77,HH_VB-1,4/11/2019,4,11,2019,HH,VB,14,3,1,5,315,31.3,247.22,215.21,132.35,200,250,50,114.44,214.92,159.31,1.15,56.44%
78,HH_SS-1,4/11/2019,4,11,2019,HH,SS,14,3,1,6,316,31.09,238.35,204.12,110.3,200,250,50,124.45,206.26,159.31,1.09,59.01%
79,HH_VB-2,4/11/2019,4,11,2019,HH,VB,14,3,2,1,321,31.07,217.23,192.85,136.04,200,260,60,87.18,185.16,149.31,1.08,59.11%
80,HH_SHSS-2,4/11/2019,4,11,2019,HH,SHSS,14,3,2,2,322,30.96,268.97,244.31,194.47,200,290,90,81.09,237.01,119.31,1.79,32.52%
