PlotID,PlotName,Month,Day,Year,SampleDate,Season,Location,CropTrt,Block,SiteNum,RowNumber,ColNum,Position,CanWgt_g,FreshWgt_g,DryWgt_g,FrhWgt_w/o_can+lid_g,DryWgt_w/o_can+lid_g,CanWgt_w/o_lid_g,Soil-wtr-cnt-g/g,Gravel_DryWgt_with_can_g,GravelDryWgt_g,SoilDryWgt_g,Soilwgt_w/o_can_g,Water_mL,Gravel+WaterVol_mL,GravelVol_mL,SoilVol_cm3,SoilBD_gcm3,SoilPorosity_percent
1,VF_SHSS-1,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,1,1,111,45,295,332,250,287,31,249,198.65,167.65,120,89,200,285,85,124.31,2.31,12.88%
2,VF_VB-1,10,28,2019,10/28/2019,Winter,VF,VB,1,1,1,2,112,45,230,272,185,227,31,184,179.76,148.76,78,47,200,280,80,129.31,1.76,33.76%
3,VF_SH-1,10,28,2019,10/28/2019,Winter,VF,SH,1,1,1,3,113,45,217,258,172,213,31,171,173.87,142.87,68,37,200,272,72,137.31,1.55,41.46%
4,VF_SHVB-1,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,1,4,114,45,187,227,142,182,31,141,126.62,95.62,86,55,200,250,50,159.31,1.14,56.89%
5,VF_SSVB-1,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,1,5,115,45,230,271,185,226,31,184,185.28,154.28,72,41,200,279,79,130.31,1.73,34.55%
6,VF_SS-1,10,28,2019,10/28/2019,Winter,VF,SS,1,1,1,6,116,45,243,282,198,237,31,197,175.17,144.17,94,63,200,270,70,139.31,1.7,35.80%
7,VF_SS-2,10,28,2019,10/28/2019,Winter,VF,SS,1,1,2,1,121,45,252,290,207,245,31,206,161.71,130.71,116,85,200,260,60,149.31,1.64,38.08%
8,VF_SHVB-2,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,2,2,122,45,288,326,243,281,31,242,177.87,146.87,134,103,200,280,80,129.31,2.17,18.00%
9,VF_SSVB-2,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,2,3,123,45,291,327,246,282,31,245,208.71,177.71,105,74,200,290,90,119.31,2.36,10.81%
10,VF_SH-2,10,28,2019,10/28/2019,Winter,VF,SH,1,1,2,4,124,45,282,322,237,277,31,236,206.32,175.32,103,72,200,290,90,119.31,2.32,12.39%
11,VF_VB-2,10,28,2019,10/28/2019,Winter,VF,VB,1,1,2,5,125,45,271,311,226,266,31,225,187.42,156.42,112,81,200,280,80,129.31,2.06,22.37%
