Plot_ID,Block,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,Day,Month,Year,BeakerWgt_g,Wt_Soil_g,PreIgnitionWT_g,PostIgnitionWgt_g,AshWt_g,LOIorSOM_percent_M1,LOIorSOM_percent_M2
1,1,VF,VF_SHSS-1,SHSS,1,1,1,111,Summer,5/6/2019,6,5,2019,12.95,0.32,13.27,13.26,0.31,-3.2,3.1
2,1,VF,VF_VB-1,VB,1,1,2,112,Summer,5/6/2019,6,5,2019,12.89,0.36,13.25,13.23,0.34,-5.9,5.6
3,1,VF,VF_SH-1,SH,1,1,3,113,Summer,5/6/2019,6,5,2019,12.73,0.36,13.09,13.07,0.34,-5.9,5.6
4,1,VF,VF_SHVB-1,SHVB,1,1,4,114,Summer,5/6/2019,6,5,2019,13.13,0.37,13.5,13.49,0.36,-2.8,2.7
5,1,VF,VF_SSVB-1,SSVB,1,1,5,115,Summer,5/6/2019,6,5,2019,13.07,0.35,13.42,13.38,0.31,-12.9,11.4
6,1,VF,VF_SS-1,SS,1,1,6,116,Summer,5/6/2019,6,5,2019,13.03,0.39,13.42,13.38,0.35,-11.4,10.3
7,1,VF,VF_SS-2,SS,1,2,1,121,Summer,5/6/2019,6,5,2019,13.01,0.3,13.31,13.29,0.28,-7.1,6.7
8,1,VF,VF_SHVB-2,SHVB,1,2,2,122,Summer,5/6/2019,6,5,2019,13.05,0.36,13.41,13.37,0.32,-12.5,11.1
9,1,VF,VF_SSVB-2,SSVB,1,2,3,123,Summer,5/6/2019,6,5,2019,13.08,0.37,13.45,13.41,0.33,-12.1,10.8
10,1,VF,VF_SH-2,SH,1,2,4,124,Summer,5/6/2019,6,5,2019,13.07,0.35,13.42,13.39,0.32,-9.4,8.6
11,1,VF,VF_VB-2,VB,1,2,5,125,Summer,5/6/2019,6,5,2019,13.16,0.3,13.46,13.43,0.27,-11.1,10
12,1,VF,VF_SHSS-2,SHSS,1,2,6,126,Summer,5/6/2019,6,5,2019,12.79,0.25,13.04,13.04,0.25,0,0
