Month,Day,Year,SamplingDate,Season,PlotID,PlotName,Block,Location,SiteNum,RowNumber,ColNum,Position,CropTrt,BeakerWgt_g,Wt_Soil_g,PostIgnitionWgt_g,AshWgt_g,LOIorSOM_percent_M1,LOIorSOM_percent_M2
10,28,2019,10/28/2019,Winter,1,VF_SHSS-1,1,VF,1,1,1,111,SHSS,13.21,0.5,13.55,0.34,-47.06,32
10,28,2019,10/28/2019,Winter,2,VF_VB-1,1,VF,1,1,2,112,VB,13.04,0.46,13.54,0.5,8,-8.7
10,28,2019,10/28/2019,Winter,3,VF_SH-1,1,VF,1,1,3,113,SH,13.11,0.47,13.53,0.42,-11.9,10.64
10,28,2019,10/28/2019,Winter,4,VF_SHVB-1,1,VF,1,1,4,114,SHVB,13.19,0.5,13.32,0.13,-284.62,74
10,28,2019,10/28/2019,Winter,5,VF_SSVB-1,1,VF,1,1,5,115,SSVB,12.81,0.44,13.58,0.77,42.86,-75
10,28,2019,10/28/2019,Winter,6,VF_SS-1,1,VF,1,1,6,116,SS,13.13,0.48,13.64,0.51,5.88,-6.25
10,28,2019,10/28/2019,Winter,7,VF_SS-2,1,VF,1,2,1,121,SS,12.99,0.48,13.57,0.58,17.24,-20.83
10,28,2019,10/28/2019,Winter,8,VF_SHVB-2,1,VF,1,2,2,122,SHVB,13.02,0.44,13.58,0.56,21.43,-27.27
10,28,2019,10/28/2019,Winter,9,VF_SSVB-2,1,VF,1,2,3,123,SSVB,13.09,0.45,13.25,0.16,-181.25,64.44
10,28,2019,10/28/2019,Winter,10,VF_SH-2,1,VF,1,2,4,124,SH,12.86,0.39,13.27,0.41,4.88,-5.13
10,28,2019,10/28/2019,Winter,11,VF_VB-2,1,VF,1,2,5,125,VB,13.16,0.49,13.59,0.43,-13.95,12.24
10,28,2019,10/28/2019,Winter,12,VF_SHSS-2,1,VF,1,2,6,126,SHSS,13.23,0.43,13.34,0.11,-290.91,74.42
10,28,2019,10/28/2019,Winter,13,VF_VB-3,1,VF,1,3,1,131,VB,12.81,0.46,13.56,0.75,38.67,-63.04
10,28,2019,10/28/2019,Winter,14,VF_SSVB-3,1,VF,1,3,2,132,SSVB,13.24,0.46,13.57,0.33,-39.39,28.26
10,28,2019,10/28/2019,Winter,15,VF_SHVB-3,1,VF,1,3,3,133,SHVB,13.03,0.48,13.29,0.26,-84.62,45.83
10,28,2019,10/28/2019,Winter,16,VF_SHSS-3,1,VF,1,3,4,134,SHSS,13.04,0.45,13.35,0.31,-45.16,31.11
10,28,2019,10/28/2019,Winter,17,VF_SS-3,1,VF,1,3,5,135,SS,13.05,0.48,13.25,0.2,-140,58.33
10,28,2019,10/28/2019,Winter,18,VF_SH-3,1,VF,1,3,6,136,SH,12.82,0.5,13.24,0.42,-19.05,16
10,28,2019,10/28/2019,Winter,19,VF_SH-4,1,VF,1,4,1,141,SH,12.86,0.45,13.59,0.73,38.36,-62.22
10,28,2019,10/28/2019,Winter,20,VF_SS-4,1,VF,1,4,2,142,SS,12.89,0.42,13.27,0.38,-10.53,9.52
10,28,2019,10/28/2019,Winter,21,VF_SHSS-4,1,VF,1,4,3,143,SHSS,13.06,0.43,13.22,0.16,-168.75,62.79
10,28,2019,10/28/2019,Winter,22,VF_VB-4,1,VF,1,4,4,144,VB,12.86,0.5,13.54,0.68,26.47,-36
10,28,2019,10/28/2019,Winter,23,VF_SHVB-4,1,VF,1,4,5,145,SHVB,13.19,0.48,13.66,0.47,-2.13,2.08
10,28,2019,10/28/2019,Winter,24,VF_SSVB-4,1,VF,1,4,6,146,SSVB,13.16,0.48,13.45,0.29,-65.52,39.58
10,28,2019,10/28/2019,Winter,25,VF_SHVB-5,1,VF,1,5,1,151,SHVB,13.14,0.47,13.57,0.43,-9.3,8.51
10,28,2019,10/28/2019,Winter,26,VF_SHSS-5,1,VF,1,5,2,152,SHSS,13.12,0.5,13.47,0.35,-42.86,30
10,28,2019,10/28/2019,Winter,27,VF_SS-5,1,VF,1,5,3,153,SS,13.11,0.45,13.43,0.32,-40.62,28.89
10,28,2019,10/28/2019,Winter,28,VF_SSVB-5,1,VF,1,5,4,154,SSVB,12.76,0.48,13.21,0.45,-6.67,6.25
10,28,2019,10/28/2019,Winter,29,VF_SH-5,1,VF,1,5,5,155,SH,12.79,0.48,13.58,0.79,39.24,-64.58
10,28,2019,10/28/2019,Winter,30,VF_VB-5,1,VF,1,5,6,156,VB,13.04,0.43,13.27,0.23,-86.96,46.51
10,28,2019,10/28/2019,Winter,31,VF_SSVB-6,1,VF,1,6,1,161,SSVB,13.11,0.45,13.28,0.17,-164.71,62.22
10,28,2019,10/28/2019,Winter,32,VF_SH-6,1,VF,1,6,2,162,SH,12.82,0.5,13.5,0.68,26.47,-36
10,28,2019,10/28/2019,Winter,33,VF_SS-6,1,VF,1,6,3,163,SS,13.1,0.5,13.45,0.35,-42.86,30
10,28,2019,10/28/2019,Winter,34,VF_SS-6,1,VF,1,6,4,164,SS,13.15,0.47,13.57,0.42,-11.9,10.64
10,28,2019,10/28/2019,Winter,35,VF_SHSS-6,1,VF,1,6,5,165,SHSS,13.24,0.49,13.52,0.28,-75,42.86
10,28,2019,10/28/2019,Winter,36,VF_SHVB-6,1,VF,1,6,6,166,SHVB,13.17,0.5,13.42,0.25,-100,50
10,28,2019,10/28/2019,Winter,37,FO_SS-1,4,FO,2,1,1,211,SS,12.84,0.48,13.22,0.38,-26.32,20.83
10,28,2019,10/28/2019,Winter,38,FO_SHSS-1,4,FO,2,1,2,213,SHSS,12.81,0.46,13.53,0.72,36.11,-56.52
10,28,2019,10/28/2019,Winter,39,FO_SHVB-1,4,FO,2,1,3,213,SHVB,13.16,0.48,13.43,0.27,-77.78,43.75
10,28,2019,10/28/2019,Winter,40,FO_SSVB-1,4,FO,2,1,4,214,SSVB,13.15,0.42,13.47,0.32,-31.25,23.81
10,28,2019,10/28/2019,Winter,41,FO_SH-1,4,FO,2,1,5,215,SH,13.23,0.45,13.56,0.33,-36.36,26.67
10,28,2019,10/28/2019,Winter,42,FO_VB-1,4,FO,2,1,6,216,VB,13.13,0.48,13.43,0.3,-60,37.5
10,28,2019,10/28/2019,Winter,43,FO_VB-2,4,FO,2,2,1,221,VB,12.88,0.5,13.65,0.77,35.06,-54
10,28,2019,10/28/2019,Winter,44,FO_SSVB-2,4,FO,2,2,2,222,SSVB,13.13,0.45,13.52,0.39,-15.38,13.33
10,28,2019,10/28/2019,Winter,45,FO_SS-2,4,FO,2,2,3,223,SS,13.1,0.47,13.48,0.38,-23.68,19.15
10,28,2019,10/28/2019,Winter,46,FO_SH-2,4,FO,2,2,4,224,SH,13.06,0.5,13.57,0.51,1.96,-2
10,28,2019,10/28/2019,Winter,47,FO_SHVB-2,4,FO,2,2,5,225,SHVB,12.82,0.49,13.27,0.45,-8.89,8.16
10,28,2019,10/28/2019,Winter,48,FO_SHSS-2,4,FO,2,2,6,226,SHSS,13.11,0.46,13.26,0.15,-206.67,67.39
