Plot_ID,Block,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,Day,Month,Year,BeakerWgt_g,Wt_Soil_g,PreIgnitionWT_g,PostIgnitionWgt_g,AshWt_g,LOIorSOM_percent_M1,LOIorSOM_percent_M2
1,1,VF,VF_SHSS-1,SHSS,1,1,1,111,4/30/2020,30,4,2020,13.073,0.467,13.54,13.498,0.425,-9.882352941,9.882352941
2,1,VF,VF_VB-1,VB,1,1,2,112,4/30/2020,30,4,2020,13.021,0.431,13.452,13.416,0.395,-9.113924051,9.113924051
3,1,VF,VF_SH-1,SH,1,1,3,113,4/30/2020,30,4,2020,13.208,0.418,13.626,13.588,0.38,-10,10
4,1,VF,VF_SHVB-1,SHVB,1,1,4,114,4/30/2020,30,4,2020,12.777,0.479,13.256,13.213,0.436,-9.862385321,9.862385321
5,1,VF,VF_SSVB-1,SSVB,1,1,5,115,4/30/2020,30,4,2020,13.069,0.487,13.556,13.511,0.442,-10.18099548,10.18099548
6,1,VF,VF_SS-1,SS,1,1,6,116,4/30/2020,30,4,2020,13.166,0.436,13.602,13.563,0.397,-9.823677582,9.823677582
7,1,VF,VF_SS-2,SS,1,2,1,121,4/30/2020,30,4,2020,12.683,0.447,13.13,13.088,0.405,-10.37037037,10.37037037
8,1,VF,VF_SHVB-2,SHVB,1,2,2,122,4/30/2020,30,4,2020,12.815,0.462,13.277,13.237,0.422,-9.478672986,9.478672986
9,1,VF,VF_SSVB-2,SSVB,1,2,3,123,4/30/2020,30,4,2020,12.973,0.488,13.461,13.418,0.445,-9.662921348,9.662921348
10,1,VF,VF_SH-2,SH,1,2,4,124,4/30/2020,30,4,2020,12.757,0.466,13.223,13.182,0.425,-9.647058824,9.647058824
11,1,VF,VF_VB-2,VB,1,2,5,125,4/30/2020,30,4,2020,12.929,0.479,13.408,13.363,0.434,-10.36866359,10.36866359
12,1,VF,VF_SHSS-2,SHSS,1,2,6,126,4/30/2020,30,4,2020,13.039,0.488,13.527,13.484,0.445,-9.662921348,9.662921348
13,1,VF,VF_VB-3,VB,1,3,1,131,4/30/2020,30,4,2020,13.162,0.431,13.593,13.555,0.393,-9.669211196,9.669211196
14,1,VF,VF_SSVB-3,SSVB,1,3,2,132,4/30/2020,30,4,2020,12.835,0.428,13.263,13.224,0.389,-10.02570694,10.02570694
15,1,VF,VF_SHVB-3,SHVB,1,3,3,133,4/30/2020,30,4,2020,13.145,0.461,13.606,13.564,0.419,-10.02386635,10.02386635
16,1,VF,VF_SHSS-3,SHSS,1,3,4,134,4/30/2020,30,4,2020,13.008,0.471,13.479,13.43,0.422,-11.61137441,11.61137441
17,1,VF,VF_SS-3,SS,1,3,5,135,4/30/2020,30,4,2020,13.124,0.468,13.592,13.544,0.42,-11.42857143,11.42857143
18,1,VF,VF_SH-3,SH,1,3,6,136,4/30/2020,30,4,2020,12.789,0.416,13.205,13.168,0.379,-9.762532982,9.762532982
19,1,VF,VF_SH-4,SH,1,4,1,141,4/30/2020,30,4,2020,13.104,0.477,13.581,13.535,0.431,-10.67285383,10.67285383
20,1,VF,VF_SS-4,SS,1,4,2,142,4/30/2020,30,4,2020,13.089,0.44,13.529,13.487,0.398,-10.55276382,10.55276382
21,1,VF,VF_SHSS-4,SHSS,1,4,3,143,4/30/2020,30,4,2020,12.856,0.47,13.326,13.283,0.427,-10.07025761,10.07025761
22,1,VF,VF_VB-4,VB,1,4,4,144,4/30/2020,30,4,2020,13.008,0.487,13.495,13.448,0.44,-10.68181818,10.68181818
23,1,VF,VF_SHVB-4,SHVB,1,4,5,145,4/30/2020,30,4,2020,12.947,0.418,13.365,13.322,0.375,-11.46666667,11.46666667
24,1,VF,VF_SSVB-4,SSVB,1,4,6,146,4/30/2020,30,4,2020,13.034,0.409,13.443,13.399,0.365,-12.05479452,12.05479452
25,1,VF,VF_SHVB-5,SHVB,1,5,1,151,4/30/2020,30,4,2020,13.125,0.413,13.538,13.495,0.37,-11.62162162,11.62162162
