PlotID,Block,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SampleDate,Year,Month,Day,Weeds_tha,Weeds_tha,Weeds_tha
1,1,VF,VF_SHSS-1,SHSS,1,1,1,111,Summer,9,7/18/2019,2019,7,18,155,171,222
2,1,VF,VF_VB-1,VB,1,1,2,112,Summer,9,7/18/2021,2019,7,18,357,338,310
3,1,VF,VF_SH-1,SH,1,1,3,113,Summer,9,7/18/2022,2019,7,18,174,13,269
4,1,VF,VF_SHVB-1,SHVB,1,1,4,114,Summer,9,7/18/2023,2019,7,18,219,211,401
5,1,VF,VF_SSVB-1,SSVB,1,1,5,115,Summer,9,7/18/2025,2019,7,18,170,442,462
6,1,VF,VF_SS-1,SS,1,1,6,116,Summer,9,7/18/2027,2019,7,18,70,289,59
7,1,VF,VF_SS-2,SS,1,2,1,121,Summer,9,7/18/2028,2019,7,18,302,55,61
8,1,VF,VF_SHVB-2,SHVB,1,2,2,122,Summer,9,7/18/2029,2019,7,18,276,215,218
9,1,VF,VF_SSVB-2,SSVB,1,2,3,123,Summer,9,7/18/2031,2019,7,18,1014,927,976
10,1,VF,VF_SH-2,SH,1,2,4,124,Summer,9,7/18/2033,2019,7,18,217,97,53.6
11,1,VF,VF_VB-2,VB,1,2,5,125,Summer,9,7/18/2034,2019,7,18,363,195,317
12,1,VF,VF_SHSS-2,SHSS,1,2,6,126,Summer,9,7/18/2035,2019,7,18,75,90,128
13,1,VF,VF_VB-3,VB,1,3,1,131,Summer,9,7/18/2037,2019,7,18,219,118,142
14,1,VF,VF_SSVB-3,SSVB,1,3,2,132,Summer,9,7/18/2038,2019,7,18,111,151,96
15,1,VF,VF_SHVB-3,SHVB,1,3,3,133,Summer,9,7/18/2040,2019,7,18,111,165,144
16,1,VF,VF_SHSS-3,SHSS,1,3,4,134,Summer,9,7/18/2042,2019,7,18,48,39,52
17,1,VF,VF_SS-3,SS,1,3,5,135,Summer,9,7/18/2044,2019,7,18,69,54,12
18,1,VF,VF_SH-3,SH,1,3,6,136,Summer,9,7/18/2045,2019,7,18,116,72,203
19,1,VF,VF_SH-4,SH,1,4,1,141,Summer,9,7/18/2046,2019,7,18,158,159,173
20,1,VF,VF_SS-4,SS,1,4,2,142,Summer,9,7/18/2047,2019,7,18,100,83,125
21,1,VF,VF_SHSS-4,SHSS,1,4,3,143,Summer,9,7/18/2019,2019,7,18,92,79,77
22,1,VF,VF_VB-4,VB,1,4,4,144,Summer,9,7/18/2021,2019,7,18,344,264,283
23,1,VF,VF_SHVB-4,SHVB,1,4,5,144,Summer,9,7/18/2022,2019,7,18,270,123,129
24,1,VF,VF_SSVB-4,SSVB,1,4,6,146,Summer,9,7/18/2024,2019,7,18,194,119,136
25,1,VF,VF_SHVB-5,SHVB,1,5,1,151,Summer,9,7/19/2019,2019,7,19,160,96,153
26,1,VF,VF_SHSS-5,SHSS,1,5,2,152,Summer,9,7/19/2021,2019,7,19,87,97,35
27,1,VF,VF_SS-5,SS,1,5,3,153,Summer,9,7/19/2023,2019,7,19,87,43,35
28,1,VF,VF_SSVB-5,SSVB,1,5,4,154,Summer,9,7/19/2024,2019,7,19,140,84,78
29,1,VF,VF_SH-5,SH,1,5,5,155,Summer,9,7/19/2026,2019,7,19,138,42,89
30,1,VF,VF_VB-5,VB,1,5,6,156,Summer,9,7/19/2027,2019,7,19,285,365,98
31,1,VF,VF_SSVB-6,SSVB,1,6,1,161,Summer,9,7/19/2028,2019,7,19,202,132,90
32,1,VF,VF_SH-6,SH,1,6,2,162,Summer,9,7/19/2030,2019,7,19,55,77,109
33,1,VF,VF_VB-6,VB,1,6,3,163,Summer,9,7/19/2031,2019,7,19,479,499,418
