PlotID,PlotName,CropTrt,Location,Block,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,Day,Weeds_tha,Weeds_tha,Weeds_tha
1,VF_SHSS-1,SHSS,VF,1,1,1,1,111,Winter,8,1/6/2020,2020,1,6,105,91,251
2,VF_VB-1,VB,VF,1,1,1,2,112,Winter,8,1/6/2020,2020,1,6,169,155,167
3,VF_SH-1,SH,VF,1,1,1,3,113,Winter,8,1/6/2020,2020,1,6,85,103,83
4,VF_SHVB-1,SHVB,VF,1,1,1,4,114,Winter,8,1/6/2020,2020,1,6,186,101,53
5,VF_SSVB-1,SSVB,VF,1,1,1,5,115,Winter,8,1/6/2020,2020,1,6,150,136,222
6,VF_SS-1,SS,VF,1,1,1,6,116,Winter,8,1/6/2020,2020,1,6,94,112,112
7,VF_SS-2,SS,VF,1,1,2,1,121,Winter,8,1/6/2020,2020,1,6,176,170,138
8,VF_SHVB-2,SHVB,VF,1,1,2,2,122,Winter,8,1/6/2020,2020,1,6,86,287,115
9,VF_SSVB-2,SSVB,VF,1,1,2,3,123,Winter,8,1/6/2020,2020,1,6,91,77,75
10,VF_SH-2,SH,VF,1,1,2,4,124,Winter,8,1/6/2020,2020,1,6,105,48,149
11,VF_VB-2,VB,VF,1,1,2,5,125,Winter,8,1/6/2020,2020,1,6,123,103,151
12,VF_SHSS-2,SHSS,VF,1,1,2,6,126,Winter,8,1/6/2020,2020,1,6,30,85,28
13,VF_VB-3,VB,VF,1,1,3,1,131,Winter,8,1/6/2020,2020,1,6,112,157,117
14,VF_SSVB-3,SSVB,VF,1,1,3,2,132,Winter,8,1/6/2020,2020,1,6,144,151,141
15,VF_SHVB-3,SHVB,VF,1,1,3,3,133,Winter,8,1/6/2020,2020,1,6,28,55,117
16,VF_SHSS-3,SHSS,VF,1,1,3,4,134,Winter,8,1/6/2020,2020,1,6,50,46,63
