PlotID,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingWeek,SampleDate,Year,Month,Day,Weeds_FreshWeight_g,Weeds_FreshWeight_g,Weeds_FreshWeight_g
1,VF,VF_SHSS-1,SHSS,1,1,1,111,9,7/18/2019,2019,7,18,155,171,222
2,VF,VF_VB-1,VB,1,1,2,112,9,7/18/2021,2019,7,18,357,338,310
3,VF,VF_SH-1,SH,1,1,3,113,9,7/18/2022,2019,7,18,174,13,269
4,VF,VF_SHVB-1,SHVB,1,1,4,114,9,7/18/2023,2019,7,18,219,211,401
5,VF,VF_SSVB-1,SSVB,1,1,5,115,9,7/18/2025,2019,7,18,170,442,462
6,VF,VF_SS-1,SS,1,1,6,116,9,7/18/2027,2019,7,18,70,289,59
7,VF,VF_SS-2,SS,1,2,1,121,9,7/18/2028,2019,7,18,302,55,61
8,VF,VF_SHVB-2,SHVB,1,2,2,122,9,7/18/2029,2019,7,18,276,215,218
9,VF,VF_SSVB-2,SSVB,1,2,3,123,9,7/18/2031,2019,7,18,1014,927,976
10,VF,VF_SH-2,SH,1,2,4,124,9,7/18/2033,2019,7,18,217,97,53.6
11,VF,VF_VB-2,VB,1,2,5,125,9,7/18/2034,2019,7,18,363,195,317
12,VF,VF_SHSS-2,SHSS,1,2,6,126,9,7/18/2035,2019,7,18,75,90,128
13,VF,VF_VB-3,VB,1,3,1,131,9,7/18/2037,2019,7,18,219,118,142
14,VF,VF_SSVB-3,SSVB,1,3,2,132,9,7/18/2038,2019,7,18,111,151,96
15,VF,VF_SHVB-3,SHVB,1,3,3,133,9,7/18/2040,2019,7,18,111,165,144
16,VF,VF_SHSS-3,SHSS,1,3,4,134,9,7/18/2042,2019,7,18,48,39,52
17,VF,VF_SS-3,SS,1,3,5,135,9,7/18/2044,2019,7,18,69,54,12
18,VF,VF_SH-3,SH,1,3,6,136,9,7/18/2045,2019,7,18,116,72,203
19,VF,VF_SH-4,SH,1,4,1,141,9,7/18/2046,2019,7,18,158,159,173
20,VF,VF_SS-4,SS,1,4,2,142,9,7/18/2047,2019,7,18,100,83,125
21,VF,VF_SHSS-4,SHSS,1,4,3,143,9,7/18/2019,2019,7,18,92,79,77
22,VF,VF_VB-4,VB,1,4,4,144,9,7/18/2021,2019,7,18,344,264,283
23,VF,VF_SHVB-4,SHVB,1,4,5,144,9,7/18/2022,2019,7,18,270,123,129
24,VF,VF_SSVB-4,SSVB,1,4,6,146,9,7/18/2024,2019,7,18,194,119,136
25,VF,VF_SHVB-5,SHVB,1,5,1,151,9,7/19/2019,2019,7,19,160,96,153
26,VF,VF_SHSS-5,SHSS,1,5,2,152,9,7/19/2021,2019,7,19,87,97,35
27,VF,VF_SS-5,SS,1,5,3,153,9,7/19/2023,2019,7,19,87,43,35
28,VF,VF_SSVB-5,SSVB,1,5,4,154,9,7/19/2024,2019,7,19,140,84,78
29,VF,VF_SH-5,SH,1,5,5,155,9,7/19/2026,2019,7,19,138,42,89
30,VF,VF_VB-5,VB,1,5,6,156,9,7/19/2027,2019,7,19,285,365,98
31,VF,VF_SSVB-6,SSVB,1,6,1,161,9,7/19/2028,2019,7,19,202,132,90
32,VF,VF_SH-6,SH,1,6,2,162,9,7/19/2030,2019,7,19,55,77,109
33,VF,VF_VB-6,VB,1,6,3,163,9,7/19/2031,2019,7,19,479,499,418
34,VF,VF_SS-6,SS,1,6,4,164,9,7/19/2032,2019,7,19,237,239,49
35,VF,VF_SHSS-6,SHSS,1,6,5,165,9,7/19/2033,2019,7,19,91,105,46
36,VF,VF_SHVB-6,SHVB,1,6,6,166,9,7/19/2035,2019,7,19,165,240,199
37,FO,FO_SS-1,SS,2,1,1,211,9,7/10/2019,2019,7,10,708,295,368
38,FO,FO_SHSS-1,SHSS,2,1,2,212,9,7/10/2019,2019,7,10,627,688,91
39,FO,FO_SHVB-1,SHVB,2,1,3,213,9,7/10/2019,2019,7,10,926,590,873
40,FO,FO_SSVB-1,SSVB,2,1,4,214,9,7/10/2019,2019,7,10,493,544,278
41,FO,FO_SH-1,SH,2,1,5,215,9,7/10/2019,2019,7,10,662,1405,691
42,FO,FO_VB-1,VB,2,1,6,216,9,7/10/2019,2019,7,10,1929,1434,1325
43,FO,FO_VB-2,VB,2,2,1,221,9,7/10/2019,2019,7,10,1101,1171,1220
44,FO,FO_SSVB-2,SSVB,2,2,2,222,9,7/10/2019,2019,7,10,202,457,501
45,FO,FO_SS-2,SS,2,2,3,223,9,7/10/2019,2019,7,10,305,163,183
46,FO,FO_SH-2,SH,2,2,4,224,9,7/10/2019,2019,7,10,858,658,590
47,FO,FO_SHVB-2,SHVB,2,2,5,225,9,7/10/2019,2019,7,10,866,748,844
48,FO,FO_SHSS-2,SHSS,2,2,6,226,9,7/10/2019,2019,7,10,359,328,198
49,FO,FO_SH-3,SH,2,3,1,231,9,7/10/2019,2019,7,10,556,606,511
50,FO,FO_SHVB-3,SHVB,2,3,2,232,9,7/10/2019,2019,7,10,823,631,817
51,FO,FO_VB-3,VB,2,3,3,233,9,7/10/2019,2019,7,10,1054,1147,738
52,FO,FO_SHSS-3,SHSS,2,3,4,234,9,7/10/2019,2019,7,10,237,213,268
53,FO,FO_SS-3,SS,2,3,5,235,9,7/10/2019,2019,7,10,226,126,431
54,FO,FO_SSVB-3,SSVB,2,3,6,236,9,7/10/2019,2019,7,10,329,391,269
55,FO,FO_SHSS-4,SHSS,2,4,1,241,9,7/10/2019,2019,7,10,630,371,406
56,FO,FO_SH-4,SH,2,4,2,242,9,7/10/2019,2019,7,10,923,564,707
57,FO,FO_SSVB-4,SSVB,2,4,3,243,9,7/10/2019,2019,7,10,629,216,495
58,FO,FO_SS-4,SS,2,4,4,244,9,7/10/2019,2019,7,10,337,267,140
59,FO,FO_VB-4,VB,2,4,5,245,9,7/10/2019,2019,7,10,624,670,753
60,FO,FO_SHVB-4,SHVB,2,4,6,246,9,7/10/2019,2019,7,10,556,952,774
61,FO,FO_SHVB-5,SHVB,2,5,1,251,9,7/10/2019,2019,7,10,517,228,607
62,FO,FO_SS-5,SS,2,5,2,252,9,7/10/2019,2019,7,10,163,293,260
63,FO,FO_SHSS-5,SHSS,2,5,3,253,9,7/10/2019,2019,7,10,277,195,188
64,FO,FO_VB-5,VB,2,5,4,254,9,7/10/2019,2019,7,10,448,549,551
65,FO,FO_SSVB-5,SSVB,2,5,5,255,9,7/10/2019,2019,7,10,136,290,254
66,FO,FO_SH-5,SH,2,5,6,256,9,7/10/2019,2019,7,10,468,513,510
67,FO,FO_SSVB-6,SSVB,2,6,1,261,9,7/11/2019,2019,7,11,1065,503,974
68,FO,FO_VB-6,VB,2,6,2,262,9,7/11/2019,2019,7,11,787,638,1129
69,FO,FO_SH-6,SH,2,6,3,263,9,7/11/2019,2019,7,11,437,591,325
70,FO,FO_SHVB-6,SHVB,2,6,4,264,9,7/11/2019,2019,7,11,607,387,321
71,FO,FO_SHSS-6,SHSS,2,6,5,265,9,7/11/2019,2019,7,11,119,293,268
72,FO,FO_SS-6,SS,2,6,6,266,9,7/11/2019,2019,7,11,314,228,335
73,HH,HH_SH-1,SH,3,1,1,311,9,7/17/2019,2019,7,17,1768,1044,1251
74,HH,HH_SSVB-1,SSVB,3,1,2,312,9,7/17/2019,2019,7,17,1216,355,305
75,HH,HH_SHVB-1,SHVB,3,1,3,313,9,7/17/2019,2019,7,17,969,903,894
76,HH,HH_SHSS-1,SHSS,3,1,4,314,9,7/17/2019,2019,7,17,615,273,152
77,HH,HH_VB-1,VB,3,1,5,315,9,7/17/2019,2019,7,17,978,1623,1307
78,HH,HH_SS-1,SS,3,1,6,316,9,7/17/2019,2019,7,17,332,68,1541
79,HH,HH_VB-2,VB,3,2,1,321,9,7/17/2019,2019,7,17,1059,744,355
80,HH,HH_SHSS-2,SHSS,3,2,2,322,9,7/17/2019,2019,7,17,243,160,165
81,HH,HH_SS-2,SS,3,2,3,323,9,7/17/2019,2019,7,17,17,20,76
82,HH,HH_SH-2,SH,3,2,4,324,9,7/17/2019,2019,7,17,1362,1584,1332
83,HH,HH_SHVB-2,SHVB,3,2,5,325,9,7/17/2019,2019,7,17,2051,1533,1960
84,HH,HH_SSVB-2,SSVB,3,2,6,326,9,7/17/2019,2019,7,17,1345,818,1478
85,HH,HH_SHSS-3,SHSS,3,3,1,331,9,7/17/2019,2019,7,17,545,176,347
86,HH,HH_SHVB-3,SHVB,3,3,2,332,9,7/17/2019,2019,7,17,875,864,1207
87,HH,HH_SSVB-3,SSVB,3,3,3,333,9,7/17/2019,2019,7,17,100,118,265
88,HH,HH_VB-3,VB,3,3,4,334,9,7/17/2019,2019,7,17,364,635,1315
89,HH,HH_SS-3,SS,3,3,5,335,9,7/17/2019,2019,7,17,373,87,114
90,HH,HH_SH-3,SH,3,3,6,336,9,7/17/2019,2019,7,17,1381,1947,1736
91,HH,HH_SS-4,SS,3,4,1,341,9,7/17/2019,2019,7,17,117,144,601
92,HH,HH_SH-4,SH,3,4,2,342,9,7/17/2019,2019,7,17,968,1113,1303
93,HH,HH_VB-4,VB,3,4,3,343,9,7/17/2020,2019,7,17,1087,1264,886
94,HH,HH_SHVB-4,SHVB,3,4,4,344,9,7/17/2021,2019,7,17,1615,1185,1713
95,HH,HH_SSVB-4,SSVB,3,4,5,345,9,7/17/2023,2019,7,17,160,395,87
96,HH,HH_SHSS-4,SHSS,3,4,6,346,9,7/17/2025,2019,7,17,167,352,409
97,HH,HH_SSVB-5,SSVB,3,5,1,351,9,7/17/2027,2019,7,17,404,104.8,0
