Location,CropTrt,avg_LeavesStems_tha,sd_LeavesStems_tha,avg_SOM_percent,sd_SOM_percent,avg_GravelDryWgt_g,sd_GravelDryWgt_g,avg_GravelVol_mL,sd_GravelVol_mL,avg_SoilDryWgt_g,sd_SoilDryWgt_g,avg_SoilVol_cm3,sd_SoilVol_cm3,avg_SoilBD_gcm3,sd_SoilBD_gcm3,avg_SoilPorosity_percent,sd_SoilPorosity_percent,avg_NH4_mgL,sd_NH4_mgL,avg_NO3_mgL,sd_NO3_mgL,avg_NH4_mgKg,sd_NH4_mgKg,avg_NO3_mgKg,sd_NO3_mgKg
FO,SH,2.6,0.62,8.32,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.36,0.82,0.28,6.34,3.51,7.98,2.74
FO,SHSS,2.14,0.65,8.4,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.3,0.74,0.2,6.16,2.95,7.2,1.92
FO,SHVB,1.41,0.54,8.48,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.27,0.71,0.17,5.19,2.64,6.97,1.65
HH,SH,2.68,1.7,16.39,1.19,127.27,43.39,69.17,33.08,131.35,17.72,140.14,33.08,0.98,0.24,63.16,9.06,2.13,1.5,5.37,1.57,20.78,14.54,52.69,16
HH,SHSS,1.77,1.48,25.9,22.19,155.87,22.85,79.17,11.14,120.14,18.63,130.14,11.14,0.92,0.13,65.08,5.04,2.01,1.16,6.08,2.48,19.79,11.43,59.65,23.96
HH,SHVB,1.92,1.13,19.24,4.56,132.2,22.25,67.5,17.82,119.83,22.9,141.81,17.82,0.85,0.16,67.83,6.24,1.71,0.98,5.83,1.01,16.59,9.35,56.83,9.75
OC,SH,3.26,1.72,18.09,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1.09,5.63,1.39,16.02,10.6,54.85,13.29
OC,SHSS,1.69,0.9,18.25,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.87,6.12,1.51,13.47,8.83,59.42,14.44
OC,SHVB,2.16,1.03,17.98,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,1.14,6.51,3.03,14.22,11.41,63.83,29.94
VF,SH,4.1,0.76,8.22,0.83,145.38,6.34,94.17,8.01,141.7,13.23,115.14,8.01,1.24,0.16,53.34,5.87,0.29,0.05,0.66,0.31,2.88,0.52,6.51,2.99
VF,SHSS,2.92,0.69,8.22,0.52,160,21.5,99.17,12.81,130.5,8.38,110.14,12.81,1.2,0.16,54.8,6.03,0.39,0.18,0.73,0.25,3.83,1.72,7.2,2.43
VF,SHVB,2.57,0.7,8.71,0.88,152.56,12.82,82.5,13.69,134.38,21.33,126.81,13.69,1.07,0.22,59.61,8.22,0.32,0.06,0.87,0.22,3.12,0.55,8.55,2.18
