Location,CropTrt,avg_LeavesStems_tha,sd_LeavesStems_tha,avg_SOM_percent,sd_SOM_percent,avg_GravelDryWgt_g,sd_GravelDryWgt_g,avg_GravelVol_mL,sd_GravelVol_mL,avg_SoilDryWgt_g,sd_SoilDryWgt_g,avg_SoilVol_cm3,sd_SoilVol_cm3,avg_SoilBD_gcm3,sd_SoilBD_gcm3,avg_SoilPorosity_percent,sd_SoilPorosity_percent,avg_NH4_mgL,sd_NH4_mgL,avg_NO3_mgL,sd_NO3_mgL,avg_NH4_mgKg,sd_NH4_mgKg,avg_NO3_mgKg,sd_NO3_mgKg
FO,SHSS,0.39,0.22,8.4,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.3,0.74,0.2,6.16,2.95,7.2,1.92
FO,SS,0.51,0.14,8.13,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.09,0.68,0.22,9.04,1.01,6.56,2.17
FO,SSVB,0.49,0.25,8.56,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.26,0.71,0.17,5.37,2.54,6.93,1.63
HH,SHSS,3.61,0.84,25.9,22.19,155.87,22.85,79.17,11.14,120.14,18.63,130.14,11.14,0.92,0.13,65.08,5.04,2.01,1.16,6.08,2.48,19.79,11.43,59.65,23.96
HH,SS,6.61,3.29,19.01,4.47,148.87,47.79,80,18.97,125.86,20.17,129.31,18.97,1,0.24,62.33,9.01,1.67,1.16,5.56,0.87,16.38,11.26,54.51,8.63
HH,SSVB,5.25,2.32,15.67,4.22,147.01,13.31,81.67,9.83,123.49,8.87,127.64,9.83,0.97,0.11,63.3,4.03,2.41,1.3,5.5,1.29,23.59,12.81,53.79,12.46
OC,SHSS,10.62,6,18.25,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.87,6.12,1.51,13.47,8.83,59.42,14.44
OC,SS,14.68,6.13,17.68,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,0.07,5.67,1.51,10.37,0.66,55.41,14.62
OC,SSVB,12.42,5.66,18.29,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,1.4,5.07,1.45,17.92,13.8,49.27,13.62
VF,SHSS,0.17,0.08,8.22,0.52,160,21.5,99.17,12.81,130.5,8.38,110.14,12.81,1.2,0.16,54.8,6.03,0.39,0.18,0.73,0.25,3.83,1.72,7.2,2.43
VF,SS,0.38,0.11,8.48,0.65,149.53,14.2,83.33,12.11,136.83,11.8,125.98,12.11,1.09,0.15,58.64,5.78,1.18,2.12,0.73,0.32,11.43,20.52,7.08,3.07
VF,SSVB,0.2,0.11,8.21,0.75,160.67,18.36,95,14.49,132.07,7.34,114.31,14.49,1.17,0.18,55.71,6.93,0.33,0.07,0.61,0.18,3.27,0.69,5.92,1.69
