Location,CropTrt,avg_LeavesStems_tha,sd_LeavesStems_tha,avg_SOM_percent,sd_SOM_percent,avg_GravelDryWgt_g,sd_GravelDryWgt_g,avg_GravelVol_mL,sd_GravelVol_mL,avg_SoilDryWgt_g,sd_SoilDryWgt_g,avg_SoilVol_cm3,sd_SoilVol_cm3,avg_SoilBD_gcm3,sd_SoilBD_gcm3,avg_SoilPorosity_percent,sd_SoilPorosity_percent,avg_NH4_mgL,sd_NH4_mgL,avg_NO3_mgL,sd_NO3_mgL,avg_NH4_mgKg,sd_NH4_mgKg,avg_NO3_mgKg,sd_NO3_mgKg
FO,SHVB,0.8,0.23,8.48,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.27,0.71,0.17,5.19,2.64,6.97,1.65
FO,SSVB,1.08,0.32,8.56,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.26,0.71,0.17,5.37,2.54,6.93,1.63
FO,VB,2.19,0.69,7.57,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.29,0.7,0.23,4.98,2.93,6.8,2.2
HH,SHVB,0.88,0.45,19.24,4.56,132.2,22.25,67.5,17.82,119.83,22.9,141.81,17.82,0.85,0.16,67.83,6.24,1.71,0.98,5.83,1.01,16.59,9.35,56.83,9.75
HH,SSVB,0.77,0.34,15.67,4.22,147.01,13.31,81.67,9.83,123.49,8.87,127.64,9.83,0.97,0.11,63.3,4.03,2.41,1.3,5.5,1.29,23.59,12.81,53.79,12.46
HH,VB,2.4,0.87,16.69,2.18,142.27,41.08,74.17,19.6,106.31,16.96,135.14,19.6,0.8,0.15,69.91,5.53,1.37,0.55,5.68,1.64,13.29,5.26,55.01,16.04
OC,SHVB,1.76,1.25,17.98,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,1.14,6.51,3.03,14.22,11.41,63.83,29.94
OC,SSVB,1.35,1.45,18.29,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,1.4,5.07,1.45,17.92,13.8,49.27,13.62
OC,VB,2.19,0.68,18.14,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,1.57,6.07,1.42,20.79,15.18,59.26,14.39
VF,SHVB,0.68,0.3,8.71,0.88,152.56,12.82,82.5,13.69,134.38,21.33,126.81,13.69,1.07,0.22,59.61,8.22,0.32,0.06,0.87,0.22,3.12,0.55,8.55,2.18
VF,SSVB,1.05,0.26,8.21,0.75,160.67,18.36,95,14.49,132.07,7.34,114.31,14.49,1.17,0.18,55.71,6.93,0.33,0.07,0.61,0.18,3.27,0.69,5.92,1.69
VF,VB,1.68,0.74,8.31,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.09,0.74,0.19,2.91,0.88,7.29,1.9
