SamplingWeek,Location,CropTrt,avg_Height_mm,sd_Height_mm
2,FO,SHSS,139.33,20.63
2,FO,SS,126.5,20.29
2,FO,SSVB,133.5,13.68
2,HH,SHSS,166.83,11.34
2,HH,SS,157,20.5
2,HH,SSVB,155.5,9.97
2,OC,SHSS,270,8.07
2,OC,SS,260.67,36.74
2,OC,SSVB,244,26.91
2,VF,SHSS,94.5,15.41
2,VF,SS,96.5,10.73
2,VF,SSVB,94.5,9.5
4,FO,SHSS,330.17,64.98
4,FO,SS,333.67,42.47
4,FO,SSVB,356.5,67.39
4,HH,SHSS,NaN,NaN
4,HH,SS,NaN,NaN
4,HH,SSVB,NaN,NaN
4,OC,SHSS,732.17,62.29
4,OC,SS,738.17,85.47
4,OC,SSVB,742.33,39.98
4,VF,SHSS,273.67,37.72
4,VF,SS,257.83,42.93
4,VF,SSVB,260.83,65.52
6,FO,SHSS,527.17,136.08
6,FO,SS,475.17,40.9
6,FO,SSVB,556.67,109.87
6,HH,SHSS,1389.33,139.31
6,HH,SS,1118.33,165.34
6,HH,SSVB,1199,156.23
6,OC,SHSS,1708.5,189.47
6,OC,SS,1549.83,141.35
6,OC,SSVB,1620,157.65
6,VF,SHSS,545.5,93.32
6,VF,SS,485.5,82.73
6,VF,SSVB,589.67,168.92
8,FO,SHSS,807.67,202.78
8,FO,SS,693,123.86
8,FO,SSVB,850.83,194.26
8,HH,SHSS,2128.67,156.88
8,HH,SS,1732.17,219.45
8,HH,SSVB,1906.17,235.12
8,OC,SHSS,2072.5,289.47
8,OC,SS,1991.5,140.97
8,OC,SSVB,2160.5,227.47
8,VF,SHSS,757.67,161.77
8,VF,SS,608.17,102.97
8,VF,SSVB,801.67,197.22
