SamplingWeek,Location,CropTrt,avg_Height_mm,sd_Height_mm
2,FO,SHVB,183.5,8.48
2,FO,SSVB,180.67,8.52
2,FO,VB,178.67,7.99
2,HH,SHVB,199.17,22.13
2,HH,SSVB,216.17,21.98
2,HH,VB,190.83,10.34
2,OC,SHVB,218.17,16.63
2,OC,SSVB,215.5,7.74
2,OC,VB,220,10.9
2,VF,SHVB,175.33,13.44
2,VF,SSVB,162.17,18.71
2,VF,VB,168.67,15.32
4,FO,SHVB,245.33,20.65
4,FO,SSVB,271.5,32
4,FO,VB,293.5,58.38
4,HH,SHVB,NaN,NaN
4,HH,SSVB,NaN,NaN
4,HH,VB,NaN,NaN
4,OC,SHVB,413.17,83.42
4,OC,SSVB,521.17,175.91
4,OC,VB,453.5,184.86
4,VF,SHVB,259.17,22.31
4,VF,SSVB,233.17,25.16
4,VF,VB,220.33,16.79
6,FO,SHVB,515.83,209.27
6,FO,SSVB,NaN,NaN
6,FO,VB,NaN,NaN
6,HH,SHVB,NaN,NaN
6,HH,SSVB,NaN,NaN
6,HH,VB,NaN,NaN
6,OC,SHVB,NaN,NaN
6,OC,SSVB,NaN,NaN
6,OC,VB,NaN,NaN
6,VF,SHVB,NaN,NaN
6,VF,SSVB,NaN,NaN
6,VF,VB,NaN,NaN
8,FO,SHVB,NaN,NaN
8,FO,SSVB,NaN,NaN
8,FO,VB,NaN,NaN
8,HH,SHVB,NaN,NaN
8,HH,SSVB,NaN,NaN
8,HH,VB,NaN,NaN
8,OC,SHVB,NaN,NaN
8,OC,SSVB,NaN,NaN
8,OC,VB,NaN,NaN
8,VF,SHVB,NaN,NaN
8,VF,SSVB,NaN,NaN
8,VF,VB,NaN,NaN
