SamplingWeek,Location,CropTrt,avg_Height_mm,sd_Height_mm,avg_Chlorophyll_CI,sd_Chlorophyll_CI
4,FO,SHSS,175,50.64,14.37,5.12
4,FO,SS,174.44,34.84,14.63,4.56
4,FO,SSVB,184.44,34.54,17.42,5.37
4,HH,SHSS,272.78,19.6,19.78,2.94
4,HH,SS,266.11,30.8,26.1,3.66
4,HH,SSVB,268.33,16.86,25.71,4.11
4,OC,SHSS,428.61,92.83,30.18,3.09
4,OC,SS,482.5,87.36,31.67,2.58
4,OC,SSVB,442.5,71.96,32.27,4.44
4,VF,SHSS,161.66,35.93,10.51,5.48
4,VF,SS,177.89,21.09,11.54,4.54
4,VF,SSVB,155.56,11.29,13.02,4.39
6,FO,SHSS,265.28,75.89,19.32,3.9
6,FO,SS,220.28,34.63,17.14,3.57
6,FO,SSVB,260.28,57.24,19.35,2.08
6,HH,SHSS,430.56,30.49,30.35,2.27
6,HH,SS,453.06,91.55,30.05,3.26
6,HH,SSVB,445.83,53.26,29.13,2.78
6,OC,SHSS,761.95,172.99,32.74,3.54
6,OC,SS,797.78,111.4,31.54,4.16
6,OC,SSVB,720,154.16,34.33,2.63
6,VF,SHSS,236.39,42.65,16.5,2.07
6,VF,SS,214.44,42.94,16.18,4.25
6,VF,SSVB,211.39,28.51,20.92,8.46
8,FO,SHSS,417.5,107.43,19.07,2.21
8,FO,SS,334.44,61.33,16.35,2.43
8,FO,SSVB,427.22,101.66,16.86,2.38
8,HH,SHSS,822.78,108.29,33.13,1.71
8,HH,SS,856.95,200.2,31.14,2.06
8,HH,SSVB,901.39,163.11,33.28,2.07
8,OC,SHSS,1203.34,266.52,35.72,2.87
8,OC,SS,1293.06,158.44,32.55,4.57
8,OC,SSVB,1284.44,290.26,36.68,2.87
8,VF,SHSS,320.56,62.04,15.36,2.61
8,VF,SS,292.78,57.39,14.84,2.23
8,VF,SSVB,315.84,30.42,15.88,1.16
