PlotID,PlotName,Quadrat,CropSp,LeavesStems_g_1m2,Roots,Weeds,StemCounts
1,VF_SHSS-1,1,SH,237.8,27.63,26.78,32
1,VF_SHSS-1,1,SS,13.93,4.98,,28
1,VF_SHSS-1,2,SH,304.31,26.78,30.28,37
1,VF_SHSS-1,2,SS,19.17,5.36,,18
1,VF_SHSS-1,3,SH,142.61,11.91,65.3,17
1,VF_SHSS-1,3,SS,31.23,6.1,,10
2,VF_VB-1,1,VB,186.68,12.19,132.41,4
2,VF_VB-1,1,VB,136.25,9.24,121.3,4
2,VF_VB-1,2,VB,280,11.28,105.78,7
3,VF_SH-1,2,SH,315.13,26.97,92.75,48
3,VF_SH-1,3,SH,265.63,17.39,140.06,47
3,VF_SH-1,3,SH,332.98,26.27,75.07,56
4,VF_SHVB-1,1,SH,348.7,18.7,74.1,25
4,VF_SHVB-1,1,VB,36.43,3.35,,3
4,VF_SHVB-1,2,SH,204.08,76.54,82.03,15
4,VF_SHVB-1,2,VB,48.75,3.08,,2
4,VF_SHVB-1,3,SH,465.67,33.32,32.98,39
4,VF_SHVB-1,3,VB,120.95,5.84,,6
5,VF_SSVB-1,1,SS,31.46,6.28,37.2,26
5,VF_SSVB-1,1,VB,139.9,7.44,,4
5,VF_SSVB-1,2,SS,11.38,4.58,18.63,15
5,VF_SSVB-1,2,VB,189,8.42,,6
5,VF_SSVB-1,3,SS,19.75,5.06,51.57,15
5,VF_SSVB-1,3,VB,56.96,3.94,,2
6,VF_SS-1,1,SS,57.58,18.49,22.68,62
6,VF_SS-1,1,SS,53.02,20.37,21.28,67
6,VF_SS-1,2,SS,43.49,10.4,28.87,60
7,VF_SS-2,2,SS,26.25,6.45,22.34,14
7,VF_SS-2,3,SS,59.85,16.39,31.68,36
7,VF_SS-2,3,SS,61.56,74.28,59.52,30
8,VF_SHVB-2,1,SH,94.3,8.09,,10
8,VF_SHVB-2,1,VB,57.39,2.14,,2
8,VF_SHVB-2,2,SH,209.58,18.26,53.68,26
8,VF_SHVB-2,2,VB,47.68,3.35,,2
8,VF_SHVB-2,3,SH,233.7,17.14,59.49,31
8,VF_SHVB-2,3,VB,71.6,4.13,,3
9,VF_SSVB-2,1,SS,8.32,1.47,156.58,7
9,VF_SSVB-2,1,VB,28.98,2.38,,1
9,VF_SSVB-2,2,SS,2.03,1.13,141.93,1
9,VF_SSVB-2,2,VB,120.14,4.79,,4
9,VF_SSVB-2,3,SS,3.32,1.28,73.3,5
9,VF_SSVB-2,3,VB,13.35,1.1,,2
10,VF_SH-2,1,SH,465.09,33.53,100.79,65
10,VF_SH-2,1,SH,429.91,32.53,105.59,60
10,VF_SH-2,2,SH,480.35,27.37,66.03,54
11,VF_VB-2,2,VB,215.47,9.61,51.58,6
11,VF_VB-2,3,VB,89.02,4.78,123.9,3
11,VF_VB-2,3,VB,203.98,9.59,76.3,5
12,VF_SHSS-2,1,SH,396.89,30.82,35.89,31
12,VF_SHSS-2,1,SS,21.19,3.14,,25
12,VF_SHSS-2,2,SH,502.35,37.09,42.08,36
12,VF_SHSS-2,2,SS,28.62,8.7,,41
12,VF_SHSS-2,3,SH,369.5,25.68,30,33
12,VF_SHSS-2,3,SS,6.11,2.74,,26
13,VF_VB-3,1,VB,186.63,8.05,47.28,5
13,VF_VB-3,1,VB,188.79,9.28,38.86,5
13,VF_VB-3,2,VB,142.78,6.58,30.27,4
14,VF_SSVB-3,2,SS,40.59,6.39,56.36,19
14,VF_SSVB-3,3,VB,70.15,3.39,,3
14,VF_SSVB-3,3,SS,22.89,9.54,15.15,39
14,VF_SSVB-3,1,VB,117.29,5.78,,4
14,VF_SSVB-3,1,SS,43.53,7.79,31.49,57
14,VF_SSVB-3,2,VB,162.89,6.59,,5
15,VF_SHVB-3,2,SH,221.17,18.57,44.99,45
15,VF_SHVB-3,3,VB,129.32,6.91,,6
15,VF_SHVB-3,3,SH,171.27,16.09,45.28,22
15,VF_SHVB-3,1,VB,137.28,6.7,,4
15,VF_SHVB-3,1,SH,146.25,8.79,73.3,21
15,VF_SHVB-3,2,VB,103.58,4.45,,3
16,VF_SHSS-3,2,SH,311.18,19.07,122.82,27
16,VF_SHSS-3,3,SS,10.26,3.83,,18
16,VF_SHSS-3,3,SH,322.48,18.79,98.3,28
16,VF_SHSS-3,1,SS,15,8.18,,56
16,VF_SHSS-3,1,SH,250.32,16.63,77.69,27
16,VF_SHSS-3,2,SS,4.89,3.15,,14
17,VF_SS-3,2,SS,27.89,5.98,96.79,58
17,VF_SS-3,3,SS,24.68,8.79,43.29,68
17,VF_SS-3,3,SS,42.43,17.12,63.8,94
18,VF_SH-3,1,SH,614.48,44.15,68.49,69
18,VF_SH-3,1,SH,457.79,24.69,19.71,52
18,VF_SH-3,2,SH,388.88,26.96,32.72,36
19,VF_SH-4,2,SH,484.65,33.59,14.56,52
19,VF_SH-4,3,SH,482.98,31.48,22.5,57
19,VF_SH-4,3,SH,419.75,24.4,21.88,50
20,VF_SS-4,1,SS,37.88,6.99,11.42,64
20,VF_SS-4,1,SS,24,6.81,20.6,27
20,VF_SS-4,2,SS,45.6,12.5,17.38,120
21,VF_SHSS-4,2,SH,304.96,16.7,5.74,29
21,VF_SHSS-4,3,SS,10.42,0.94,,12
21,VF_SHSS-4,3,SH,296.72,22.12,15.08,35
21,VF_SHSS-4,1,SS,22.45,3.91,,23
21,VF_SHSS-4,1,SH,277.25,19.55,8.65,40
21,VF_SHSS-4,2,SS,11.68,4.05,,21
22,VF_VB-4,2,VB,165.45,6.3,60.99,4
22,VF_VB-4,3,VB,163.43,7.38,156.78,4
22,VF_VB-4,3,VB,156.6,6.4,129.02,9
23,VF_SHVB-4,1,SH,200.64,11.05,132.19,17
23,VF_SHVB-4,1,VB,22.45,1.55,,1
23,VF_SHVB-4,2,SH,462.99,33.31,58.57,40
23,VF_SHVB-4,2,VB,67.46,3.59,,3
23,VF_SHVB-4,3,SH,331.14,24.9,119.87,31
23,VF_SHVB-4,3,VB,49.47,2.46,,3
24,VF_SSVB-4,1,SS,33.75,7.95,98.18,34
24,VF_SSVB-4,1,VB,82.55,3.16,,2
24,VF_SSVB-4,2,SS,25.52,5.11,47.86,27
24,VF_SSVB-4,2,VB,144.69,5.39,,3
24,VF_SSVB-4,3,SS,26.25,3.96,97.22,14
24,VF_SSVB-4,3,VB,99.42,2.73,,3
25,VF_SHVB-5,1,SH,313.13,20.49,32.67,24
25,VF_SHVB-5,1,VB,59.13,2.83,,3
25,VF_SHVB-5,2,SH,297.95,22.67,9.56,31
25,VF_SHVB-5,2,VB,83.9,3.01,,3
25,VF_SHVB-5,3,SH,177.13,13.06,29.25,17
25,VF_SHVB-5,3,VB,66.87,3.39,,2
26,VF_SHSS-5,1,SH,230.09,15.9,7.27,40
26,VF_SHSS-5,1,SS,44.53,6.24,,51
26,VF_SHSS-5,2,SH,275.58,11.96,6.03,28
26,VF_SHSS-5,2,SS,18.85,3.89,,21
26,VF_SHSS-5,3,SH,250.17,19.4,4.35,26
26,VF_SHSS-5,3,SS,23.24,4.46,,45
27,VF_SS-5,1,SS,8.56,3.43,18.76,20
27,VF_SS-5,1,SS,30.16,6.48,11.91,54
27,VF_SS-5,2,SS,23.25,5.88,,49
28,VF_SSVB-5,2,SS,21.3,7.98,60.41,28
28,VF_SSVB-5,3,VB,121.96,4.74,,4
28,VF_SSVB-5,3,SS,21.99,6.58,58.36,46
28,VF_SSVB-5,1,VB,108.15,3.96,,4
28,VF_SSVB-5,1,SS,18.64,4.73,165.25,39
28,VF_SSVB-5,2,VB,119.96,3.81,,4
29,VF_SH-5,2,SH,404.13,23.42,76.48,53
29,VF_SH-5,3,SH,122.57,27.53,70.25,42
29,VF_SH-5,3,SH,450.74,28.94,64.93,52
30,VF_VB-5,1,VB,30.34,2.42,53.46,6
30,VF_VB-5,1,VB,34.77,4.15,46.03,5
30,VF_VB-5,2,VB,47.86,3.2,73.57,7
31,VF_SSVB-6,2,SS,9.84,1.69,25.61,6
31,VF_SSVB-6,3,VB,196.96,8.6,,4
31,VF_SSVB-6,3,SS,8.53,2.91,74.47,9
31,VF_SSVB-6,1,VB,32.5,1.59,,2
31,VF_SSVB-6,1,SS,15.39,7.82,32.65,20
31,VF_SSVB-6,2,VB,82.09,2.8,,3
32,VF_SH-6,2,SH,537.96,34.65,5.4,67
32,VF_SH-6,3,SH,425.09,32.3,4.82,46
32,VF_SH-6,3,SH,301.9,17.73,21.6,44
33,VF_VB-6,1,VB,197.73,6.71,45.58,6
33,VF_VB-6,1,VB,361.09,11.62,38.95,10
33,VF_VB-6,2,VB,229.52,9.56,33.96,6
34,VF_SS-6,2,SS,54.58,18.76,24.38,62
34,VF_SS-6,3,SS,27.64,8.1,53.99,48
34,VF_SS-6,3,SS,35.46,9.16,67.56,39
35,VF_SHSS-6,1,SH,294.01,17.73,75.09,30
35,VF_SHSS-6,1,SS,8.44,2.96,,31
35,VF_SHSS-6,2,SH,264.61,17.83,37.09,24
35,VF_SHSS-6,2,SS,8.29,1.82,,25
35,VF_SHSS-6,3,SH,219.23,13.49,29.57,16
35,VF_SHSS-6,3,SS,7.36,1.19,,17
36,VF_SHVB-6,1,SH,308.86,19.95,20.06,37
36,VF_SHVB-6,1,VB,12.1,0.62,,1
36,VF_SHVB-6,2,SH,194.84,9.6,22.58,26
36,VF_SHVB-6,2,VB,87.32,1.91,,4
36,VF_SHVB-6,3,SH,237.3,16.79,130.19,20
36,VF_SHVB-6,3,VB,20.82,,,2
37,FO_SS-1,1,SS,76.88,23.21,118.66,64
37,FO_SS-1,1,SS,76.68,22.65,91.68,113
37,FO_SS-1,2,SS,51.86,11.2,157.66,58
38,FO_SHSS-1,2,SH,208.07,15.43,134.6,35
38,FO_SHSS-1,3,SS,61.91,21.45,,43
38,FO_SHSS-1,3,SH,222.87,18.93,70.73,27
38,FO_SHSS-1,1,SS,18.14,7.9,,
38,FO_SHSS-1,1,SH,156.1,10.35,144.38,23
38,FO_SHSS-1,2,SS,25.37,6.87,,10
39,FO_SHVB-1,2,SH,153.34,11.05,133.63,14
39,FO_SHVB-1,3,VB,47.97,2.97,,2
39,FO_SHVB-1,3,SH,159.27,13.62,99.28,25
39,FO_SHVB-1,1,VB,140.66,5.31,,3
39,FO_SHVB-1,1,SH,280.51,22.13,143.03,24
39,FO_SHVB-1,2,VB,126.63,5.84,,4
40,FO_SSVB-1,2,SS,67.79,12.17,203.03,10
40,FO_SSVB-1,3,VB,42.55,2.09,,1
40,FO_SSVB-1,3,SS,68.64,15.06,161.7,13
40,FO_SSVB-1,1,VB,196.4,9.9,,5
40,FO_SSVB-1,1,SS,23.03,6.26,224.47,10
40,FO_SSVB-1,2,VB,42.79,2.34,,2
41,FO_SH-1,2,SH,406.04,24.57,269.3,33
41,FO_SH-1,3,SH,281.66,21.75,235.51,37
41,FO_SH-1,3,SH,203.04,15.67,334.77,42
42,FO_VB-1,1,VB,375.23,16.92,269.97,7
42,FO_VB-1,1,VB,268.52,19.55,264.25,6
42,FO_VB-1,2,VB,209.51,18.95,393.55,5
43,FO_VB-2,2,VB,82.88,3.54,194.84,3
43,FO_VB-2,3,VB,207.91,11.77,167.65,7
43,FO_VB-2,3,VB,156.49,9.29,178.73,6
44,FO_SSVB-2,1,SS,36,8.88,120.38,51
44,FO_SSVB-2,1,VB,101.99,8.27,,6
44,FO_SSVB-2,2,SS,52.35,12.52,84.52,36
44,FO_SSVB-2,2,VB,173.38,7.2,,5
44,FO_SSVB-2,3,SS,70.69,25.18,160.82,50
44,FO_SSVB-2,3,VB,85.61,4.3,,3
45,FO_SS-2,1,SS,49.68,18.27,135.01,122
45,FO_SS-2,1,SS,43.82,9.51,104.15,89
45,FO_SS-2,2,SS,41.65,15.46,123.94,87
46,FO_SH-2,2,SH,193.43,12.79,124.81,28
46,FO_SH-2,3,SH,101.35,7.83,160.58,15
46,FO_SH-2,3,SH,312.89,16.33,129.3,30
47,FO_SHVB-2,1,SH,135.27,12.28,197.3,11
47,FO_SHVB-2,1,VB,37.33,2.89,,2
47,FO_SHVB-2,2,SH,207.75,14.78,90.4,20
