PlotID,SiteNum,RowNum,ColNum,Position,PlotName,SiteName,CropSp,CropTrt,Quadrat,LeavesStems_g_1m2,Roots,StemCounts,Tltbiomass_gmsq
181,6,1,1,611,AG_SS-1,AG,SS,SS,1,1015,67,91,
181,6,1,1,611,AG_SS-1,AG,WD,SS,1,,,,388
181,6,1,1,611,AG_SS-1,AG,SS,SS,2,1484,95,59,
181,6,1,1,611,AG_SS-1,AG,WD,SS,2,,,,484
181,6,1,1,611,AG_SS-1,AG,SS,SS,3,1021,72,97,
181,6,1,1,611,AG_SS-1,AG,WD,SS,3,,,,475
182,6,1,2,612,AG_SH-1,AG,SH,SH,1,561,93,34,
182,6,1,2,612,AG_SH-1,AG,WD,SH,1,,,,860
182,6,1,2,612,AG_SH-1,AG,SH,SH,2,539,77,32,
182,6,1,2,612,AG_SH-1,AG,WD,SH,2,,,,1037
182,6,1,2,612,AG_SH-1,AG,SH,SH,3,431,57,29,
182,6,1,2,612,AG_SH-1,AG,WD,SH,3,,,,1178
183,6,1,3,613,AG_SSVB-1,AG,SS,SSVB,1,1178,95,40,
183,6,1,3,613,AG_SSVB-1,AG,VB,SSVB,1,49,5,2,
183,6,1,3,613,AG_SSVB-1,AG,WD,SSVB,1,,,,760
183,6,1,3,613,AG_SSVB-1,AG,SS,SSVB,2,1223,101,65,
183,6,1,3,613,AG_SSVB-1,AG,VB,SSVB,2,129,11,5,
183,6,1,3,613,AG_SSVB-1,AG,WD,SSVB,2,,,,627
183,6,1,3,613,AG_SSVB-1,AG,SS,SSVB,3,802,73,25,
183,6,1,3,613,AG_SSVB-1,AG,VB,SSVB,3,46,2,2,
183,6,1,3,613,AG_SSVB-1,AG,WD,SSVB,3,,,,1645
184,6,1,4,614,AG_SHVB-1,AG,SH,SHVB,1,209,22,14,
184,6,1,4,614,AG_SHVB-1,AG,VB,SHVB,1,113,4,2,
184,6,1,4,614,AG_SHVB-1,AG,WD,SHVB,1,,,,1568
184,6,1,4,614,AG_SHVB-1,AG,SH,SHVB,2,44,6,5,
184,6,1,4,614,AG_SHVB-1,AG,VB,SHVB,2,15,1,2,
184,6,1,4,614,AG_SHVB-1,AG,WD,SHVB,2,,,,1419
184,6,1,4,614,AG_SHVB-1,AG,SH,SHVB,3,578,69,15,
184,6,1,4,614,AG_SHVB-1,AG,VB,SHVB,3,96,8,3,
184,6,1,4,614,AG_SHVB-1,AG,WD,SHVB,3,,,,961
185,6,1,5,615,AG_SHSS-1,AG,SH,SHSS,1,360,42,21,
185,6,1,5,615,AG_SHSS-1,AG,SS,SHSS,1,1721,136,65,
185,6,1,5,615,AG_SHSS-1,AG,WD,SHSS,1,,,,470
185,6,1,5,615,AG_SHSS-1,AG,SH,SHSS,2,408,52,18,
185,6,1,5,615,AG_SHSS-1,AG,SS,SHSS,2,1298,143,32,
185,6,1,5,615,AG_SHSS-1,AG,WD,SHSS,2,,,,625
185,6,1,5,615,AG_SHSS-1,AG,SH,SHSS,3,129,14,9,
185,6,1,5,615,AG_SHSS-1,AG,SS,SHSS,3,624,50,40,
185,6,1,5,615,AG_SHSS-1,AG,WD,SHSS,3,,,,583
186,6,1,6,616,AG_VB-1,AG,VB,VB,1,337,12,5,
