PlotID,SiteNum,RowNum,ColNum,Position,PlotName,SiteName,CropSp,CropTrt,LeavesStems_kg_1m2,Roots,Biomass_kg_9m2,LeavesStems_ tha
145,5,1,1,511,SP_SHVB-1,SP,SH,SHVB,0,0,0,0
145,5,1,1,511,SP_SHVB-1,SP,VB,SHVB,0.06,0.01,0.38,0.66
145,5,1,1,511,SP_SHVB-1,SP,WD,SHVB,0.08,,,0.88
146,5,1,2,512,SP_SSVB-1,SP,SS,SSVB,0.03,0.01,0.07,0.33
146,5,1,2,512,SP_SSVB-1,SP,VB,SSVB,0.03,0.02,0.21,0.33
146,5,1,2,512,SP_SSVB-1,SP,WD,SSVB,0.01,,,0.11
147,5,1,3,513,SP_SHSS-1,SP,SH,SHSS,0,0,0,0
147,5,1,3,513,SP_SHSS-1,SP,SS,SHSS,0.07,0.05,0.2,0.77
147,5,1,3,513,SP_SHSS-1,SP,WD,SHSS,0.02,,,0.22
148,5,1,4,514,SP_SS-1,SP,SS,SS ,0.05,0.04,0.63,0.55
148,5,1,4,514,SP_SS-1,SP,WD,SS ,0.03,,,0.33
149,5,1,5,515,SP_VB-1,SP,VB,VB,0.13,0.03,0.75,1.43
149,5,1,5,515,SP_VB-1,SP,WD,VB,0.1,,,1.10
150,5,1,6,516,SP_SH-1,SP,SH,SH,0,0,0,0
150,5,1,6,516,SP_SH-1,SP,WD,SH,0.34,,,3.75
151,5,2,1,521,SP_SHSS-2,SP,SH,SHSS,0,0,0.02,0
151,5,2,2,522,SP_SHSS-2,SP,SS,SHSS,0,0,0.02,0
151,5,2,2,522,SP_SHSS-2,SP,WD,SHSS,0.21,,,2.31
152,5,2,2,522,SP_SS-2,SP,SS,SS,0,0,0.02,0
152,5,2,2,522,SP_SS-2,SP,WD,SS,0.13,,,1.43
153,5,2,3,523,SP_SHVB-2,SP,SH,SHVB,0.01,0.01,0.08,0.11
153,5,2,3,523,SP_SHVB-2,SP,VB,SHVB,0.03,0.02,0.15,0.33
153,5,2,3,523,SP_SHVB-2,SP,WD,SHVB,0.24,,,2.65
154,5,2,4,524,SP_VB-2,SP,VB,VB,0.04,0.02,0.3,0.44
154,5,2,4,524,SP_VB-2,SP,WD,VB,0.21,,,2.31
155,5,2,5,525,SP_SH-2,SP,SH,SH,0,0,0.08,0
155,5,2,5,525,SP_SH-2,SP,WD,SH,0.58,,,6.39
156,5,2,6,526,SP_SSVB-2,SP,SS,SSVB,0.14,0.06,0.3,1.54
156,5,2,6,526,SP_SSVB-2,SP,VB,SSVB,0.04,0.01,0.99,0.44
156,5,2,6,526,SP_SSVB-2,SP,WD,SSVB,0.01,,,0.11
157,5,3,1,531,SP_SS-3,SP,SS,SS,0.01,0,0.04,0.11
157,5,3,1,531,SP_SS-3,SP,WD,SS,0.2,,,2.20
158,5,3,2,532,SP_SHVB-3,SP,SH,SHVB,<.005,<.005,0.05,0
158,5,3,2,532,SP_SHVB-3,SP,VB,SHVB,0.03,0.01,0.23,0.33
158,5,3,2,532,SP_SHVB-3,SP,WD,SHVB,0.14,,,1.54
159,5,3,3,533,SP_SSVB-3,SP,SS,SSVB,<.005,<.005,0.02,0
159,5,3,3,533,SP_SSVB-3,SP,VB,SSVB,0.03,0.01,0.18,0.33
159,5,3,3,533,SP_SSVB-3,SP,WD,SSVB,0.01,,,0.11
160,5,3,4,534,SP_SH-3,SP,SH,SH,0,0,0,0
160,5,3,4,534,SP_SH-3,SP,WD,SH,0.62,,,6.83
161,5,3,5,535,SP_SHSS-3,SP,SH,SHSS,0,0,0,0
161,5,3,5,535,SP_SHSS-3,SP,SS,SHSS,0.01,0.01,0.16,0.11
161,5,3,5,535,SP_SHSS-3,SP,WD,SHSS,0.34,,,3.75
162,5,3,6,536,SP_VB-3,SP,VB,VB,0.1,0.02,0.77,1.1
162,5,3,6,536,SP_VB-3,SP,WD,VB,0.11,,,1.21
163,5,4,1,541,SP_VB-4,SP,VB,VB,0.04,0.01,0.4,0.44
163,5,4,1,541,SP_VB-4,SP,WD,VB,0.53,,,5.84
164,5,4,2,542,SP_SH-4,SP,SH,SH,<.005,<.005,0.01,0
164,5,4,2,542,SP_SH-4,SP,WD,SH,0.1,,,1.10
165,5,4,3,543,SP_SS-4,SP,SS,SS,0.06,0.01,0.85,0.66
165,5,4,3,543,SP_SS-4,SP,WD,SS,0.08,,,0.88
166,5,4,4,544,SP_SHVB-4,SP,SH,SHVB,0,0,<.005,0
166,5,4,4,544,SP_SHVB-4,SP,VB,SHVB,0.05,0.02,0.26,0.55
166,5,4,4,544,SP_SHVB-4,SP,WD,SHVB,0.12,,,1.32
167,5,4,5,545,SP_SSVB-4,SP,SS,SSVB,0,0,0.1,0
167,5,4,5,545,SP_SSVB-4,SP,VB,SSVB,0.03,0.01,0.29,0.33
167,5,4,5,545,SP_SSVB-4,SP,WD,SSVB,0.43,,,4.74
168,5,4,6,546,SP_SHSS-4,SP,SH,SHSS,0,0,<.005,0
168,5,4,6,546,SP_SHSS-4,SP,SS,SHSS,<.005,0.01,0.09,0
168,5,4,6,546,SP_SHSS-4,SP,WD,SHSS,0.43,,,4.74
169,5,5,1,551,SP_SH-5,SP,SH,SH,0,0,0,0
169,5,5,1,551,SP_SH-5,SP,WD,SH,0.6,,,6.61
170,5,5,2,552,SP_SHSS-5,SP,SH,SHSS,0,0,0,0
170,5,5,2,552,SP_SHSS-5,SP,SS,SHSS,0.01,<.005,0.02,0.11
170,5,5,2,552,SP_SHSS-5,SP,WD,SHSS,0.18,,,1.98
171,5,5,3,553,SP_VB-5,SP,VB,VB,0.09,0.04,1.06,0.99
171,5,5,3,553,SP_VB-5,SP,WD,VB,0.14,,,1.54
172,5,5,4,554,SP_SSVB-5,SP,SS,SSVB,0.09,0.05,0.57,0.99
172,5,5,4,554,SP_SSVB-5,SP,VB,SSVB,0.03,0.01,0.44,0.33
172,5,5,4,554,SP_SSVB-5,SP,WD,SSVB,0.25,,,2.76
173,5,5,5,555,SP_SHVB-5,SP,SH,SHVB,<.005,<.005,0.01,0
173,5,5,5,555,SP_SHVB-5,SP,VB,SHVB,0.06,0.01,0.49,0.66
173,5,5,5,555,SP_SHVB-5,SP,WD,SHVB,0.22,,,2.43
174,5,5,6,556,SP_SS-5,SP,SS,SS,0.01,0.05,0.07,0.11
174,5,5,6,556,SP_SS-5,SP,WD,SS,0.22,,,2.43
175,5,6,1,561,SP_SSVB-6,SP,SS,SSVB,0.06,0.08,0.69,0.66
175,5,6,1,561,SP_SSVB-6,SP,VB,SSVB,0.03,0.01,0.15,0.33
175,5,6,1,561,SP_SSVB-6,SP,WD,SSVB,0.31,,,3.42
176,5,6,2,562,SP_VB-6,SP,VB,VB,0.06,0.02,0.6,0.66
176,5,6,2,562,SP_VB-6,SP,WD,VB,0.22,,,2.43
177,5,6,3,563,SP_SH-6,SP,SH,SH,0,0,<.005,0
177,5,6,3,563,SP_SH-6,SP,WD,SH,0.67,,,7.39
178,5,6,4,564,SP_SHSS-6,SP,SH,SHSS,<.005,<.005,<.005,0
178,5,6,4,564,SP_SHSS-6,SP,SS,SHSS,0.1,0.04,0.76,1.1
178,5,6,4,564,SP_SHSS-6,SP,WD,SHSS,0.16,,,1.76
179,5,6,5,565,SP_SS-6,SP,SS,SS,0.05,0.04,0.26,0.55
179,5,6,5,565,SP_SS-6,SP,WD,SS,0.22,,,2.43
180,5,6,6,566,SP_SHVB-6,SP,SH,SHVB,0,0,0.01,0
180,5,6,6,566,SP_SHVB-6,SP,VB,SHVB,0.02,0.01,0.21,0.22
180,5,6,6,566,SP_SHVB-6,SP,WD,SHVB,0.27,,,2.98
181,6,1,1,611,AG_SS-1,AG,SS,SS,1.1,1,6,12.13
181,6,1,1,611,AG_SS-1,AG,WD,SS,2,,,22.05
182,6,1,2,612,AG_SH-1,AG,SH,SH,1.6,0.9,8.25,17.64
182,6,1,2,612,AG_SH-1,AG,WD,SH,2,,,22.05
183,6,1,3,613,AG_SSVB-1,AG,SS,SSVB,1.5,0.7,10.25,16.53
183,6,1,3,613,AG_SSVB-1,AG,VB,SSVB,1,0.1,1.8,11.02
183,6,1,3,613,AG_SSVB-1,AG,WD,SSVB,1.9,,,20.94
184,6,1,4,614,AG_SHVB-1,AG,SH,SHVB,1.4,1,8.25,15.43
184,6,1,4,614,AG_SHVB-1,AG,VB,SHVB,1.1,0.1,2.3,12.13
184,6,1,4,614,AG_SHVB-1,AG,WD,SHVB,1.7,,,18.74
185,6,1,5,615,AG_SHSS-1,AG,SH,SHSS,1.3,1.2,5.5,14.33
185,6,1,5,615,AG_SHSS-1,AG,SS,SHSS,0.9,0.9,7.5,9.92
185,6,1,5,615,AG_SHSS-1,AG,WD,SHSS,1.7,,,18.74
