PlotID,PlotName,SiteName,CropTrt,CropName,Position,SiteNum,RowNum,ColNum,SamplingDate,Height_mm,Chlorophyll
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,210,17.4
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,190,22.2
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,410,26.3
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,12.8,180
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,160,12.8
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,360,25.2
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,180,20.3
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,390,22.8
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,190,18.9
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,Week 4,300,22.8
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,180,22
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,220,20.4
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,195,10.8
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,260,23.9
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,165,21.6
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,220,27
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,180,15.6
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,200,29.2
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,240,10.6
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,Week 4,260,19.1
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,220,36.8
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,535+,35.6
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,260,38.4
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,340+,38.4
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,185,37.8
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,255,35
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,320+,33.8
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,345+,31.4
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,290+,28.2
2,VF_VB-1,VF,VB,VB,112,1,1,2,Week 4,410+,381
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,250,28.3
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,225,23.1
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,220,22.7
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,285,23.8
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,265,23
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,215,18.7
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,205,22.9
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,240,23.6
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,310,22.6
3,VF_SH-1,VF,SH,SH,113,1,1,3,Week 4,355,20
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,225,23.6
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,260,25.8
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,205,28.7
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,165,27.1
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,200,17
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,310,21.5
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,280,23.5
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,200,24.6
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,230,22.1
4,VF_SHVB-1,VF,SHVB,SH,114,1,1,4,Week 4,240,25.2
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,270,28.4
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,295,30.6
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,205,29.5
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,240,34.9
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,250,28.5
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,260,25.4
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,260,30.7
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,140,35.2
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,210,19
4,VF_SHVB-1,VF,SHVB,VB,114,1,1,4,Week 4,205,31.1
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,280,23.6
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,230,26.3
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,260,23
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,150,11.3
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,235,28.5
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,265,30.5
5,VF_SSVB-1,VF,SSVB,SS,115,1,1,5,Week 4,175,27
