PlotID,Position,SiteNum,RowNum,ColNum,PlotName,SiteName,CropTrt,CropName,SamplingWeek,Month,Day,Year,Height_cm,Height_mm,CHL,SPAD,TotCH_ugcm2
181,611,6,1,1,AG_SS-1,AG,SS,SS,4,12,12,2019,4,40,29.9,19.5,12.7
181,611,6,1,1,AG_SS-1,AG,SS,SS,4,12,12,2019,18.5,185,38.6,28.1,22.3
181,611,6,1,1,AG_SS-1,AG,SS,SS,4,12,12,2019,9,90,48.5,37.9,34.9
182,612,6,1,2,AG_SH-1,AG,SH,SH,4,12,12,2019,11.5,115,48,37.4,34.2
182,612,6,1,2,AG_SH-1,AG,SH,SH,4,12,12,2019,28,280,62.2,51.5,55.1
182,612,6,1,2,AG_SH-1,AG,SH,SH,4,12,12,2019,22,220,44.3,33.8,29.4
183,613,6,1,3,AG_SSVB-1,AG,SSVB,SS,4,12,12,2019,9.5,95,39.6,29.1,23.5
183,613,6,1,3,AG_SSVB-1,AG,SSVB,SS,4,12,12,2019,18,180,38.6,28.1,22.3
183,613,6,1,3,AG_SSVB-1,AG,SSVB,SS,4,12,12,2019,11.5,115,31.8,21.4,14.7
183,613,6,1,3,AG_SSVB-1,AG,SSVB,VB,4,12,12,2019,11,110,57.7,47,48.1
183,613,6,1,3,AG_SSVB-1,AG,SSVB,VB,4,12,12,2019,17,170,40.2,29.7,24.2
183,613,6,1,3,AG_SSVB-1,AG,SSVB,VB,4,12,12,2019,15,150,54.1,43.5,42.8
184,614,6,1,4,AG_SHVB-1,AG,SHVB,SH,4,12,12,2019,14.5,145,50.2,39.6,37.3
184,614,6,1,4,AG_SHVB-1,AG,SHVB,SH,4,12,12,2019,26,260,49.6,39,36.4
184,614,6,1,4,AG_SHVB-1,AG,SHVB,SH,4,12,12,2019,21,210,48.3,37.7,34.6
184,614,6,1,4,AG_SHVB-1,AG,SHVB,VB,4,12,12,2019,13.5,135,53.7,43.1,42.2
184,614,6,1,4,AG_SHVB-1,AG,SHVB,VB,4,12,12,2019,17,170,39.8,29.3,23.8
184,614,6,1,4,AG_SHVB-1,AG,SHVB,VB,4,12,12,2019,15,150,48.4,37.8,34.8
185,615,6,1,5,AG_SHSS-1,AG,SHSS,SH,4,12,12,2019,16,160,56.1,45.4,45.7
185,615,6,1,5,AG_SHSS-1,AG,SHSS,SH,4,12,12,2019,42,420,55,44.3,44.1
185,615,6,1,5,AG_SHSS-1,AG,SHSS,SH,4,12,12,2019,25,250,53.7,43.1,42.2
185,615,6,1,5,AG_SHSS-1,AG,SHSS,SS,4,12,12,2019,8.5,85,46.9,36.3,32.8
