PlotID,Block,PlotName,Location,CropTrt,SiteNum,RowNum,ColNum,Position,SamplingDate,Month,Day,Year,pH,pH_2
1,1,VF_SHSS-1,VF,SHSS,1,1,1,111,11/21/2019,11,21,2019,7.79,7.83
2,1,VF_VB-1,VF,VB,1,1,2,112,11/21/2019,11,21,2019,7.74,7.91
3,1,VF_SH-1,VF,SH,1,1,3,113,11/21/2019,11,21,2019,7.73,7.8
4,1,VF_SHVB-1,VF,SHVB,1,1,4,114,11/21/2019,11,21,2019,7.82,7.71
5,1,VF_SSVB-1,VF,SSVB,1,1,5,115,11/21/2019,11,21,2019,7.95,7.92
6,1,VF_SS-1,VF,SS,1,1,6,116,11/21/2019,11,21,2019,7.97,7.97
7,1,VF_SS-2,VF,SS,1,2,1,121,11/21/2019,11,21,2019,7.92,7.93
8,1,VF_SHVB-2,VF,SHVB,1,2,2,122,11/21/2019,11,21,2019,7.97,7.91
9,1,VF_SSVB-2,VF,SSVB,1,2,3,123,11/21/2019,11,21,2019,7.98,7.88
10,1,VF_SH-2,VF,SH,1,2,4,124,11/21/2019,11,21,2019,7.92,7.94
11,1,VF_VB-2,VF,VB,1,2,5,125,11/21/2019,11,21,2019,7.97,7.95
12,1,VF_SHSS-2,VF,SHSS,1,2,6,126,11/21/2019,11,21,2019,7.91,8
13,1,VF_VB-3,VF,VB,1,3,1,131,11/21/2019,11,21,2019,8.01,8.04
14,1,VF_SSVB-3,VF,SSVB,1,3,2,132,11/21/2019,11,21,2019,8.07,8.05
15,1,VF_SHVB-3,VF,SHVB,1,3,3,133,11/21/2019,11,21,2019,7.96,7.97
16,1,VF_SHSS-3,VF,SHSS,1,3,4,134,11/21/2019,11,21,2019,7.97,7.89
17,1,VF_SS-3,VF,SS,1,3,5,135,11/21/2019,11,21,2019,7.96,7.99
18,1,VF_SH-3,VF,SH,1,3,6,136,11/21/2019,11,21,2019,7.95,7.92
19,1,VF_SH-4,VF,SH,1,4,1,141,11/21/2019,11,21,2019,8.05,8.02
20,1,VF_SS-4,VF,SS,1,4,2,142,11/21/2019,11,21,2019,7.99,7.98
21,1,VF_SHSS-4,VF,SHSS,1,4,3,143,11/21/2019,11,21,2019,7.82,7.79
22,1,VF_VB-4,VF,VB,1,4,4,144,11/21/2019,11,21,2019,8.06,8.08
23,1,VF_SHVB-4,VF,SHVB,1,4,5,145,11/21/2019,11,21,2019,8.06,8.07
24,1,VF_SSVB-4,VF,SSVB,1,4,6,146,11/21/2019,11,21,2019,8.03,8.04
25,1,VF_SHVB-5,VF,SHVB,1,5,1,151,11/21/2019,11,21,2019,8.11,8.09
26,1,VF_SHSS-5,VF,SHSS,1,5,2,152,11/21/2019,11,21,2019,8.1,7.99
27,1,VF_SS-5,VF,SS,1,5,3,153,11/21/2019,11,21,2019,8.08,8.05
28,1,VF_SSVB-5,VF,SSVB,1,5,4,154,11/21/2019,11,21,2019,8.12,8.1
29,1,VF_SH-5,VF,SH,1,5,5,155,11/21/2019,11,21,2019,8.13,8.11
30,1,VF_VB-5,VF,VB,1,5,6,156,11/21/2019,11,21,2019,8.13,8.09
31,1,VF_SSVB-6,VF,SSVB,1,6,1,161,11/21/2019,11,21,2019,8.15,8.14
32,1,VF_SH-6,VF,SH,1,6,2,162,11/21/2019,11,21,2019,8.09,8.1
33,1,VF_SS-6,VF,SS,1,6,3,163,11/21/2019,11,21,2019,8.15,8.13
34,1,VF_SS-6,VF,SS,1,6,4,164,11/21/2019,11,21,2019,7.88,7.92
35,1,VF_SHSS-6,VF,SHSS,1,6,5,165,11/21/2019,11,21,2019,8.06,8.07
36,1,VF_SHVB-6,VF,SHVB,1,6,6,166,11/21/2019,11,21,2019,8.08,8.06
37,4,FO_SS-1,FO,SS,2,1,1,211,11/21/2019,11,21,2019,7.19,7.25
38,4,FO_SHSS-1,FO,SHSS,2,1,2,213,11/21/2019,11,21,2019,7.2,7.31
39,4,FO_SHVB-1,FO,SHVB,2,1,3,213,11/21/2019,11,21,2019,7.37,7.38
40,4,FO_SSVB-1,FO,SSVB,2,1,4,214,11/21/2019,11,21,2019,7.34,7.35
41,4,FO_SH-1,FO,SH,2,1,5,215,11/21/2019,11,21,2019,7.52,7.5
42,4,FO_VB-1,FO,VB,2,1,6,216,11/21/2019,11,21,2019,7.81,7.81
43,4,FO_VB-2,FO,VB,2,2,1,221,11/21/2019,11,21,2019,7.68,7.7
44,4,FO_SSVB-2,FO,SSVB,2,2,2,222,11/21/2019,11,21,2019,7.74,7.69
45,4,FO_SS-2,FO,SS,2,2,3,223,11/21/2019,11,21,2019,7.31,7.32
46,4,FO_SH-2,FO,SH,2,2,4,224,11/21/2019,11,21,2019,7.4,7.41
47,4,FO_SHVB-2,FO,SHVB,2,2,5,225,11/21/2019,11,21,2019,7.35,7.37
48,4,FO_SHSS-2,FO,SHSS,2,2,6,226,11/21/2019,11,21,2019,7.44,7.43
49,4,FO_SH-3,FO,SH,2,3,1,231,11/21/2019,11,21,2019,7.49,7.46
50,4,FO_SHVB-3,FO,SHVB,2,3,2,232,11/21/2019,11,21,2019,7.61,7.6
51,4,FO_VB-3,FO,VB,2,3,3,233,11/21/2019,11,21,2019,7.62,7.58
52,4,FO_SHSS-3,FO,SHSS,2,3,4,234,11/21/2019,11,21,2019,7.64,7.66
53,4,FO_SS-3,FO,SS,2,3,5,235,11/21/2019,11,21,2019,7.5,7.53
54,4,FO_SSVB-3,FO,SSVB,2,3,6,236,11/21/2019,11,21,2019,7.66,7.67
55,4,FO_SHSS-4,FO,SHSS,2,4,1,241,11/21/2019,11,21,2019,7.57,7.59
56,4,FO_SH-4,FO,SH,2,4,2,242,11/21/2019,11,21,2019,7.62,7.61
57,4,FO_SSVB-4,FO,SSVB,2,4,3,243,11/21/2019,11,21,2019,7.81,7.83
58,4,FO_SS-4,FO,SS,2,4,4,244,11/21/2019,11,21,2019,7.74,7.75
59,4,FO_VB-4,FO,VB,2,4,5,245,11/21/2019,11,21,2019,7.65,7.67
60,4,FO_SHVB-4,FO,SHVB,2,4,6,246,11/21/2019,11,21,2019,7.75,7.78
61,4,FO_SHVB-5,FO,SHVB,2,5,1,251,11/21/2019,11,21,2019,7.69,7.7
