PlotID,PlotName,Block,Location,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,Month,Day,Year,pH,pH_2
1,VF_SHSS-1,1,VF,SHSS,1,1,1,111,Winter,11/21/2019,11,21,2019,7.79,7.83
2,VF_VB-1,1,VF,VB,1,1,2,112,Winter,11/21/2019,11,21,2019,7.74,7.91
3,VF_SH-1,1,VF,SH,1,1,3,113,Winter,11/21/2019,11,21,2019,7.73,7.8
4,VF_SHVB-1,1,VF,SHVB,1,1,4,114,Winter,11/21/2019,11,21,2019,7.82,7.71
5,VF_SSVB-1,1,VF,SSVB,1,1,5,115,Winter,11/21/2019,11,21,2019,7.95,7.92
6,VF_SS-1,1,VF,SS,1,1,6,116,Winter,11/21/2019,11,21,2019,7.97,7.97
7,VF_SS-2,1,VF,SS,1,2,1,121,Winter,11/21/2019,11,21,2019,7.92,7.93
8,VF_SHVB-2,1,VF,SHVB,1,2,2,122,Winter,11/21/2019,11,21,2019,7.97,7.91
9,VF_SSVB-2,1,VF,SSVB,1,2,3,123,Winter,11/21/2019,11,21,2019,7.98,7.88
10,VF_SH-2,1,VF,SH,1,2,4,124,Winter,11/21/2019,11,21,2019,7.92,7.94
11,VF_VB-2,1,VF,VB,1,2,5,125,Winter,11/21/2019,11,21,2019,7.97,7.95
12,VF_SHSS-2,1,VF,SHSS,1,2,6,126,Winter,11/21/2019,11,21,2019,7.91,8
13,VF_VB-3,1,VF,VB,1,3,1,131,Winter,11/21/2019,11,21,2019,8.01,8.04
14,VF_SSVB-3,1,VF,SSVB,1,3,2,132,Winter,11/21/2019,11,21,2019,8.07,8.05
15,VF_SHVB-3,1,VF,SHVB,1,3,3,133,Winter,11/21/2019,11,21,2019,7.96,7.97
16,VF_SHSS-3,1,VF,SHSS,1,3,4,134,Winter,11/21/2019,11,21,2019,7.97,7.89
17,VF_SS-3,1,VF,SS,1,3,5,135,Winter,11/21/2019,11,21,2019,7.96,7.99
18,VF_SH-3,1,VF,SH,1,3,6,136,Winter,11/21/2019,11,21,2019,7.95,7.92
19,VF_SH-4,1,VF,SH,1,4,1,141,Winter,11/21/2019,11,21,2019,8.05,8.02
20,VF_SS-4,1,VF,SS,1,4,2,142,Winter,11/21/2019,11,21,2019,7.99,7.98
21,VF_SHSS-4,1,VF,SHSS,1,4,3,143,Winter,11/21/2019,11,21,2019,7.82,7.79
22,VF_VB-4,1,VF,VB,1,4,4,144,Winter,11/21/2019,11,21,2019,8.06,8.08
23,VF_SHVB-4,1,VF,SHVB,1,4,5,145,Winter,11/21/2019,11,21,2019,8.06,8.07
24,VF_SSVB-4,1,VF,SSVB,1,4,6,146,Winter,11/21/2019,11,21,2019,8.03,8.04
25,VF_SHVB-5,1,VF,SHVB,1,5,1,151,Winter,11/21/2019,11,21,2019,8.11,8.09
26,VF_SHSS-5,1,VF,SHSS,1,5,2,152,Winter,11/21/2019,11,21,2019,8.1,7.99
27,VF_SS-5,1,VF,SS,1,5,3,153,Winter,11/21/2019,11,21,2019,8.08,8.05
28,VF_SSVB-5,1,VF,SSVB,1,5,4,154,Winter,11/21/2019,11,21,2019,8.12,8.1
29,VF_SH-5,1,VF,SH,1,5,5,155,Winter,11/21/2019,11,21,2019,8.13,8.11
30,VF_VB-5,1,VF,VB,1,5,6,156,Winter,11/21/2019,11,21,2019,8.13,8.09
31,VF_SSVB-6,1,VF,SSVB,1,6,1,161,Winter,11/21/2019,11,21,2019,8.15,8.14
32,VF_SH-6,1,VF,SH,1,6,2,162,Winter,11/21/2019,11,21,2019,8.09,8.1
33,VF_SS-6,1,VF,SS,1,6,3,163,Winter,11/21/2019,11,21,2019,8.15,8.13
34,VF_SS-6,1,VF,SS,1,6,4,164,Winter,11/21/2019,11,21,2019,7.88,7.92
