PlotID,PlotName,Block,Location,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,Month,Day,Year,pH,pH_2
1,VF_SHSS-1,1,VF,SHSS,1,1,1,111,4/30/2020,4,30,2020,6.39,6.79
2,VF_VB-1,1,VF,VB,1,1,2,112,4/30/2020,4,30,2020,7.25,7.34
3,VF_SH-1,1,VF,SH,1,1,3,113,4/30/2020,4,30,2020,7.4,7.37
4,VF_SHVB-1,1,VF,SHVB,1,1,4,114,4/30/2020,4,30,2020,7.38,7.59
5,VF_SSVB-1,1,VF,SSVB,1,1,5,115,4/30/2020,4,30,2020,7.78,7.77
6,VF_SS-1,1,VF,SS,1,1,6,116,4/30/2020,4,30,2020,7.69,7.71
7,VF_SS-2,1,VF,SS,1,2,1,121,4/30/2020,4,30,2020,7.69,7.76
8,VF_SHVB-2,1,VF,SHVB,1,2,2,122,4/30/2020,4,30,2020,7.78,7.76
9,VF_SSVB-2,1,VF,SSVB,1,2,3,123,4/30/2020,4,30,2020,7.91,7.89
10,VF_SH-2,1,VF,SH,1,2,4,124,4/30/2020,4,30,2020,7.9,7.91
11,VF_VB-2,1,VF,VB,1,2,5,125,4/30/2020,4,30,2020,7.98,8.02
12,VF_SHSS-2,1,VF,SHSS,1,2,6,126,4/30/2020,4,30,2020,7.92,7.94
13,VF_VB-3,1,VF,VB,1,3,1,131,4/30/2020,4,30,2020,7.88,7.85
14,VF_SSVB-3,1,VF,SSVB,1,3,2,132,4/30/2020,4,30,2020,7.82,7.67
15,VF_SHVB-3,1,VF,SHVB,1,3,3,133,4/30/2020,4,30,2020,7.78,7.71
16,VF_SHSS-3,1,VF,SHSS,1,3,4,134,4/30/2020,4,30,2020,7.67,7.64
17,VF_SS-3,1,VF,SS,1,3,5,135,4/30/2020,4,30,2020,7.64,7.62
18,VF_SH-3,1,VF,SH,1,3,6,136,4/30/2020,4,30,2020,7.72,7.81
19,VF_SH-4,1,VF,SH,1,4,1,141,4/30/2020,4,30,2020,7.85,8.19
20,VF_SS-4,1,VF,SS,1,4,2,142,4/30/2020,4,30,2020,8.18,8.13
21,VF_SHSS-4,1,VF,SHSS,1,4,3,143,4/30/2020,4,30,2020,8.04,7.98
