Sample ID,Crop_trt,Plot_ID,Row,Cycle,pH,pH_2,,,
181,SS,AG,1,Pre,5.81,5.82,,,
182,SH,AG,1,Pre,5.5,5.38,,,
183,SSVB,AG,1,Pre,5.25,5.13,,,
184,SHVB,AG,1,Pre,5.08,5.11,,,
185,SHSS,AG,1,Pre,5.18,5.17,,,
186,VB,AG,1,Pre,5.12,5.13,,,
187,SH,AG,2,Pre,5.38,5.42,,,
188,SHSS,AG,2,Pre,5.25,5.22,,,
189,SHVB,AG,2,Pre,5.12,5.12,,,
190,SS,AG,2,Pre,5.27,5.32,,,
191,VB,AG,2,Pre,5.13,5.15,,,
192,SSVB,AG,2,Pre,5.18,5.27,,,
193,SHVB,AG,3,Pre,5.42,5.45,,,
194,SS,AG,3,Pre,5.45,5.48,,,
195,VB,AG,3,Pre,5.69,5.71,,,
196,SSVB,AG,3,Pre,5.38,5.42,,,
197,SH,AG,3,Pre,5.34,5.35,,,
198,SHSS,AG,3,Pre,5.54,5.55,,,
199,SSVB,AG,4,Pre,6.15,6.25,,,
200,SHVB,AG,4,Pre,5.73,5.61,,,
201,SHSS,AG,4,Pre,5.48,5.47,,,
202,VB,AG,4,Pre,5.38,5.38,,,
203,SS,AG,4,Pre,5.42,5.4,,,
204,SH,AG,4,Pre,5.24,5.28,,,
205,VB,AG,5,Pre,5.84,5.81,,,
206,SSVB,AG,5,Pre,5.48,5.38,,,
207,SH,AG,5,Pre,5.29,5.26,,,
208,SHSS,AG,5,Pre,5.21,5.19,,,
209,SHVB,AG,5,Pre,5.56,5.52,,,
210,SS,AG,5,Pre,5.39,5.34,,,
211,SHSS,AG,6,Pre,5.75,5.77,,,
212,VB,AG,6,Pre,5.57,5.52,,,
213,SS,AG,6,Pre,5.74,5.77,,,
214,SH,AG,6,Pre,5.45,4.4,,,
215,SSVB,AG,6,Pre,5.45,5.47,,,
216,SHVB,AG,6,Pre,5.71,5.76,,,
181,SS,AG,1,Post,6.28,6.32,,,
182,SH,AG,1,Post,6.08,5.99,,,
183,SSVB,AG,1,Post,5.68,5.65,,,
184,SHVB,AG,1,Post,5.85,5.84,,,
185,SHSS,AG,1,Post,5.66,5.68,,,
186,VB,AG,1,Post,5.95,6,,,
187,SH,AG,2,Post,6.2,6.14,,,
188,SHSS,AG,2,Post,5.98,5.94,,,
189,SHVB,AG,2,Post,5.97,5.99,,,
190,SS,AG,2,Post,5.92,5.95,,,
191,VB,AG,2,Post,5.98,6.06,,,
192,SSVB,AG,2,Post,6.12,6.21,,,
193,SHVB,AG,3,Post,6.07,6.15,,,
194,SS,AG,3,Post,6.16,6.17,,,
195,VB,AG,3,Post,6.2,6.2,,,
196,SSVB,AG,3,Post,6.14,6.15,,,
197,SH,AG,3,Post,6.15,6.2,,,
198,SHSS,AG,3,Post,6.38,6.5,,,
199,SSVB,AG,4,Post,6.54,6.61,,,
200,SHVB,AG,4,Post,6.3,6.28,,,
201,SHSS,AG,4,Post,6.18,6.14,,,
202,VB,AG,4,Post,5.7,5.72,,,
203,SS,AG,4,Post,5.73,5.71,,,
204,SH,AG,4,Post,6.22,6.2,,,
205,VB,AG,5,Post,6.54,6.54,,,
206,SSVB,AG,5,Post,6.21,6.22,,,
207,SH,AG,5,Post,6.29,6.28,,,
208,SHSS,AG,5,Post,6.18,6.14,,,
209,SHVB,AG,5,Post,6.08,6.06,,,
210,SS,AG,5,Post,6.19,6.19,,,
211,SHSS,AG,6,Post,6.24,6.18,,,
212,VB,AG,6,Post,6.52,6.54,,,
213,SS,AG,6,Post,6.39,6.41,,,
214,SH,AG,6,Post,6.33,6.35,,,
215,SSVB,AG,6,Post,6.36,6.33,,,
216,SHVB,AG,6,Post,6.39,6.41,,,
