PlotID,PlotName,GravelDryWgt_g,GravelVol_mL,SoilDryWgt_g,SoilVol_cm3,SoilBD_gcm3,SoilPorosity_percent
1,VF_SHSS-1,198.05,110,145.32,99.31,1.46,44.78
2,VF_VB-1,168.52,90,126.46,119.31,1.06,60
3,VF_SH-1,145.2,80,150.11,129.31,1.16,56.19
4,VF_SHVB-1,166.06,85,97.69,124.31,0.79,70.34
5,VF_SSVB-1,139.86,70,126.32,139.31,0.91,65.78
6,VF_SS-1,147.39,75,130.73,134.31,0.97,63.27
7,VF_SS-2,126.08,75,133.57,134.31,0.99,62.47
8,VF_SHVB-2,148.09,70,139.79,139.31,1,62.13
9,VF_SSVB-2,142.6,95,125.12,114.31,1.09,58.7
10,VF_SH-2,138.09,90,125.34,119.31,1.05,60.36
11,VF_VB-2,109.7,50,125.76,159.31,0.79,70.21
12,VF_SHSS-2,143.48,100,131.65,109.31,1.2,54.55
13,VF_VB-3,139.52,95,134.48,114.31,1.18,55.61
14,VF_SSVB-3,175.75,95,125.75,114.31,1.1,58.49
15,VF_SHVB-3,148.94,90,122.13,119.31,1.02,61.37
16,VF_SHSS-3,172.92,110,119.83,99.31,1.21,54.47
17,VF_SS-3,161.08,85,158.93,124.31,1.28,51.75
18,VF_SH-3,139.22,95,123.98,114.31,1.08,59.07
19,VF_SH-4,144.24,100,151.76,109.31,1.39,47.61
20,VF_SS-4,144.36,100,140.35,109.31,1.28,51.55
21,VF_SHSS-4,152.66,100,126.63,109.31,1.16,56.28
22,VF_VB-4,181.93,110,129.64,99.31,1.31,50.74
23,VF_SHVB-4,170.23,105,151.68,104.31,1.45,45.13
24,VF_SSVB-4,165.41,115,135.28,94.31,1.43,45.87
25,VF_SHVB-5,137.28,70,154.8,139.31,1.11,58.07
26,VF_SHSS-5,147.6,100,130.35,109.31,1.19,55
27,VF_SS-5,151.74,95,125.94,114.31,1.1,58.42
28,VF_SSVB-5,185.91,100,142.47,109.31,1.3,50.82
29,VF_SH-5,153.08,100,149.77,109.31,1.37,48.3
30,VF_VB-5,158.69,95,147.25,114.31,1.29,51.39
31,VF_SSVB-6,154.48,95,137.48,114.31,1.2,54.62
32,VF_SH-6,152.42,100,149.22,109.31,1.37,48.49
33,VF_SS-6,153.01,95,144.7,114.31,1.27,52.23
34,VF_SS-6,166.51,70,131.47,139.31,0.94,64.39
35,VF_SHSS-6,145.32,75,129.19,134.31,0.96,63.7
36,VF_SHVB-6,144.73,75,140.22,134.31,1.04,60.6
73,HH_SH-1,58.95,20,159.19,189.31,0.84,68.27
74,HH_SSVB-1,154.8,70,121.78,139.31,0.87,67.01
75,HH_SHVB-1,117.9,55,134.96,154.31,0.87,67
76,HH_SHSS-1,128.88,60,142.83,149.31,0.96,63.9
77,HH_VB-1,88.55,50,94.68,159.31,0.59,77.57
78,HH_SS-1,110.94,60,122.13,149.31,0.82,69.13
79,HH_VB-2,184.24,95,89.97,114.31,0.79,70.3
80,HH_SHSS-2,147.22,80,137.4,129.31,1.06,59.9
81,HH_SS-2,231.78,110,122.96,99.31,1.24,53.28
82,HH_SH-2,121.5,65,130.4,144.31,0.9,65.9
83,HH_SHVB-2,114.16,70,143.73,139.31,1.03,61.07
84,HH_SSVB-2,143.48,90,113.31,119.31,0.95,64.16
85,HH_SHSS-3,181.18,75,90.38,134.31,0.67,74.61
86,HH_SHVB-3,124.22,60,116.51,149.31,0.78,70.55
87,HH_SSVB-3,154.97,80,128.4,129.31,0.99,62.53
88,HH_VB-3,189.01,100,103.95,109.31,0.95,64.11
89,HH_SS-3,158.55,80,156.63,129.31,1.21,54.29
90,HH_SH-3,102.97,45,111.52,164.31,0.68,74.39
91,HH_SS-4,160.18,80,126.51,129.31,0.98,63.08
92,HH_SH-4,184.41,110,126.81,99.31,1.28,51.81
93,HH_VB-4,135.83,60,113.92,149.31,0.76,71.21
94,HH_SHVB-4,148.46,50,90.96,159.31,0.57,78.45
95,HH_SSVB-4,150.52,90,138.51,119.31,1.16,56.19
96,HH_SHSS-4,180.03,90,115.67,119.31,0.97,63.42
97,HH_SSVB-5,156.64,90,117.86,119.31,0.99,62.72
98,HH_VB-5,103.94,70,136.57,139.31,0.98,63.01
99,HH_SHSS-5,133.35,80,117.38,129.31,0.91,65.75
100,HH_SS-5,97.07,60,94.01,149.31,0.63,76.24
101,HH_SH-5,146.54,95,143.82,114.31,1.26,52.52
102,HH_SHVB-5,118.46,70,138.25,139.31,0.99,62.55
103,HH_SHVB-6,170,100,94.55,109.31,0.86,67.36
104,HH_SS-6,134.72,90,132.92,119.31,1.11,57.96
105,HH_SH-6,149.27,80,116.37,129.31,0.9,66.04
106,HH_SSVB-6,121.63,70,121.08,139.31,0.87,67.2
107,HH_SHSS-6,164.56,90,117.21,119.31,0.98,62.93
108,HH_VB-6,152.03,70,98.74,139.31,0.71,73.25
