Time,plotID,PlotName,SiteName,CropTrt,SoilWetWgt_g,PctMoisture,SoilDryWgt_g,SoilVol_cm3,SoilBD_gcm3
pre,145,SP_SHVB-1,SP,SHVB,231.9,0.056,219,215.04,1.018552595
pre,146,SP_SSVB-1,SP,SSVB,252.1,0.076,233,215.04,1.083711124
pre,147,SP_SHSS-1,SP,SHSS,280.9,0.014,277,215.04,1.287458333
pre,148,SP_SS-1,SP,SS,276.3,0.037,266,215.04,1.237079799
pre,149,SP_VB-1,SP,VB,269.2,0.033,260,215.04,1.210799107
pre,150,SP_SH-1,SP,SH,265.4,0.048,253,215.04,1.175194754
pre,151,SP_SHSS-2,SP,SHSS,262.7,0.047,250,215.04,1.164094262
pre,152,SP_SS-2,SP,SS,277.6,0.085,254,215.04,1.180936012
pre,153,SP_SHVB-2,SP,SHVB,267.6,0.01,265,215.04,1.23222433
pre,154,SP_VB-2,SP,VB,291.1,0.015,287,215.04,1.332990002
pre,155,SP_SH-2,SP,SH,252.4,0.038,243,215.04,1.129133185
pre,156,SP_SSVB-2,SP,SSVB,236.6,0.051,225,215.04,1.044147135
pre,157,SP_SS-3,SP,SS,263.7,0.047,251,215.04,1.169016044
pre,158,SP_SHVB-3,SP,SHVB,239.7,0.103,215,215.04,1.000422015
pre,159,SP_SSVB-3,SP,SSVB,242.2,0.077,224,215.04,1.039689453
pre,160,SP_SH-3,SP,SH,270.1,0.082,248,215.04,1.152547247
pre,161,SP_SHSS-3,SP,SHSS,231.1,0.055,218,215.04,1.015576172
pre,162,SP_VB-3,SP,VB,221.4,0.024,216,215.04,1.005174944
pre,163,SP_VB-4,SP,VB,278,0.068,259,215.04,1.205519903
pre,164,SP_SH-4,SP,SH,229.4,0.052,217,215.04,1.011199126
pre,165,SP_SS-4,SP,SS,262.2,0.058,247,215.04,1.1487101
pre,166,SP_SHVB-4,SP,SHVB,300,0.021,294,215.04,1.366210938
pre,167,SP_SSVB-4,SP,SSVB,293.9,0.06,276,215.04,1.284855794
pre,168,SP_SHSS-4,SP,SHSS,285.7,0.025,278,215.04,1.294976702
pre,169,SP_SH-5,SP,SH,277.5,0.067,259,215.04,1.204513114
