Time,plotID,PlotName,CropName,CropTrt,SoilWetWgt_g,PctMoisture,SoilDryWgt_g,SoilVol_cm3,SoilBD_gcm3
pre,181,AG_SS-1,AG,SS,301,5.75,284,215.04,1.32
pre,182,AG_SH-1,AG,SH,303,6.65,283,215.04,1.32
pre,183,AG_SSVB-1,AG,SSVB,272,7.22,252,215.04,1.17
pre,184,AG_SHVB-1,AG,SHVB,281,8.08,258,215.04,1.2
pre,185,AG_SHSS-1,AG,SHSS,281,11.68,248,215.04,1.15
pre,186,AG_VB-1,AG,VB,304,11.59,269,215.04,1.25
pre,187,AG_SH-2,AG,SH,313,4.72,298,215.04,1.39
pre,188,AG_SHSS-2,AG,SHSS,255,8.65,233,215.04,1.08
pre,189,AG_SHVB-2,AG,SHVB,281,6.19,264,215.04,1.23
pre,190,AG_SS-2,AG,SS,314,10.9,280,215.04,1.3
pre,191,AG_VB-2,AG,VB,288,5.04,273,215.04,1.27
pre,192,AG_SSVB-2,AG,SSVB,284,3.54,274,215.04,1.27
pre,193,AG_SHVB-3,AG,SHVB,292,6.38,273,215.04,1.27
pre,194,AG_SS-3,AG,SS,313,5.81,295,215.04,1.37
pre,195,AG_VB-3,AG,VB,311,6.5,291,215.04,1.35
pre,196,AG_SSVB-3,AG,SSVB,276,5.16,262,215.04,1.22
pre,197,AG_SH-3,AG,SH,290,8.37,266,215.04,1.24
pre,198,AG_SHSS-3,AG,SHSS,307,4.75,292,215.04,1.36
pre,199,AG_SSVB-4,AG,SSVB,323,9.14,293,215.04,1.36
pre,200,AG_SHVB-4,AG,SHVB,319,5.66,301,215.04,1.4
pre,201,AG_SHSS-4,AG,SHSS,285,3.57,275,215.04,1.28
pre,202,AG_VB-4,AG,VB,279,8.02,257,215.04,1.19
pre,203,AG_SS-4,AG,SS,288,5.4,272,215.04,1.27
pre,204,AG_SH-4,AG,SH,311,6.09,292,215.04,1.36
pre,205,AG_VB-5,AG,VB,297,5.18,282,215.04,1.31
pre,206,AG_SSVB-5,AG,SSVB,293,6.46,274,215.04,1.27
pre,207,AG_SH-5,AG,SH,299,5.98,281,215.04,1.31
pre,208,AG_SHSS-5,AG,SHSS,294,5.54,278,215.04,1.29
pre,209,AG_SHVB-5,AG,SHVB,272,4.07,261,215.04,1.21
pre,210,AG_SS-5,AG,SS,308,5.02,293,215.04,1.36
pre,211,AG_SHSS-6,AG,SHSS,283,1.61,278,215.04,1.29
pre,212,AG_VB-6,AG,VB,320,3.53,309,215.04,1.44
pre,213,AG_SS-6,AG,SS,294,2.29,287,215.04,1.34
pre,214,AG_SH-6,AG,SH,325,5.07,309,215.04,1.43
pre,215,AG_SSVB-6,AG,SSVB,303,4.22,290,215.04,1.35
pre,216,AG_SHVB-6,AG,SHVB,327,5.84,308,215.04,1.43
post,181,AG_SS-1,AG,SS,273,8.8,249,215.04,1.16
post,182,AG_SH-1,AG,SH,298,7.18,277,215.04,1.29
post,183,AG_SSVB-1,AG,SSVB,309,12.3,271,215.04,1.26
post,184,AG_SHVB-1,AG,SHVB,311,10.95,277,215.04,1.29
post,185,AG_SHSS-1,AG,SHSS,325,10.45,291,215.04,1.35
post,186,AG_VB-1,AG,VB,308,8.5,282,215.04,1.31
post,187,AG_SH-2,AG,SH,306,7.9,282,215.04,1.31
post,188,AG_SHSS-2,AG,SHSS,318,9.67,287,215.04,1.34
post,189,AG_SHVB-2,AG,SHVB,306,8.16,281,215.04,1.31
post,190,AG_SS-2,AG,SS,316,9.6,286,215.04,1.33
post,191,AG_VB-2,AG,VB,313,8.48,286,215.04,1.33
post,192,AG_SSVB-2,AG,SSVB,324,9.58,293,215.04,1.36
post,193,AG_SHVB-3,AG,SHVB,325,8.31,298,215.04,1.39
post,194,AG_SS-3,AG,SS,316,8.99,288,215.04,1.34
post,195,AG_VB-3,AG,VB,310,7.17,288,215.04,1.34
post,196,AG_SSVB-3,AG,SSVB,311,10.17,279,215.04,1.30
post,197,AG_SH-3,AG,SH,309,9.63,279,215.04,1.30
post,198,AG_SHSS-3,AG,SHSS,319,6.03,300,215.04,1.39
post,199,AG_SSVB-4,AG,SSVB,324,9.7,293,215.04,1.36
post,200,AG_SHVB-4,AG,SHVB,326,7.41,302,215.04,1.40
post,201,AG_SHSS-4,AG,SHSS,306,8.05,281,215.04,1.31
post,202,AG_VB-4,AG,VB,301,9.06,274,215.04,1.27
post,203,AG_SS-4,AG,SS,281,10.21,252,215.04,1.17
post,204,AG_SH-4,AG,SH,331,9.47,300,215.04,1.39
post,205,AG_VB-5,AG,VB,314,7.7,290,215.04,1.35
post,206,AG_SSVB-5,AG,SSVB,297,5.34,281,215.04,1.31
post,207,AG_SH-5,AG,SH,327,6.63,305,215.04,1.42
post,208,AG_SHSS-5,AG,SHSS,330,7.42,306,215.04,1.42
post,209,AG_SHVB-5,AG,SHVB,320,10.52,286,215.04,1.33
post,210,AG_SS-5,AG,SS,337,8.47,308,215.04,1.43
post,211,AG_SHSS-6,AG,SHSS,294,7.86,271,215.04,1.26
post,212,AG_VB-6,AG,VB,311,5.82,293,215.04,1.36
post,213,AG_SS-6,AG,SS,323,8.05,297,215.04,1.38
post,214,AG_SH-6,AG,SH,321,9.03,292,215.04,1.36
post,215,AG_SSVB-6,AG,SSVB,315,8.24,289,215.04,1.34
post,216,AG_SHVB-6,AG,SHVB,325,7.73,300,215.04,1.39
