Time,plotID,PlotName,CropName,CropTrt,SoilWetWgt_g,PctMoisture,SoilDryWgt_g,SoilVol_cm3,SoilBD_gcm3
pre,181,AG_SS-1,AG,SS,214.00,0.04,205.10,215.04,0.95
pre,182,AG_SH-1,AG,SH,267.00,0.07,247.70,215.04,1.15
pre,183,AG_SSVB-1,AG,SSVB,257.00,0.09,234.95,215.04,1.09
pre,184,AG_SHVB-1,AG,SHVB,300.00,0.08,276.90,215.04,1.29
pre,185,AG_SHSS-1,AG,SHSS,336.00,0.13,292.96,215.04,1.36
pre,186,AG_VB-1,AG,VB,334.00,0.11,296.32,215.04,1.38
pre,187,AG_SH-2,AG,SH,299.00,0.05,283.03,215.04,1.32
pre,188,AG_SHSS-2,AG,SHSS,294.00,0.05,280.42,215.04,1.30
pre,189,AG_SHVB-2,AG,SHVB,268.00,0.06,252.43,215.04,1.17
pre,190,AG_SS-2,AG,SS,314.00,0.11,278.02,215.04,1.29
pre,191,AG_VB-2,AG,VB,281.00,0.09,255.20,215.04,1.19
pre,192,AG_SSVB-2,AG,SSVB,303.00,0.06,283.88,215.04,1.32
pre,193,AG_SHVB-3,AG,SHVB,332.00,0.06,312.11,215.04,1.45
pre,194,AG_SS-3,AG,SS,291.00,0.05,275.23,215.04,1.28
pre,195,AG_VB-3,AG,VB,277.00,0.05,264.15,215.04,1.23
pre,196,AG_SSVB-3,AG,SSVB,268.00,0.09,245.19,215.04,1.14
pre,197,AG_SH-3,AG,SH,283.00,0.07,263.76,215.04,1.23
pre,198,AG_SHSS-3,AG,SHSS,258.00,0.06,241.26,215.04,1.12
pre,199,AG_SSVB-4,AG,SSVB,278.00,0.03,269.72,215.04,1.25
pre,200,AG_SHVB-4,AG,SHVB,322.00,0.06,301.52,215.04,1.40
pre,201,AG_SHSS-4,AG,SHSS,210.00,0.07,194.71,215.04,0.91
pre,202,AG_VB-4,AG,VB,275.00,0.05,261.83,215.04,1.22
pre,203,AG_SS-4,AG,SS,283.00,0.09,258.55,215.04,1.20
pre,204,AG_SH-4,AG,SH,295.00,0.06,278.13,215.04,1.29
pre,205,AG_VB-5,AG,VB,287.00,0.03,277.87,215.04,1.29
pre,206,AG_SSVB-5,AG,SSVB,328.00,0.05,311.24,215.04,1.45
pre,207,AG_SH-5,AG,SH,295.00,0.06,277.12,215.04,1.29
pre,208,AG_SHSS-5,AG,SHSS,302.00,0.09,274.22,215.04,1.28
pre,209,AG_SHVB-5,AG,SHVB,258.00,0.09,234.01,215.04,1.09
pre,210,AG_SS-5,AG,SS,271.00,0.07,250.97,215.04,1.17
pre,211,AG_SHSS-6,AG,SHSS,270.00,0.02,263.28,215.04,1.22
pre,212,AG_VB-6,AG,VB,329.00,0.04,314.26,215.04,1.46
pre,213,AG_SS-6,AG,SS,320.00,0.08,293.34,215.04,1.36
pre,214,AG_SH-6,AG,SH,282.00,0.07,263.11,215.04,1.22
pre,215,AG_SSVB-6,AG,SSVB,283.00,0.06,265.40,215.04,1.23
pre,216,AG_SHVB-6,AG,SHVB,324.00,0.06,304.92,215.04,1.42
post,181,AG_SS-1,AG,SS,279.00,0.06,262.37,215.04,1.22
post,182,AG_SH-1,AG,SH,305.00,0.07,283.56,215.04,1.32
post,183,AG_SSVB-1,AG,SSVB,288.00,0.11,256.38,215.04,1.19
post,184,AG_SHVB-1,AG,SHVB,274.00,0.10,247.89,215.04,1.15
post,185,AG_SHSS-1,AG,SHSS,316.00,0.08,290.40,215.04,1.35
post,186,AG_VB-1,AG,VB,290.00,0.09,264.94,215.04,1.23
post,187,AG_SH-2,AG,SH,286.00,0.07,266.84,215.04,1.24
post,188,AG_SHSS-2,AG,SHSS,291.00,0.08,267.63,215.04,1.24
post,189,AG_SHVB-2,AG,SHVB,269.00,0.08,248.69,215.04,1.16
post,190,AG_SS-2,AG,SS,307.00,0.05,290.39,215.04,1.35
post,191,AG_VB-2,AG,VB,302.00,0.08,279.08,215.04,1.30
post,192,AG_SSVB-2,AG,SSVB,310.00,0.07,287.80,215.04,1.34
post,193,AG_SHVB-3,AG,SHVB,302.00,0.07,282.16,215.04,1.31
post,194,AG_SS-3,AG,SS,307.00,0.07,285.91,215.04,1.33
post,195,AG_VB-3,AG,VB,299.00,0.06,280.34,215.04,1.30
post,196,AG_SSVB-3,AG,SSVB,306.00,0.07,283.08,215.04,1.32
post,197,AG_SH-3,AG,SH,272.00,0.08,250.65,215.04,1.17
post,198,AG_SHSS-3,AG,SHSS,317.00,0.07,293.61,215.04,1.37
post,199,AG_SSVB-4,AG,SSVB,314.00,0.06,296.07,215.04,1.38
post,200,AG_SHVB-4,AG,SHVB,294.00,0.07,273.33,215.04,1.27
post,201,AG_SHSS-4,AG,SHSS,289.00,0.08,266.95,215.04,1.24
post,202,AG_VB-4,AG,VB,300.00,0.08,277.38,215.04,1.29
post,203,AG_SS-4,AG,SS,308.00,0.12,271.53,215.04,1.26
post,204,AG_SH-4,AG,SH,309.00,0.07,287.77,215.04,1.34
post,205,AG_VB-5,AG,VB,309.00,0.06,291.23,215.04,1.35
post,206,AG_SSVB-5,AG,SSVB,300.00,0.08,276.12,215.04,1.28
post,207,AG_SH-5,AG,SH,298.00,0.08,273.47,215.04,1.27
post,208,AG_SHSS-5,AG,SHSS,299.00,0.09,271.91,215.04,1.26
post,209,AG_SHVB-5,AG,SHVB,294.00,0.08,271.51,215.04,1.26
post,210,AG_SS-5,AG,SS,306.00,0.09,279.19,215.04,1.30
post,211,AG_SHSS-6,AG,SHSS,308.00,0.06,288.72,215.04,1.34
post,212,AG_VB-6,AG,VB,312.00,0.05,295.90,215.04,1.38
post,213,AG_SS-6,AG,SS,308.00,0.06,289.15,215.04,1.34
post,214,AG_SH-6,AG,SH,300.00,0.07,279.57,215.04,1.30
post,215,AG_SSVB-6,AG,SSVB,299.00,0.06,279.65,215.04,1.30
post,216,AG_SHVB-6,AG,SHVB,316.00,0.05,299.85,215.04,1.39
