PlotID,NitrogenForms,Concentration_mgL,SoilWgt_g,KCl_mL,Concentration_mgKg
1,NO3-N ,1.0514,2.032,20.047,10.373
2,NO3-N ,0.9589,2.023,20.047,9.502
3,NO3-N ,0.5681,2.03,20.047,5.61
4,NO3-N ,1.0046,2.02,20.047,9.97
5,NO3-N ,0.4372,2.04,20.047,4.296
6,NO3-N ,0.5898,2.024,20.047,5.842
7,NO3-N ,0.9152,2.04,20.047,8.994
8,NO3-N ,1.1107,2.075,20.047,10.731
9,NO3-N ,0.5735,2.059,20.047,5.584
10,NO3-N ,0.3159,2.008,20.047,3.154
11,NO3-N ,0.6274,2.063,20.047,6.097
12,NO3-N ,0.6292,2.047,20.047,6.162
13,NO3-N ,0.858,2.037,20.047,8.444
14,NO3-N ,0.7702,2.069,20.047,7.463
15,NO3-N ,0.9781,2.037,20.047,9.626
16,NO3-N ,0.4289,2.011,20.047,4.276
17,NO3-N ,0.4268,2.035,20.047,4.204
18,NO3-N ,0.5799,2.022,20.047,5.749
19,NO3-N ,0.8295,2.002,20.047,8.306
20,NO3-N ,0.731,2.072,20.047,7.073
21,NO3-N ,1.0011,2.073,20.047,9.681
22,NO3-N ,0.5009,2.031,20.047,4.944
23,NO3-N ,0.5496,2.026,20.047,5.438
24,NO3-N ,0.5346,2.067,20.047,5.185
25,NO3-N ,0.9383,2.009,20.047,9.363
26,NO3-N ,0.7435,2.017,20.047,7.39
27,NO3-N ,1.267,2.092,20.047,12.141
28,NO3-N ,0.4555,2.016,20.047,4.529
29,NO3-N ,0.474,2.039,20.047,4.66
30,NO3-N ,0.5868,2.023,20.047,5.815
31,NO3-N ,0.8729,2.061,20.047,8.491
32,NO3-N ,1.1997,2.081,20.047,11.557
33,NO3-N ,0.922,2.064,20.047,8.955
34,NO3-N ,0.4442,2.096,20.047,4.249
35,NO3-N ,0.5543,2.087,20.047,5.324
36,NO3-N ,0.6351,2.054,20.047,6.199
37,NO3-N ,1.0601,2.058,20.047,10.326
38,NO3-N ,0.9376,2.077,20.047,9.05
39,NO3-N ,0.8263,2.087,20.047,7.937
40,NO3-N ,0.8439,2.061,20.047,8.208
41,NO3-N ,0.8099,2.097,20.047,7.743
42,NO3-N ,0.6634,2.039,20.047,6.522
43,NO3-N ,1.1551,2.095,20.047,11.053
44,NO3-N ,0.7485,2.058,20.047,7.291
45,NO3-N ,0.7824,2.061,20.047,7.61
46,NO3-N ,0.8938,2.06,20.047,8.698
47,NO3-N ,0.8434,2.03,20.047,8.329
48,NO3-N ,0.8938,2.052,20.047,8.732
49,NO3-N ,1.3354,2.043,20.047,13.104
50,NO3-N ,0.8694,2.023,20.047,8.615
51,NO3-N ,0.6772,2.065,20.047,6.574
52,NO3-N ,0.6282,2.015,20.047,6.25
53,NO3-N ,0.6747,2.084,20.047,6.49
54,NO3-N ,0.4763,2.045,20.047,4.669
55,NO3-N ,0.8813,2.033,20.047,8.69
56,NO3-N ,0.6617,2.037,20.047,6.512
57,NO3-N ,0.6577,2.006,20.047,6.573
58,NO3-N ,0.453,2.091,20.047,4.343
59,NO3-N ,0.5687,2.005,20.047,5.686
60,NO3-N ,0.4488,2.025,20.047,4.443
61,NO3-N ,0.6833,2.006,20.047,6.829
62,NO3-N ,0.5591,2.024,20.047,5.538
63,NO3-N ,0.6331,2.028,20.047,6.258
64,NO3-N ,0.4915,2.09,20.047,4.714
65,NO3-N ,0.5856,2.054,20.047,5.715
66,NO3-N ,0.5854,2.077,20.047,5.65
67,NO3-N ,0.9544,2.096,20.047,9.128
68,NO3-N ,0.6274,2.021,20.047,6.223
69,NO3-N ,0.636,2.065,20.047,6.174
70,NO3-N ,0.5872,2.071,20.047,5.684
71,NO3-N ,0.4365,2.06,20.047,4.248
72,NO3-N ,0.5286,2.095,20.047,5.058
73,NO3-N ,8.0414,2.004,20.047,80.442
74,NO3-N ,7.0874,2.019,20.047,70.372
75,NO3-N ,7.071,2.078,20.047,68.216
76,NO3-N ,9.3326,2.05,20.047,91.264
77,NO3-N ,8.641,2.063,20.047,83.968
78,NO3-N ,6.2481,2.041,20.047,61.37
79,NO3-N ,5.0925,2.079,20.047,49.105
80,NO3-N ,3.7968,2.003,20.047,38
81,NO3-N ,4.3056,2.009,20.047,42.964
82,NO3-N ,4.4487,2.053,20.047,43.44
83,NO3-N ,5.2611,2.074,20.047,50.853
84,NO3-N ,4.5547,2.053,20.047,44.475
85,NO3-N ,5.1609,2.011,20.047,51.447
86,NO3-N ,4.7602,2.013,20.047,47.406
